hit_id,bigram_lower,adj_form_lower,all_forms_lower,adv_form_lower,text_window,token_str
pcc_eng_29_035.8951_x0563153_13:2-3,longer_available,available,(+)_longer_available,longer,expiredno longer available today you can get 50 free,EXPIREDNo longer available Today you can get 50 free Kellogg 's Family Rewards points .
pcc_eng_29_035.8951_x0563153_34:2-3,longer_available,available,(+)_longer_available,longer,expiredno longer available,EXPIREDNo longer available
pcc_eng_25_065.7258_x1048570_3:7-8,longer_available,available,(+)_longer_available,longer,usually find higher grade materials with longer available lengths at a slightly higher price,usually find higher grade materials with longer available lengths at a slightly higher price .
pcc_eng_03_088.0926_x1410266_36:18-19,longer_available,available,(+)_longer_available,longer,discussion if you have two hours or longer available ( not including refreshment breaks and,You should only consider doing the Bible study after the discussion if you have two hours or longer available ( not including refreshment breaks and food ) .
pcc_eng_16_027.4833_x0428699_14:5-6,longer_available,available,(+)_longer_available,longer,"the original video is longer available , but shows more cameos of","The original video is longer available , but shows more cameos of the raccoon , who appears to be tucked inside a man 's sweater ."
pcc_eng_04_038.6979_x0609378_14:8-9,longer_available,available,(+)_longer_available,longer,"sadly , burning bush ipa is now longer available on earth .","Sadly , Burning Bush IPA is now longer available on earth ."
pcc_eng_29_035.8951_x0563153_20:2-3,longer_available,available,(+)_longer_available,longer,expiredno longer available :( do you love to wear,EXPIREDNo longer available :( Do you love to wear wristbands when you work out ?
pcc_eng_03_063.0334_x1004396_034:8-9,longer_available,available,(+)_longer_available,longer,but now i believe it 's now longer available in canada for free .,But now I believe it 's now longer available in Canada for free .
pcc_eng_29_035.8951_x0563153_41:2-3,longer_available,available,(+)_longer_available,longer,expiredno longer available ever want to learn a language,EXPIREDNo longer available Ever want to learn a language but you could n't find the time for regular classes ?
pcc_eng_08_036.7056_x0578287_26:5-6,longer_available,available,(+)_longer_available,longer,"through an online dating longer available on these days , does that","Through an online dating longer available on these days , does that ."
pcc_eng_24_096.1820_x1539497_44:8-9,longer_available,available,(+)_longer_available,longer,you will also find that we have longer available hours .,You will also find that we have longer available hours .
pcc_eng_18_072.5226_x1158419_10:11-12,longer_available,available,(+)_longer_available,longer,beauty and functionality offered in design is longer available .,If the Nordic beauty and functionality offered in design is longer available .
pcc_eng_04_074.0805_x1180407_09:5-6,longer_available,available,(+)_longer_available,longer,show tickets are on longer available for purchase online .,Show tickets are on longer available for purchase online .
