hit_id,colloc,adv,adj,sent_text,sent_id,adv_index
nyt_eng_19940701_0292_36:6,seriously_weird,seriously,weird,"A few symbols are  -LBQ-  seriously weird ,  -RDQ-  Wanger notes .",nyt_eng_19940701_0292_36,6
nyt_eng_19940708_0203_39:7,very_important,very,important,"-LBQ-  The next few years are very important ,  -RDQ-  she added .",nyt_eng_19940708_0203_39,7
nyt_eng_19940809_0185_10:32,very_productive,very,productive,"The daily schedules of most children get  -LBQ-  out of whack  -RDQ-  during the summer , and the first few days that begin at 6 -COL- 30 or 7 a.m. are n't necessarily very productive .",nyt_eng_19940809_0185_10,32
nyt_eng_19940809_0214_27:6,as_vocal,as,vocal,But few groups have been as vocal or as active as the myriad organizations that represent small businesses .,nyt_eng_19940809_0214_27,6
nyt_eng_19940815_0433_11:6,as_responsible,as,responsible,"While few other executives are as responsible for as many platinum and gold hits a year as Ostin , Warner Brothers ' glow has faded somewhat , according to some in the industry .",nyt_eng_19940815_0433_11,6
nyt_eng_19940823_0237_35:4,as_resourceful,as,resourceful,Few locals are as resourceful and well connected as Komarov .,nyt_eng_19940823_0237_35,4
nyt_eng_19940830_0268_16:57,instantly_recognizable,instantly,recognizable,"Looking back on the more than 300 songs Jagger and Richards , 50 , have written and recorded , one is struck not only by the sheer number of standards they 've produced -LRB- standards like  -LBQ-  Satisfaction ,  -RDQ-   -LBQ-  Gimme Shelter  -RDQ-  and  -LBQ-  Honky Tonk Women ,  -RDQ-  whose first few chords are instantly recognizable to entire stadiums of people -RRB- but also by the number of variations -- in mood , ambition and sentiment -- they 've been able to work on such conventional and seemingly limited rock-and-roll subjects as girls , drugs and sex .",nyt_eng_19940830_0268_16,57
nyt_eng_19940906_0398_9:32,as_idyllic,as,idyllic,"Although some still cling to the image of college as a sacred haven of higher purpose , increasingly , experts say , parents and students are realizing that few campuses are as idyllic as they look .",nyt_eng_19940906_0398_9,32
nyt_eng_19940909_0244_7:5,primarily_curious,primarily,curious,"But few spectators are primarily curious about who wins ; the show depends on its music and on whatever outrageousness the writers , costumers and celebrities will bring .",nyt_eng_19940909_0244_7,5
nyt_eng_19940911_0061_27:7,easily_accessible,easily,accessible,A few diversified Brazilian funds are easily accessible .,nyt_eng_19940911_0061_27,7
nyt_eng_19940923_0057_33:4,as_young,as,young,"Few programs are as young as Texas ' , which counts 16 freshmen on its roster .",nyt_eng_19940923_0057_33,4
nyt_eng_19940929_0090_11:18,as_mesmerizing,as,mesmerizing,The few moments when Streep 's allowed some behavior she can really get her chops into are as mesmerizing as anything in her Oscar-winning  -LBQ-  Sophie  -RDQ-  \/  -LBQ-  Kramer  -RDQ-  canon .,nyt_eng_19940929_0090_11,18
nyt_eng_19941004_0028_1:20,as_long-lasting,as,long-lasting,"Whether it 's the way they hug the body or how they match almost everything , few clothes are as long-lasting and as comforting as a pair of jeans .",nyt_eng_19941004_0028_1,20
nyt_eng_19941005_0015_27:19,as_low,as,low,"-LBQ-  I think so ,  -RDQ-  Robinson said when asked if the last few days have been about as low as he has ever felt after losing a game .",nyt_eng_19941005_0015_27,19
nyt_eng_19941009_0088_21:5,that_optimistic,that,optimistic,But few others are that optimistic .,nyt_eng_19941009_0088_21,5
nyt_eng_19941018_0059_1:24,as_long,as,long,"This historic cow town in the middle of the Kansas prairie is accustomed to fierce wind and heat , but few summers were as long and hot as the so-called Summer of Mercy in 1991 when Operation Rescue stormed into town .",nyt_eng_19941018_0059_1,24
nyt_eng_19941021_0236_11:24,probably_low,probably,low,"Besides the usual factors -- productivity increases , higher demand , a weaker dollar -- Zacks speculates that  -LBQ-  a few companies are probably low balling their projections to analysts , to get in the ` positive earnings surprise ' category .  -RDQ-",nyt_eng_19941021_0236_11,24
nyt_eng_19941102_0112_7:5,so_public,so,public,"Few business ventures are so public , attracting scads of attention from the day they open .",nyt_eng_19941102_0112_7,5
nyt_eng_19941107_0196_24:13,wildly_enthusiastic,wildly,enthusiastic,"While many Republicans detest the party in power , few Democrats are wildly enthusiastic about President Clinton or the Democrat-controlled Congress .",nyt_eng_19941107_0196_24,13
nyt_eng_19941109_0292_10:5,so_churlish,so,churlish,Few consumers would be so churlish as to call the recycled plain janes now on the market ugly .,nyt_eng_19941109_0292_10,5
nyt_eng_19941110_0344_2:6,so_hallowed,so,hallowed,"Few pieces of ground are so hallowed as Gettysburg , where the Civil War battle and Lincoln 's address paired national unity and purpose in a way that is seen as almost mystical .",nyt_eng_19941110_0344_2,6
