hit_id,adv_form_lower,adj_form_lower,bigram_lower,neg_form_lower,all_forms_lower,text_window,token_str
pcc_eng_08_073.6498_x1176262_2:5-6-7,exactly,happy,exactly_happy,n't,n't_exactly_happy,the uconn alumni are n't exactly happy about this t-shirt being sold at,The UCONN Alumni are n't exactly happy about this t-shirt being sold at their alma mater 's official website .
pcc_eng_00_042.4464_x0669698_14:13-14-15,exactly,happy,exactly_happy,n't,n't_exactly_happy,the neighborhood and home owners are n't exactly happy about it .,"And according to Page Six , the neighborhood and home owners are n't exactly happy about it ."
pcc_eng_09_005.7358_x0076886_34:23-24-25,exactly,happy,exactly_happy,n't,n't_exactly_happy,to happen even if he is n't exactly happy about it .,He concedes that she needs more time before meeting his family and is willing for that to happen even if he is n't exactly happy about it .
pcc_eng_21_090.5903_x1447979_41:5-6-7,exactly,happy,exactly_happy,n't,n't_exactly_happy,"this young redhead was n't exactly happy about the job , so to","This young redhead was n't exactly happy about the job , so to spice it up she launched the laundry machine and sit on top of it just to feel this nice vibration getting right inside her body ."
pcc_eng_26_009.8661_x0143311_4:08-09-10,exactly,happy,exactly_happy,n't,n't_exactly_happy,"the ordeal , the deer was n't exactly happy about the hatchet and began kicking","Throughout the ordeal , the deer was n't exactly happy about the hatchet and began kicking them and screaming ."
pcc_eng_08_076.8484_x1228078_06:24-25-26,exactly,happy,exactly_happy,n't,n't_exactly_happy,the eccentric residents - who are n't exactly happy to meet their new owners -,"Mal hopes to turn the park into a hugely successful family - run business , but with the eccentric residents - who are n't exactly happy to meet their new owners - and the kids struggling to get along at a US high school , the Pembertons find they are n't going to be living the American dream like they hoped ..."
nyt_eng_19990328_0287_39:13-14-15,exactly,happy,exactly_happy,n't,n't_exactly_happy,"in birmingham , mich. , was n't exactly happy about that .","but Battier , who grew up in Birmingham , Mich. , was n't exactly happy about that ."
pcc_eng_16_022.6361_x0350304_07:5-6-7,exactly,happy,exactly_happy,n't,n't_exactly_happy,"now , i was n't exactly happy about that back when it was","Now , I was n't exactly happy about that back when it was a mere suggestion , but at this point Stark and I were discussing going back to rendition of plan A - where I was going to actually stay in the United States until this whole fiasco was fixed and meet him here in Sydney eventually , but flipped around with me actually going back to Los Angeles or New York to see a specialist that could piece it all back together ."
pcc_eng_20_009.6182_x0139025_18:3-4-5,exactly,happy,exactly_happy,n't,n't_exactly_happy,epstein was n't exactly happy about being targeted for disagreeing with,"Epstein was n't exactly happy about being targeted for disagreeing with Healey on global warming , so he sent the AG 's office a rather terse response ."
pcc_eng_17_108.09239_x1745924_05:08-09-10,exactly,happy,exactly_happy,n't,n't_exactly_happy,"could explain why the company is n't exactly happy about the movie , which has","That could explain why the company is n't exactly happy about the movie , which has received an insane amount of buzz ."
