hit_id,adv_form_lower,adj_form_lower,bigram_lower,neg_form_lower,all_forms_lower,text_window,token_str
pcc_eng_07_023.4162_x0362485_18:3-4-5,terribly,surprising,terribly_surprising,n't,n't_terribly_surprising,Which is n't terribly surprising :,Which is n't terribly surprising :
pcc_eng_23_004.4353_x0055251_56:07-09-10,terribly,surprising,terribly_surprising,n't,n't_terribly_surprising,"all though , this should n't be terribly surprising -- a recent university of kansas","In all though , this should n't be terribly surprising -- a recent University of Kansas School of Businessstudy [ PDF ] revealed that for $ 1 given to a federal politician as a business , you get $ 243 USD in kickbacks -- either indirectly ( via lesser taxation ) or directly siphoned off citizens taxes ."
pcc_eng_24_028.4296_x0443549_09:4-5-6,terribly,surprising,terribly_surprising,n't,n't_terribly_surprising,this decision is n't terribly surprising as china is critical to the,This decision is n't terribly surprising as China is critical to the company 's future as NEVS has recently signed a $ 1 billion deal with China Volant Industry Co. ( Volinco ) and a $ 12 billion deal with China's Panda New Energy .
pcc_eng_08_074.9158_x1196794_11:3-5-6,terribly,surprising,terribly_surprising,n't,n't_terribly_surprising,that should n't be terribly surprising considering that kia pulled in former,That should n't be terribly surprising considering that Kia pulled in former BMW M engineering boss Albert Biermann to define the chassis dynamics .
pcc_eng_19_076.1411_x1213878_15:23-24-25,terribly,surprising,terribly_surprising,n't,n't_terribly_surprising,"you rode in on , was n't terribly surprising given that this four piece has","The raucous cheers that greeted the evening 's final act , Andrew Delaney & The Horse You Rode In On , was n't terribly surprising given that this four piece has become a Deep Ellum fixture in recent times ."
pcc_eng_13_095.4458_x1526377_23:3-4-5,terribly,surprising,terribly_surprising,n't,n't_terribly_surprising,This is n't terribly surprising .,This is n't terribly surprising .
pcc_eng_21_019.6568_x0301268_044:21-23-24,terribly,surprising,terribly_surprising,n't,n't_terribly_surprising,"patent side , it would n't be terribly surprising if they did so as well","Given CAFC 's history as exceptionally supportive of locking up knowledge and information on the patent side , it would n't be terribly surprising if they did so as well on the copyright side ( side note : while , normally , copyright cases should travel up the local appeals court route , since this case started as a patent case , even though it ended up as a copyright case , apparently the appeal still goes to CAFC , the court that hears all patent appeals ) ."
pcc_eng_21_013.0778_x0194994_26:08-09-10,terribly,surprising,terribly_surprising,n't,n't_terribly_surprising,"our themed strategies , it was n't terribly surprising to see our ultra-defensive sky is","Among our themed strategies , it was n't terribly surprising to see our ultra-defensive Sky Is Falling Portfolio turn in a positive performance while the majority struggled to stay in green territory ; among the worst performers were the High Tech Portfolio and the Energy Bull Portfolio as weakness in both of these sectors was quite pronounced throughout the week ."
pcc_eng_03_083.5654_x1337090_19:32-33-34,terribly,surprising,terribly_surprising,n't,n't_terribly_surprising,"inflated rate , it also is n't terribly surprising that they invested so much at","It was n't the result the Stars were hoping for , but with the cost of business for rentals always seeming to come at an inflated rate , it also is n't terribly surprising that they invested so much at the time for a player they would n't re-sign ."
pcc_eng_24_072.9885_x1164398_09:7-8-9,terribly,surprising,terribly_surprising,n't,n't_terribly_surprising,"the relative lack of attention is n't terribly surprising , given that only hillary clinton","The relative lack of attention is n't terribly surprising , given that only Hillary Clinton , John Edwards , and Dennis Kucinich ( all Democrats ) showed up , despite the fact that all the candidates from both major parties were invited ."
pcc_eng_21_097.2783_x1555486_13:42-43-44,terribly,surprising,terribly_surprising,n't,n't_terribly_surprising,based on one specific version is n't terribly surprising .,"Superhero movies usually like to mix and match elements from different areas of a property 's history rather than directly adapt a story or character , so to hear that this Apocalypse wo n't be based on one specific version is n't terribly surprising ."
pcc_eng_26_030.9978_x0484716_03:32-33-34,terribly,surprising,terribly_surprising,n't,n't_terribly_surprising,wynn ) founder and chief are n't terribly surprising .,"In light of the allegations that surfaced a couple of weeks ago , this week 's news about Wynn Resorts , Limited ( NASDAQ : WYNN ) founder and chief are n't terribly surprising ."
nyt_eng_19960503_0433_27:3-4-5,terribly,surprising,terribly_surprising,n't,n't_terribly_surprising,this is n't terribly surprising -lrb- though the fact that nobody,this is n't terribly surprising -LRB- though the fact that nobody in Dolesville was clued in enough to help their guy avert this gaffe lends credence to the widespread perception that the senator 's campaign is as hopeless as he is -RRB- .
pcc_eng_23_093.6536_x1497452_06:08-10-11,terribly,surprising,terribly_surprising,n't,n't_terribly_surprising,", i suppose it should n't be terribly surprising .","I mean , I suppose it should n't be terribly surprising ."
pcc_eng_28_075.4353_x1203910_039:5-7-8,terribly,surprising,terribly_surprising,n't,n't_terribly_surprising,And it probably wo n't be terribly surprising :,And it probably wo n't be terribly surprising :
pcc_eng_02_086.3981_x1380618_07:20-21-22,terribly,surprising,terribly_surprising,n't,n't_terribly_surprising,"personae non gratae , which is n't terribly surprising given teigen 's liberal views and","First up : "" Make America Great Again "" supporters have been deemed personae non gratae , which is n't terribly surprising given Teigen 's liberal views and the fact that she herself has been blocked by President Trump ."
pcc_eng_04_100.2032_x1602721_48:4-5-6,terribly,surprising,terribly_surprising,n't,n't_terribly_surprising,while this is n't terribly surprising ( it professionals have plenty of,"While this is n't terribly surprising ( IT professionals have plenty of horror stories about how they did what users wanted , and it was a mess ) , it can be very frustrating to work with Google or to hope for a particular feature or change to be made ."
pcc_eng_00_071.8072_x1144611_7:15-16-17,terribly,surprising,terribly_surprising,n't,n't_terribly_surprising,", so the criminal complaint is n't terribly surprising .","The SEC filed civil fraud charges in March , so the criminal complaint is n't terribly surprising ."
pcc_eng_12_061.9454_x0985601_07:28-29-30,terribly,surprising,terribly_surprising,n't,n't_terribly_surprising,to record an acoustic ep is n't terribly surprising .,"Though the Georgia natives are most well -known for their swaggering , powerful Southern rock - indebted sound , their choice to record an acoustic EP is n't terribly surprising ."
pcc_eng_27_060.8611_x0967442_10:14-15-16,terribly,surprising,terribly_surprising,n't,n't_terribly_surprising,this stretch of the city is n't terribly surprising .,That the two groups reacted differently to this stretch of the city is n't terribly surprising .
pcc_eng_14_002.1689_x0019012_147:3-4-5,terribly,surprising,terribly_surprising,n't,n't_terribly_surprising,That was n't terribly surprising .,That was n't terribly surprising .
pcc_eng_00_064.6421_x1028951_12:18-19-20,terribly,surprising,terribly_surprising,n't,n't_terribly_surprising,tack this secondary story took was n't terribly surprising .,After last week 's flirtation with the blonde FBI gal the tack this secondary story took was n't terribly surprising .
pcc_eng_11_018.2339_x0278769_07:3-4-5,terribly,surprising,terribly_surprising,n't,n't_terribly_surprising,"this is n't terribly surprising , for better or for worse","This is n't terribly surprising , for better or for worse ."
pcc_eng_19_042.4168_x0668661_37:13-14-15,terribly,surprising,terribly_surprising,n't,n't_terribly_surprising,front-office position with the knicks was n't terribly surprising given the dysfunction that now seems,That Jackson was lured to a front-office position with the Knicks was n't terribly surprising given the dysfunction that now seems to afflict the Buss family in Los Angeles .
pcc_eng_11_010.0300_x0146162_02:4-5-6,terribly,surprising,terribly_surprising,n't,n't_terribly_surprising,the move is n't terribly surprising in light of the fact that,The move is n't terribly surprising in light of the fact that Disney Infinity has been the most profitable game Disney Interactive has released in a good long while .
pcc_eng_06_100.7479_x1613488_04:7-8-9,terribly,surprising,terribly_surprising,n't,n't_terribly_surprising,"most of what morse said is n't terribly surprising , especially his noting that u.s.","Most of what Morse said is n't terribly surprising , especially his noting that U.S. News has much different goals than the President 's goals ."
pcc_eng_27_065.4065_x1041146_37:5-6-7,terribly,surprising,terribly_surprising,n't,n't_terribly_surprising,So her results were n't terribly surprising to me .,So her results were n't terribly surprising to me .
pcc_eng_03_091.3291_x1462629_17:5-6-7,terribly,surprising,terribly_surprising,n't,n't_terribly_surprising,"Well , this was n't terribly surprising , was it ?","Well , this was n't terribly surprising , was it ?"
pcc_eng_02_007.4824_x0104648_24:3-4-5,terribly,surprising,terribly_surprising,n't,n't_terribly_surprising,this is n't terribly surprising when one considers that i adapted,This is n't terribly surprising when one considers that I adapted this recipe when I was in the fifth grade .
pcc_eng_24_098.5767_x1578392_30:5-7-8,terribly,surprising,terribly_surprising,n't,n't_terribly_surprising,"nichols ' appearance should n't be terribly surprising to abrams fans , as she","Nichols ' appearance should n't be terribly surprising to Abrams fans , as she played a major character in the director 's "" Alias "" TV series ."
pcc_eng_24_107.07093_x1726501_02:7-8-9,terribly,surprising,terribly_surprising,n't,n't_terribly_surprising,"for that reason , it was n't terribly surprising that gamel was optioned down to","For that reason , it was n't terribly surprising that Gamel was optioned down to Nashville on Sunday morning for a fresh arm ."
pcc_eng_12_002.6240_x0026284_051:6-7-8,terribly,surprising,terribly_surprising,n't,n't_terribly_surprising,"some of these insights are n't terribly surprising , such as the fact that","Some of these insights are n't terribly surprising , such as the fact that someone who "" likes "" Small Business Saturdays is probably older than the typical Facebook user , but others are real head - scratchers , such as the fact that liking curly fries correlates with high intelligence ."
pcc_eng_11_069.2959_x1105580_42:13-14-15,terribly,surprising,terribly_surprising,n't,n't_terribly_surprising,"upset , but the verdicts are n't terribly surprising .","I can understand why people are upset , but the verdicts are n't terribly surprising ."
pcc_eng_00_068.6230_x1092868_40:15-20-21,terribly,surprising,terribly_surprising,none,none_terribly_surprising,"video , none of this should be terribly surprising .","Given that this is a Lindsay Lohan movie that went straight to video , none of this should be terribly surprising ."
pcc_eng_01_066.7636_x1063759_31:1-5-6,terribly,surprising,terribly_surprising,none,none_terribly_surprising,"none of that was terribly surprising , given the way auburn has","None of that was terribly surprising , given the way Auburn has been playing and some shakiness in recent weeks from Alabama 's injury - riddled front seven ."
pcc_eng_07_101.6203_x1626249_044:08-12-13,terribly,surprising,terribly_surprising,none,none_terribly_surprising,"window dressing , and none of this is terribly surprising - especially that National","This is about window dressing , and none of this is terribly surprising - especially that National is diversifying itself ."
pcc_eng_25_082.4669_x1318741_042:14-17-18,terribly,surprising,terribly_surprising,none,none_terribly_surprising,"- historical moments , none of them terribly surprising ( "" twenty - twenty -","Interspersing them are pages of soundbites evoking particular cultural - historical moments , none of them terribly surprising ( "" twenty - twenty - twenty - four hours to go / I wanna be sedated "" ... "" WALL STREET GIANTS PROSPER AMID DOWNTURN "" ... "" WHAT BOTCHED THE FACEBOOK IPO ? "" ) , and capsule biographies of public figures who exemplify aspects of his larger story : Newt Gingrich , Oprah Winfrey , Jay-Z , Robert Rubin , Sam Walton , and Elizabeth Warren , among others ."
pcc_eng_27_004.1507_x0050496_19:1-5-6,terribly,surprising,terribly_surprising,none,none_terribly_surprising,"none of this is terribly surprising , least of all , one","None of this is terribly surprising , least of all , one suspects , to their manager , Claudio Ranieri ."
pcc_eng_06_027.1474_x0422998_02:2-6-7,terribly,surprising,terribly_surprising,none,none_terribly_surprising,""" none of these are terribly surprising , "" sherlock told the meeting",""" None of these are terribly surprising , "" Sherlock told the meeting "" and the first six are those you might find in other sales industries ."
pcc_eng_13_038.5467_x0607138_092:20-21-22,terribly,surprising,terribly_surprising,not,not_terribly_surprising,"former mizner trail golf course was not terribly surprising , even if the case for","Last Thursday 's Palm Beach County Commission vote to approve development on the former Mizner Trail Golf Course was not terribly surprising , even if the case for development was n't strong ."
pcc_eng_03_039.0821_x0616927_018:12-13-14,terribly,surprising,terribly_surprising,not,not_terribly_surprising,"those 13 shots , which is not terribly surprising when you get close looks at","The Wildcats made 10 of those 13 shots , which is not terribly surprising when you get close looks at the hoop ."
pcc_eng_16_026.4335_x0411759_21:3-4-5,terribly,surprising,terribly_surprising,not,not_terribly_surprising,"it 's not terribly surprising that shareholders , spending large sums","It 's not terribly surprising that shareholders , spending large sums of their own money on executive compensation , often pay out multi-million dollar compensation packages ."
pcc_eng_10_020.9242_x0321951_19:4-5-6,terribly,surprising,terribly_surprising,not,not_terribly_surprising,""" it 's not terribly surprising , but it is really disappointing",""" It 's not terribly surprising , but it is really disappointing that they 're going to challenge what I think is a really clear and overwhelming decision by the community , "" said Dylan Voorhees , director of the Clean Energy and Global Warming project for the Natural Resources Council of Maine ."
pcc_eng_22_050.6494_x0802241_03:24-25-26,terribly,surprising,terribly_surprising,not,not_terribly_surprising,might be interesting to read but not terribly surprising .,"Under ordinary circumstances , a Washington Monthly symposium calling for an end to the Republican congressional majority might be interesting to read but not terribly surprising ."
