hit_id,adv_form_lower,adj_form_lower,bigram_lower,neg_form_lower,all_forms_lower,text_window,token_str
pcc_eng_00_007.1007_x0098465_154:15-16-17,immediately,clear,immediately_clear,n't,n't_immediately_clear,"of lost , when it was n't immediately clear where the show was going .","Or think of some of the middle seasons of Lost , when it was n't immediately clear where the show was going ."
pcc_eng_25_041.9947_x0663575_11:3-4-5,immediately,clear,immediately_clear,n't,n't_immediately_clear,it was n't immediately clear what prompted the sunday morning shooting,It was n't immediately clear what prompted the Sunday morning shooting .
apw_eng_20020607_1645_17:11-12-13,immediately,clear,immediately_clear,n't,n't_immediately_clear,involvement in the ongoing offensive was n't immediately clear .,the extent of U.S. involvement in the ongoing offensive was n't immediately clear .
apw_eng_20020821_0682_10:3-4-5,immediately,clear,immediately_clear,n't,n't_immediately_clear,it was n't immediately clear if he had an attorney .,it was n't immediately clear if he had an attorney .
pcc_eng_29_006.0927_x0082508_08:14-15-16,immediately,clear,immediately_clear,n't,n't_immediately_clear,"on several projects , it was n't immediately clear how unproductive he had become .","Since his job involved long- term work on several projects , it was n't immediately clear how unproductive he had become ."
pcc_eng_08_078.0379_x1247368_05:15-16-17,immediately,clear,immediately_clear,n't,n't_immediately_clear,the intent of the worm was n't immediately clear .,"Stuxnet was distributed by Windows machines , and the intent of the worm was n't immediately clear ."
pcc_eng_28_043.9803_x0695415_07:3-4-5,immediately,clear,immediately_clear,n't,n't_immediately_clear,it was n't immediately clear if he had a lawyer to,It was n't immediately clear if he had a lawyer to represent him .
apw_eng_20020202_0269_10:3-4-5,immediately,clear,immediately_clear,n't,n't_immediately_clear,it was n't immediately clear if she had retained a new,it was n't immediately clear if she had retained a new lawyer .
pcc_eng_27_057.1468_x0907662_09:3-4-5,immediately,clear,immediately_clear,n't,n't_immediately_clear,it was n't immediately clear what happens next for people who,"It was n't immediately clear what happens next for people who had waited years to receive visas to come to America , but an internal email circulated among Homeland Security officials told employees to comply with the ruling immediately ."
apw_eng_20090319_0212_8:3-4-5,immediately,clear,immediately_clear,n't,n't_immediately_clear,it was n't immediately clear who sent the ambulance away or,"it was n't immediately clear who sent the ambulance away or why , but a resort spokeswoman said Tuesday that Richardson initially said that she was fine ."
nyt_eng_19970507_0229_31:19-20-21,immediately,clear,immediately_clear,n't,n't_immediately_clear,"$ 3.50 , though it was n't immediately clear by how much .","caps on second phone lines will rise from their current level of $ 3.50 , though it was n't immediately clear by how much ."
pcc_eng_13_002.6554_x0026618_11:3-4-5,immediately,clear,immediately_clear,n't,n't_immediately_clear,it was n't immediately clear what happened with the work .,It was n't immediately clear what happened with the work .
apw_eng_20021019_0243_11:3-4-5,immediately,clear,immediately_clear,n't,n't_immediately_clear,it was n't immediately clear what accusations they brought .,it was n't immediately clear what accusations they brought .
apw_eng_20031221_0412_13:3-4-5,immediately,clear,immediately_clear,n't,n't_immediately_clear,it was n't immediately clear how long the approval process would,it was n't immediately clear how long the approval process would take .
pcc_eng_09_090.1995_x1443264_12:3-4-5,immediately,clear,immediately_clear,n't,n't_immediately_clear,it was n't immediately clear what the projectiles were .,It was n't immediately clear what the projectiles were .
pcc_eng_29_044.0239_x0695168_43:3-4-5,immediately,clear,immediately_clear,n't,n't_immediately_clear,it was n't immediately clear what route doss was supposed to,It was n't immediately clear what route Doss was supposed to be running .
pcc_eng_03_002.3305_x0021513_4:6-7-8,immediately,clear,immediately_clear,n't,n't_immediately_clear,"what these measures are is n't immediately clear , and as forbes stated ,","What these measures are is n't immediately clear , and as Forbes stated , "" these sorts of things are earlier on in design , so do n't expect much on this front for a little while . """
pcc_eng_28_060.4319_x0961477_5:3-4-5,immediately,clear,immediately_clear,n't,n't_immediately_clear,it was n't immediately clear whether any of the material on,It was n't immediately clear whether any of the material on the 27 - year- old 's website could have provoked action from Russian authorities .
apw_eng_20020224_0723_18:09-10-11,immediately,clear,immediately_clear,n't,n't_immediately_clear,spokeswoman margaret kesler said it was n't immediately clear exactly how many customers lost power,Utah Power spokeswoman Margaret Kesler said it was n't immediately clear exactly how many customers lost power or when all power would be restored .
apw_eng_20090812_0917_4:5-6-7,immediately,clear,immediately_clear,n't,n't_immediately_clear,"however , it was n't immediately clear whether the fighting in the city","however , it was n't immediately clear whether the fighting in the city center before the match was between Dutch and English supporters or Dutch clubs ."
pcc_eng_15_035.6688_x0560601_5:23-24-25,immediately,clear,immediately_clear,not,not_immediately_clear,the timeline of her employment was not immediately clear .,"The Department of Education said she had not been a teacher for some time , but the timeline of her employment was not immediately clear ."
pcc_eng_14_087.9486_x1405481_04:14-15-16,immediately,clear,immediately_clear,not,not_immediately_clear,"tech lead role , it is not immediately clear what to do differently .","When a developer suddenly steps into the Tech Lead role , it is not immediately clear what to do differently ."
apw_eng_19980328_0132_21:3-4-5,immediately,clear,immediately_clear,not,not_immediately_clear,it was not immediately clear how many refugees were injured .,it was not immediately clear how many refugees were injured .
nyt_eng_20070104_0319_26:21-22-23,immediately,clear,immediately_clear,not,not_immediately_clear,"the time , but it was not immediately clear who she was .","neighbors said another child , a girl , was also in the apartment at the time , but it was not immediately clear who she was ."
apw_eng_20080320_1812_6:11-12-13,immediately,clear,immediately_clear,not,not_immediately_clear,"the woman , but it was not immediately clear whether she had any puncture wounds","the impact likely killed the woman , but it was not immediately clear whether she had any puncture wounds from the ray 's barb , Pino said ."
apw_eng_20020615_0339_6:3-4-5,immediately,clear,immediately_clear,not,not_immediately_clear,it was not immediately clear what their connection to reid might,"it was not immediately clear what their connection to Reid might be , the officials said ."
apw_eng_20030226_0485_9:3-4-5,immediately,clear,immediately_clear,not,not_immediately_clear,it was not immediately clear when the council would convene for,it was not immediately clear when the council would convene for a new election .
apw_eng_20020613_0899_3:3-4-5,immediately,clear,immediately_clear,not,not_immediately_clear,it was not immediately clear when the court would make a,it was not immediately clear when the court would make a ruling .
apw_eng_19971103_0104_8:21-22-23,immediately,clear,immediately_clear,not,not_immediately_clear,"their goods , though it was not immediately clear how much the strike would hinder","businesses from England to Italy to Belgium to Spain use French highways to transport their goods , though it was not immediately clear how much the strike would hinder European commerce ."
pcc_eng_04_078.6602_x1254527_06:3-4-5,immediately,clear,immediately_clear,not,not_immediately_clear,it 's not immediately clear if the law applies to the,"It 's not immediately clear if the law applies to the case of a mural , but if it does things could get interesting ."
apw_eng_19970331_1018_6:6-7-8,immediately,clear,immediately_clear,not,not_immediately_clear,israel radio said it was not immediately clear if children were hurt in the,Israel radio said it was not immediately clear if children were hurt in the second explosion .
apw_eng_19970712_0171_8:3-4-5,immediately,clear,immediately_clear,not,not_immediately_clear,it was not immediately clear how the power failure was connected,it was not immediately clear how the power failure was connected to the jail break .
pcc_eng_09_097.4649_x1560794_11:3-4-5,immediately,clear,immediately_clear,not,not_immediately_clear,"it was not immediately clear who shot the footage , which","It was not immediately clear who shot the footage , which appeared to be captured on cell phone cameras ."
apw_eng_20020909_0158_2:3-4-5,immediately,clear,immediately_clear,not,not_immediately_clear,it was not immediately clear whether he was seriously proposing stepping,it was not immediately clear whether he was seriously proposing stepping down or merely mocking his critics .
pcc_eng_07_039.4696_x0622138_11:3-4-5,immediately,clear,immediately_clear,not,not_immediately_clear,"it was not immediately clear what illness whitworth , 58 ,","It was not immediately clear what illness Whitworth , 58 , was suffering from ."
apw_eng_20090123_0429_3:08-09-10,immediately,clear,immediately_clear,not,not_immediately_clear,condition of the injured person was not immediately clear .,the condition of the injured person was not immediately clear .
pcc_eng_07_063.0509_x1002780_13:3-4-5,immediately,clear,immediately_clear,not,not_immediately_clear,it was not immediately clear how they got online .,It was not immediately clear how they got online .
pcc_eng_20_002.4494_x0023206_15:3-4-5,immediately,clear,immediately_clear,not,not_immediately_clear,it was not immediately clear how many -- or which --,It was not immediately clear how many -- or which -- children the group might be able to take in .
pcc_eng_19_074.8987_x1193803_06:3-4-5,immediately,clear,immediately_clear,not,not_immediately_clear,it was not immediately clear today how long he served in,It was not immediately clear today how long he served in prison .
pcc_eng_29_036.4210_x0571596_14:3-4-5,immediately,clear,immediately_clear,not,not_immediately_clear,it was not immediately clear how aggressively the new criminal code,"It was not immediately clear how aggressively the new criminal code , which applies only to Muslims , would be implemented ."
apw_eng_20020814_0236_17:3-4-5,immediately,clear,immediately_clear,not,not_immediately_clear,"it was not immediately clear whether houghton mifflin , which supplies","it was not immediately clear whether Houghton Mifflin , which supplies textbooks and published J.R.R. Tolkien 's `` The Lord of the Rings '' in the United States , was among assets earmarked for sale within nine months ."
apw_eng_20090404_0476_2:14-15-16,immediately,clear,immediately_clear,not,not_immediately_clear,of saturday evening 's blast is not immediately clear .,Police official Mohammed Shoaib says the cause of Saturday evening 's blast is not immediately clear .
pcc_eng_14_037.5983_x0591245_07:3-4-5,immediately,clear,immediately_clear,not,not_immediately_clear,it was not immediately clear whether the two analysts had formally,It was not immediately clear whether the two analysts had formally left their jobs .
pcc_eng_24_105.3843_x1688836_06:3-4-5,immediately,clear,immediately_clear,not,not_immediately_clear,it was not immediately clear tuesday if harris had a lawyer,It was not immediately clear Tuesday if Harris had a lawyer .
apw_eng_20091207_0005_12:3-4-5,immediately,clear,immediately_clear,not,not_immediately_clear,it was not immediately clear if wilson was also on the,"it was not immediately clear if Wilson was also on the bus , or whether the group would perform at its scheduled concert on Monday ."
pcc_eng_10_044.4903_x0703655_10:3-4-5,immediately,clear,immediately_clear,not,not_immediately_clear,"it was not immediately clear why she faces six , not","It was not immediately clear why she faces six , not seven , counts of murder ."
apw_eng_20031122_0228_11:4-5-6,immediately,clear,immediately_clear,not,not_immediately_clear,it was also not immediately clear whether montenegrin authorities would now reopen,it was also not immediately clear whether Montenegrin authorities would now reopen the case .
pcc_eng_08_072.4875_x1157385_12:10-11-12,immediately,clear,immediately_clear,not,not_immediately_clear,"police icon , but it 's not immediately clear whether police are there for a","Users see a police icon , but it 's not immediately clear whether police are there for a speed trap , a sobriety check or a lunch break ."
apw_eng_20030508_0832_17:11-12-13,immediately,clear,immediately_clear,not,not_immediately_clear,of damage to the plant was not immediately clear .,Flores said the extent of damage to the plant was not immediately clear .
pcc_eng_20_003.6755_x0042937_09:3-4-5,immediately,clear,immediately_clear,not,not_immediately_clear,it was not immediately clear if the man owned the bar,"It was not immediately clear if the man owned the bar where the attack occurred , nor whether he was present at the time ."
apw_eng_20020312_0195_10:7-8-9,immediately,clear,immediately_clear,not,not_immediately_clear,the extent of the firing was not immediately clear .,the extent of the firing was not immediately clear .
apw_eng_19970731_0539_12:3-4-5,immediately,clear,immediately_clear,not,not_immediately_clear,it was not immediately clear if saad 's interpretation was correct,"it was not immediately clear if Saad 's interpretation was correct , but if it was , Japan 's attempts to bring the suspects to justice would be greatly undermined ."
apw_eng_20091129_0453_5:3-4-5,immediately,clear,immediately_clear,not,not_immediately_clear,it was not immediately clear what sparked the attack .,it was not immediately clear what sparked the attack .
apw_eng_20090831_0370_4:3-4-5,immediately,clear,immediately_clear,not,not_immediately_clear,it was not immediately clear who was responsible .,it was not immediately clear who was responsible .
pcc_eng_05_002.6692_x0027210_5:3-4-5,immediately,clear,immediately_clear,not,not_immediately_clear,it was not immediately clear how many customers may have been,"It was not immediately clear how many customers may have been impacted , but the release stated the supermarket chain had no evidence that any cardholder information was stolen or misused ."
apw_eng_20021108_0494_12:3-4-5,immediately,clear,immediately_clear,not,not_immediately_clear,it was not immediately clear whether kilgore surrendered or was arrested,it was not immediately clear whether Kilgore surrendered or was arrested outright .
apw_eng_20091208_0158_6:32-33-34,immediately,clear,immediately_clear,not,not_immediately_clear,the identity of the dead was not immediately clear .,"the two intelligence officials spoke on condition of anonymity Tuesday because they were not authorized to speak to media on the record , and said the identity of the dead was not immediately clear ."
apw_eng_20031201_0178_8:3-4-5,immediately,clear,immediately_clear,not,not_immediately_clear,it was not immediately clear whether any ransom was paid for,it was not immediately clear whether any ransom was paid for the hostages ' release .
pcc_eng_01_090.7545_x1451287_24:3-4-5,immediately,clear,immediately_clear,not,not_immediately_clear,it 's not immediately clear whether these were primarily isis fighters,It 's not immediately clear whether these were primarily ISIS fighters or were dispersed among a number of groups fighting the Syrian government .
apw_eng_19970701_0089_4:3-4-5,immediately,clear,immediately_clear,not,not_immediately_clear,it was not immediately clear if the explosions were linked to,it was not immediately clear if the explosions were linked to a two-year-old violent campaign by a Shiite Muslim-led opposition group for more political rights and social reforms .
apw_eng_20021128_0251_9:3-4-5,immediately,clear,immediately_clear,not,not_immediately_clear,it was not immediately clear whether a potential witnesses can refuse,it was not immediately clear whether a potential witnesses can refuse to testify .
apw_eng_19970619_1050_3:09-10-11,immediately,clear,immediately_clear,not,not_immediately_clear,of the apparently unscheduled visit was not immediately clear and ina gave no details .,the significance of the apparently unscheduled visit was not immediately clear and INA gave no details .
apw_eng_20020724_0112_12:3-4-5,immediately,clear,immediately_clear,not,not_immediately_clear,it was not immediately clear if zulfikar could be subject to,it was not immediately clear if Zulfikar could be subject to extradition treaties between Australia and Singapore .
nyt_eng_20000914_0017_3:3-4-5,immediately,clear,immediately_clear,not,not_immediately_clear,it was not immediately clear what prompted the ad department cuts,it was not immediately clear what prompted the ad department cuts .
nyt_eng_20000303_0349_13:3-4-5,immediately,clear,immediately_clear,not,not_immediately_clear,it was not immediately clear how the new units ' duties,it was not immediately clear how the new units ' duties would differ from those of the Crash units .
pcc_eng_13_035.9498_x0564977_3:4-5-6,immediately,clear,immediately_clear,not,not_immediately_clear,if it is not immediately clear that your genitals are safely ensconced,"If it is not immediately clear that your genitals are safely ensconced , a male employee may wave a walkie-talkie around your crotch ( because walkie-talkies are actually underpants - detectors -- that 's a CIA secret , but now you know ) ."
pcc_eng_07_053.7433_x0852510_4:3-4-5,immediately,clear,immediately_clear,not,not_immediately_clear,it was not immediately clear what the attempted distraction was .,It was not immediately clear what the attempted distraction was .
