hit_id,context_group,colloc,adv,adj,sent_text,sent_id,adv_index,json_source,prev_sent,next_sent,corpus_segment,corpus,date,polarity,context,context_word,context_type,in_basic,line_in_source,year,context_overlap
nyt_eng_19950119_0197_1:16,outdated_input_file,about_impossible,about,impossible,The prison drama is such a limited and overworked movie genre that it 's just about impossible for filmmakers to do anything new with it -- and even worthy efforts like  -LBQ-  The Shawshank Redemption  -RDQ-  invariably tend to be collections of bits and pieces of movies we 've already seen .,nyt_eng_19950119_0197_1,16,,,,nyt_eng_19950119,Nyt1-old,1995-01-19,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,43892,1995,False
nyt_eng_19950423_0004_60:11,outdated_input_file,about_right,about,right,"It Watkins catches four passes a year , that 's about right .  -RDQ-",nyt_eng_19950423_0004_60,11,,,,nyt_eng_19950423,Nyt1-old,1995-04-23,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,69279,1995,False
apw_eng_20030316_0626_4:6,neg-ext-nonsubj,absolutely_certain,absolutely,certain,"-LBQ-  I ca n't be absolutely certain of it , it depends on events as they unfold but the sequence has always been the situation crystallizing one way or the other in New York .  -RDQ-",apw_eng_20030316_0626_4,6,apw_eng_200303,"A Cabinet meeting  -LBQ-  will be sometime early this week ,  -RDQ-  he said .","-LBQ-  We 've put ourselves in the position to make the commitment ,  -RDQ-  he said .",apw_eng_20030316,Apw,2003-03-16,negative,not_VP-adv,not,VP-adv,False,63749,2003,False
nyt_eng_19961209_0558_27:4,outdated_input_file,absolutely_convinced,absolutely,convinced,"-LBQ-  People are absolutely convinced of his innocence ,  -RDQ-  Valencia said .",nyt_eng_19961209_0558_27,4,,,,nyt_eng_19961209,Nyt1-old,1996-12-09,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,264688,1996,False
nyt_eng_19960411_0595_28:18,outdated_input_file,absolutely_critical,absolutely,critical,"Treasury Secretary Robert Rubin said the legislative proposal would increase savings , which he maintained is  -LBQ-  absolutely critical to continuing and improving upon the strong economic performance .  -RDQ-",nyt_eng_19960411_0595_28,18,,,,nyt_eng_19960411,Nyt1-old,1996-04-11,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,186822,1996,False
nyt_eng_19970131_0494_53:4,neg-ext-subj,absolutely_foolproof,absolutely,foolproof,"No technology is absolutely foolproof , but if anybody tells you ABS is n't worth having , he or she is telling you wrong .",nyt_eng_19970131_0494_53,4,nyt_eng_199701,"In snow and icy conditions , ABS can save a lot of body work .",ABS is one option that should be standard equipment .,nyt_eng_19970131,Nyt1,1997-01-31,negative,no_subj-det,no,subj-det,False,455,1997,False
nyt_eng_19980115_0542_2:24,outdated_input_file,absolutely_imperative,absolutely,imperative,"-LBQ-  The disturbing news that a major tobacco company appears to have targeted children  -RDQ-  demonstrates  -LBQ-  more than ever that it is absolutely imperative that Congress take action now ,  -RDQ-  Clinton said .",nyt_eng_19980115_0542_2,24,,,,nyt_eng_19980115,Nyt1-old,1998-01-15,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,402921,1998,False
nyt_eng_19970108_0024_28:8,outdated_input_file,absolutely_ludicrous,absolutely,ludicrous,"-LBQ-  Recruiting in its present state is absolutely ludicrous ,  -RDQ-  Brown went on .",nyt_eng_19970108_0024_28,8,,,,nyt_eng_19970108,Nyt1-old,1997-01-08,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,273838,1997,False
nyt_eng_19951017_0723_10:12,outdated_input_file,absolutely_powerless,absolutely,powerless,"-LBQ-  It 's a song and dance , and you are absolutely powerless .",nyt_eng_19951017_0723_10,12,,,,nyt_eng_19951017,Nyt1-old,1995-10-17,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,126248,1995,False
nyt_eng_19980203_0074_23:9,outdated_input_file,absolutely_screwy,absolutely,screwy,Her performance is as courageous as it is absolutely screwy -LRB- coming soon to a drag club near you  -COL-  a slew of Ms. Dinsmoors -RRB- .,nyt_eng_19980203_0074_23,9,,,,nyt_eng_19980203,Nyt1-old,1998-02-03,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,409190,1998,False
nyt_eng_20060123_0082_25:14,neg-ext-nonsubj,all_new,all,new,The idea of training people by using feedback from brain activity is not all new .,nyt_eng_20060123_0082_25,14,nyt_eng_200601,"It does seem , Mackey said , that the subjects  -LBQ-  really learned to control their brain and , through that , their pain .  -RDQ-","For years , pain clinics have offered biofeedback to help patients try to stem their suffering by learning to control physical functions like heart rate and breathing .",nyt_eng_20060123,Nyt2,2006-01-23,negative,not_VP-adv,not,VP-adv,False,32384,2006,False
nyt_eng_19960731_0615_2:11,outdated_input_file,all_relative,all,relative,"To the New York Giants , though , it is all relative .",nyt_eng_19960731_0615_2,11,,,,nyt_eng_19960731,Nyt1-old,1996-07-31,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,221159,1996,False
nyt_eng_19970516_0632_12:8,outdated_input_file,all_thirtysomething,all,thirtysomething,"Olajuwon , Barkley and Clyde Drexler are all thirtysomething and wondering how to get Barkley a ring once and for all .",nyt_eng_19970516_0632_12,8,,,,nyt_eng_19970516,Nyt1-old,1997-05-16,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,318339,1997,False
nyt_eng_19960329_0362_16:9,outdated_input_file,almost_abject,almost,abject,In most of these Everding 's failure was almost abject .,nyt_eng_19960329_0362_16,9,,,,nyt_eng_19960329,Nyt1-old,1996-03-29,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,182406,1996,False
nyt_eng_19960912_0348_17:17,outdated_input_file,almost_impossible,almost,impossible,"The three-member majority , for instance , said in a statement that it would be  -LBQ-  almost impossible  -RDQ-  for a rival to create a highly successful cable programming channel , if it could n't get the program on Time Warner or TCI cable systems , which together serve about 40 percent of the market .",nyt_eng_19960912_0348_17,17,,,,nyt_eng_19960912,Nyt1-old,1996-09-12,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,234724,1996,False
nyt_eng_19950227_0465_7:11,outdated_input_file,almost_impossible,almost,impossible,"But in practice , she said , it can be almost impossible to predict .",nyt_eng_19950227_0465_7,11,,,,nyt_eng_19950227,Nyt1-old,1995-02-27,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,54052,1995,False
nyt_eng_19960803_0028_30:5,outdated_input_file,almost_over,almost,over,Their year together is almost over .,nyt_eng_19960803_0028_30,5,,,,nyt_eng_19960803,Nyt1-old,1996-08-03,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,222135,1996,False
nyt_eng_19950604_0054_14:8,outdated_input_file,almost_synonymous,almost,synonymous,"According to Webster 's , it is almost synonymous with wary moderation  -COL-   -LBQ-  something portioned out or distributed , usually grudgingly .  -RDQ-",nyt_eng_19950604_0054_14,8,,,,nyt_eng_19950604,Nyt1-old,1995-06-04,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,81851,1995,False
nyt_eng_19961015_0576_1:4,outdated_input_file,already_fierce,already,fierce,International competition was already fierce enough in the mid-1980 's to prompt Federal Reserve policymakers to wonder at the divergence between labor costs and inflation .,nyt_eng_19961015_0576_1,4,,,,nyt_eng_19961015,Nyt1-old,1996-10-15,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,246326,1996,False
nyt_eng_19970703_0046_19:11,outdated_input_file,also_apparent,also,apparent,The new spirit of cooperation between management and staff is also apparent in wage negotiations .,nyt_eng_19970703_0046_19,11,,,,nyt_eng_19970703,Nyt1-old,1997-07-03,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,334464,1997,False
nyt_eng_19960916_0310_33:19,outdated_input_file,also_clear,also,clear,"And , despite indications that many Americans still believe he committed a brutal double slaying , it is also clear he believes deeply in his ability to persuade people of his innocence .",nyt_eng_19960916_0310_33,19,,,,nyt_eng_19960916,Nyt1-old,1996-09-16,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,235855,1996,False
nyt_eng_19960523_0583_11:29,outdated_input_file,also_emblematic,also,emblematic,The meltdown of the San Francisco Housing Authority _ it was taken over by the team from the Department of Housing and Urban Development in March _ is also emblematic of nearly a dozen such authorities whose mismanaged properties have helped blacken the tarnished image of public housing .,nyt_eng_19960523_0583_11,29,,,,nyt_eng_19960523,Nyt1-old,1996-05-23,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,201761,1996,False
nyt_eng_19970610_0583_21:9,outdated_input_file,also_hymns,also,hymns,"-LBQ-  In that sense , the songs are also hymns .",nyt_eng_19970610_0583_21,9,,,,nyt_eng_19970610,Nyt1-old,1997-06-10,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,326721,1997,False
