hit_id,bigram_lower,adj_form_lower,all_forms_lower,adv_form_lower,text_window,token_str
nyt_eng_19960221_0286_65:24-25,immediately_appealable,appealable,(+)_immediately_appealable,immediately,"though short of final judgment , are immediately appealable because they `` finally determine claims","in Cohen , we described a `` small class '' of district court decisions that , though short of final judgment , are immediately appealable because they `` finally determine claims of right separable from , and collateral to , rights asserted in the action , too important to be denied review and too independent of the cause itself to require that appellate consideration be deferred until the whole case is adjudicated . ''"
pcc_eng_01_023.8950_x0370353_095:15-16,immediately_appealable,appealable,(+)_immediately_appealable,immediately,orders disqualifying defense counsel in criminal cases immediately appealable under sec. 1291 .,Several other courts of appeals have held orders disqualifying defense counsel in criminal cases immediately appealable under Sec. 1291 .
nyt_eng_19960221_0288_14:15-16,immediately_appealable,appealable,(+)_immediately_appealable,immediately,that denial of qualified immunity is an immediately appealable `` final '' decision under 28,"on appeal , the Ninth Circuit held that denial of qualified immunity is an immediately appealable `` final '' decision under 28 U. S. C. s1291 and Cohen v. Beneficial Industrial Loan Corp. , 337 U. S. 541 , but also stated , in dictum , that an official claiming qualified immunity is entitled to only one such pretrial appeal ."
pcc_eng_01_028.6926_x0447774_03:52-53,immediately_appealable,appealable,(+)_immediately_appealable,immediately,"quash under the dc anti-slapp statute was immediately appealable ) , and that the tougher","In my post , I wrote that the panel was likely to conclude that the denial of an anti-SLAPP motion to dismiss was immediately appealable ( having already held , in Burke v. Doe I , that the denial of a special motion to quash under the DC anti-SLAPP statute was immediately appealable ) , and that the tougher question would be how to apply the "" likely to succeed "" standard at the motion stage ."
nyt_eng_19950301_0100_95:10-11,immediately_appealable,appealable,(+)_immediately_appealable,immediately,-lrb- a -rrb- lists three categories of immediately appealable interlocutory decisions .,Section 1292 -LRB- a -RRB- lists three categories of immediately appealable interlocutory decisions .
pcc_eng_16_049.6841_x0788088_237:14-15,immediately_appealable,appealable,(+)_immediately_appealable,immediately,"- court level , this is an immediately appealable matter , so it will be","Win or lose at the trial - court level , this is an immediately appealable matter , so it will be in the hands of the Ninth Circuit relatively soon ."
pcc_eng_12_103.5395_x1657178_21:8-9,immediately_appealable,appealable,(+)_immediately_appealable,immediately,"however , even though this order is immediately appealable , we find that stivers '","However , even though this order is immediately appealable , we find that Stivers ' particular argument - that the arbitration agreement is binding against Casale - is not preserved for our review ."
pcc_eng_29_097.0613_x1551859_18:14-15,immediately_appealable,appealable,(+)_immediately_appealable,immediately,"dismiss asserting a double jeopardy violation is immediately appealable , "" sandefer and attorney tim",""" Denial of a motion to dismiss asserting a double jeopardy violation is immediately appealable , "" Sandefer and attorney Tim Newcomb wrote ."
pcc_eng_01_028.6926_x0447774_03:24-25,immediately_appealable,appealable,(+)_immediately_appealable,immediately,"of an anti-slapp motion to dismiss was immediately appealable ( having already held , in","In my post , I wrote that the panel was likely to conclude that the denial of an anti-SLAPP motion to dismiss was immediately appealable ( having already held , in Burke v. Doe I , that the denial of a special motion to quash under the DC anti-SLAPP statute was immediately appealable ) , and that the tougher question would be how to apply the "" likely to succeed "" standard at the motion stage ."
pcc_eng_06_049.0458_x0777387_04:10-11,immediately_appealable,appealable,(+)_immediately_appealable,immediately,about state-court privilege rulings -- are they immediately appealable ?,But what about state-court privilege rulings -- are they immediately appealable ?
pcc_eng_08_077.6049_x1240298_24:36-37,immediately_appealable,appealable,(+)_immediately_appealable,immediately,"order doctrine , and thus , was immediately appealable .","In Van Cauwenberghe , the petitioner argued the district court 's order denying his motion to dismiss on the ground of forum non conveniens fell within the collateral order doctrine , and thus , was immediately appealable ."
pcc_eng_03_035.8611_x0564608_09:16-17,immediately_appealable,appealable,(+)_immediately_appealable,immediately,tro of the trump immigration order is immediately appealable to the supreme court .,The Ninth Circuit decision to maintain the nationwide TRO of the Trump immigration Order is immediately appealable to the Supreme Court .
pcc_eng_13_099.9402_x1598816_2:13-14,immediately_appealable,appealable,(+)_immediately_appealable,immediately,"sanction of more than $ 5,000 is immediately appealable ; an order imposing a sanction","An order imposing a discovery sanction of more than $ 5,000 is immediately appealable ; an order imposing a sanction below that amount is not ."
nyt_eng_19960221_0284_73:18-19,immediately_appealable,appealable,(+)_immediately_appealable,immediately,district court orders denying qualified immunity are immediately appealable -rrb- was concerned primarily with preserving,"but , the Court 's decision in Mitchell -LRB- that district court orders denying qualified immunity are immediately appealable -RRB- was concerned primarily with preserving defendants ' immunity from trial , not discovery ."
pcc_eng_11_108.5640_x1740043_04:19-20,immediately_appealable,appealable,(+)_immediately_appealable,immediately,that has been consolidated with other suits immediately appealable ?,Whether and in what circumstances is the dismissal of an action that has been consolidated with other suits immediately appealable ?
nyt_eng_19960221_0286_124:35-36,immediately_appealable,appealable,(+)_immediately_appealable,immediately,"u. s. , at 530 , is immediately appealable .","as we have said , an order denying qualified immunity , to the extent it turns on an `` issue of law , '' Mitchell , 472 U. S. , at 530 , is immediately appealable ."
pcc_eng_10_107.04263_x1720971_4:4-5,immediately_appealable,appealable,(+)_immediately_appealable,immediately,"preliminary injunctions are immediately appealable , so we would not be","Preliminary injunctions are immediately appealable , so we would not be surprised if the Department of Labor ( DOL ) files an expedited appeal with the Fifth Circuit Court of Appeals ."
pcc_eng_18_028.7877_x0449546_13:15-16,immediately_appealable,appealable,(+)_immediately_appealable,immediately,the denial of an anti-slapp motion is immediately appealable under the collateral order doctrine of,The threshold question in Sherrod is whether the denial of an anti-SLAPP motion is immediately appealable under the collateral order doctrine of Cohen v. Beneficial Loan Corp .
pcc_eng_28_022.8038_x0352157_05:39-40,immediately_appealable,appealable,(+)_immediately_appealable,immediately,"order after final judgment , which is immediately appealable under code of civil procedure ss","One case-- Macaluso v. Superior Court , 219 Cal. App. 4th 1042 ( 2013 ) -- says that an order related to a judgment debtor exam is , literally , an order after final judgment , which is immediately appealable under Code of Civil Procedure SS 904.1 ( a ) ( 2 ) ."
pcc_eng_01_103.0835_x1649758_12:14-15,immediately_appealable,appealable,(+)_immediately_appealable,immediately,""" this is an error and is immediately appealable by law . ""","Witham wrote in his notice that "" this is an error and is immediately appealable by law . """
nyt_eng_19960221_0288_20:27-28,immediately_appealable,appealable,(+)_immediately_appealable,immediately,'s denial of qualified immunity is an immediately appealable `` final decision '' within the,"in Mitchell v. Forsyth , 472 U. S. 511 , 530 , this Court held that a district court 's denial of qualified immunity is an immediately appealable `` final decision '' within the meaning of 28 U. S. C. s1291 ."
pcc_eng_08_077.6049_x1240298_28:27-28-29,immediately_appealable,appealable,not_immediately_appealable,immediately,basis of forum non conveniens is not immediately appealable .,"Additionally , other courts have addressed the issue and have held the denial of a motion to dismiss on the basis of forum non conveniens is not immediately appealable ."
pcc_eng_26_041.1755_x0649656_17:16-17-18,immediately_appealable,appealable,not_immediately_appealable,immediately,choice from representation is interlocutory and not immediately appealable .,An order removing a criminal defendant 's counsel of choice from representation is Interlocutory and not immediately appealable .
pcc_eng_08_077.6049_x1240298_29:158-159-160,immediately_appealable,appealable,not_immediately_appealable,immediately,and the denial of either is not immediately appealable ) .,"See King v. Cessna Aircraft Co. , 562 F.3d 1374 , 1378-81 ( 11th Cir. 2009 ) ( finding the denial of a motion to dismiss on the basis of forum non conveniens is not a final , appealable order ) ; Rosenstein v. Merrell Dow Pharm. , Inc. , 769 F.2d 352 , 354 ( 6th Cir. 1985 ) ( holding the denial of a motion to dismiss on forum non conveniens grounds is not immediately appealable under collateral order exception to final judgment rule ) ; Rolinski v. Lewis , 828 A.2d 739 , 742 ( D.C. 2003 ) ( holding that denials of forum non conveniens motions to dismiss are not immediately appealable as of right ) ; Payton-Henderson v. Evans , 949 A.2d 654 , 662 ( Md. Ct. Spec. App. 2008 ) ( stating forum non conveniens issues are treated the same as change of venue and the denial of either is not immediately appealable ) ."
pcc_eng_16_054.9205_x0872642_32:21-23-24,immediately_appealable,appealable,not_immediately_appealable,immediately,"orders , which , though not usually immediately appealable , are nonetheless amenable to interlocutory","But the U.S. Supreme Court has also recognized a "" small class "" of nonfinal orders , which , though not usually immediately appealable , are nonetheless amenable to interlocutory appeal under the collateral order doctrine . [ 2 ] See Cohen v. Beneficial Indus ."
pcc_eng_08_077.6049_x1240298_20:12-13-14,immediately_appealable,appealable,not_immediately_appealable,immediately,a motion to change venue is not immediately appealable .,"Additionally , an order denying a motion to change venue is not immediately appealable ."
pcc_eng_08_077.6049_x1240298_30:32-33-34,immediately_appealable,appealable,not_immediately_appealable,immediately,based on forum non conveniens is not immediately appealable . [ 3 ],"After a careful analysis of section 14- 3- 330 and the authority cited herein , we find the denial of Appellants ' motion to dismiss based on forum non conveniens is not immediately appealable . [ 3 ]"
pcc_eng_08_077.6049_x1240298_26:31-32-33,immediately_appealable,appealable,not_immediately_appealable,immediately,", "" and thus , is not immediately appealable as of right .","The Supreme Court held that the question of the convenience of the forum is not "" completely separate from the merits of the action , "" and thus , is not immediately appealable as of right ."
pcc_eng_08_077.6049_x1240298_29:76-77-78,immediately_appealable,appealable,not_immediately_appealable,immediately,on forum non conveniens grounds is not immediately appealable under collateral order exception to final,"See King v. Cessna Aircraft Co. , 562 F.3d 1374 , 1378-81 ( 11th Cir. 2009 ) ( finding the denial of a motion to dismiss on the basis of forum non conveniens is not a final , appealable order ) ; Rosenstein v. Merrell Dow Pharm. , Inc. , 769 F.2d 352 , 354 ( 6th Cir. 1985 ) ( holding the denial of a motion to dismiss on forum non conveniens grounds is not immediately appealable under collateral order exception to final judgment rule ) ; Rolinski v. Lewis , 828 A.2d 739 , 742 ( D.C. 2003 ) ( holding that denials of forum non conveniens motions to dismiss are not immediately appealable as of right ) ; Payton-Henderson v. Evans , 949 A.2d 654 , 662 ( Md. Ct. Spec. App. 2008 ) ( stating forum non conveniens issues are treated the same as change of venue and the denial of either is not immediately appealable ) ."
nyt_eng_19960221_0286_141:15-16-17,immediately_appealable,appealable,not_immediately_appealable,immediately,evidentiary sufficiency at summary judgment are not immediately appealable merely because they happen to arise,"Johnson held , simply , that determinations of evidentiary sufficiency at summary judgment are not immediately appealable merely because they happen to arise in a qualified-immunity case ; if what is at issue in the sufficiency determination is nothing more than whether the evidence could support a finding that particular conduct occurred , the question decided is not truly `` separable '' from the plaintiff 's claim , and hence there is no `` final decision '' under Cohen and Mitchell ."
pcc_eng_08_077.6049_x1240298_14:23-24-25,immediately_appealable,appealable,not_immediately_appealable,immediately,"6 ) , scrcp , is not immediately appealable .","Generally , the denial of a motion to dismiss under Rule 12 ( b ) ( 6 ) , SCRCP , is not immediately appealable ."
pcc_eng_08_077.6049_x1240298_29:114-115-116,immediately_appealable,appealable,not_immediately_appealable,immediately,non conveniens motions to dismiss are not immediately appealable as of right ) ; payton-henderson,"See King v. Cessna Aircraft Co. , 562 F.3d 1374 , 1378-81 ( 11th Cir. 2009 ) ( finding the denial of a motion to dismiss on the basis of forum non conveniens is not a final , appealable order ) ; Rosenstein v. Merrell Dow Pharm. , Inc. , 769 F.2d 352 , 354 ( 6th Cir. 1985 ) ( holding the denial of a motion to dismiss on forum non conveniens grounds is not immediately appealable under collateral order exception to final judgment rule ) ; Rolinski v. Lewis , 828 A.2d 739 , 742 ( D.C. 2003 ) ( holding that denials of forum non conveniens motions to dismiss are not immediately appealable as of right ) ; Payton-Henderson v. Evans , 949 A.2d 654 , 662 ( Md. Ct. Spec. App. 2008 ) ( stating forum non conveniens issues are treated the same as change of venue and the denial of either is not immediately appealable ) ."
pcc_eng_08_077.6049_x1240298_11:5-6-7,immediately_appealable,appealable,not_immediately_appealable,immediately,an interlocutory order is not immediately appealable unless it involves the merits of,An interlocutory order is not immediately appealable unless it involves the merits of the case or affects a substantial right .
