hit_id,bigram_lower,adj_form_lower,all_forms_lower,adv_form_lower,text_window,token_str
pcc_eng_21_057.4585_x0912762_05:5-6,terribly_exciting,exciting,(+)_terribly_exciting,terribly,the whole thing is terribly exciting ; and it gives mickey an,The whole thing is terribly exciting ; and it gives Mickey an idea .
apw_eng_19950909_0814_55:4-5,terribly_exciting,exciting,(+)_terribly_exciting,terribly,"`` it was terribly exciting ; i was fairly flying ,","`` It was terribly exciting ; I was fairly flying , '' the pianist says ."
pcc_eng_27_022.8855_x0353864_11:09-10,terribly_exciting,exciting,(+)_terribly_exciting,terribly,"i was young , i found them terribly exciting .","When I was young , I found them terribly exciting ."
pcc_eng_22_084.1527_x1344137_23:4-5,terribly_exciting,exciting,(+)_terribly_exciting,terribly,it all sounds terribly exciting .,It all sounds terribly exciting .
pcc_eng_08_029.3541_x0459000_006:09-10,terribly_exciting,exciting,(+)_terribly_exciting,terribly,can mean all sorts of different and terribly exciting things .,It can mean all sorts of different and terribly exciting things .
pcc_eng_25_099.7887_x1598711_12:17-18,terribly_exciting,exciting,(+)_terribly_exciting,terribly,"wrapped up , as seen in this terribly exciting before- and - after :","And , late in the week another long-sought demolition wrapped up , as seen in this terribly exciting before- and - after :"
pcc_eng_26_049.6472_x0786571_029:6-7,terribly_exciting,exciting,(+)_terribly_exciting,terribly,"i realize this must be terribly exciting for you , but , this","I realize this must be terribly exciting for you , but , this is n't a race , remember ? """
pcc_eng_03_099.8932_x1601116_59:3-4,terribly_exciting,exciting,(+)_terribly_exciting,terribly,it 's terribly exciting .,It 's terribly exciting .
pcc_eng_12_063.8691_x1016536_60:5-6,terribly_exciting,exciting,(+)_terribly_exciting,terribly,"it all sounds like terribly exciting mathematics , if everything works out","It all sounds like terribly exciting mathematics , if everything works out ."
pcc_eng_15_063.6369_x1011812_07:3-4,terribly_exciting,exciting,(+)_terribly_exciting,terribly,"it 's terribly exciting for me , "" said linda","It 's terribly exciting for me , "" said Linda , who has been writing , illuminating and painting ketubot ( Jewish marriage contracts ) for many years ."
nyt_eng_20071116_0057_36:27-28,terribly_exciting,exciting,(+)_terribly_exciting,terribly,"history , so i think this is terribly exciting . ''","`` People can look at their own genomes and find where your and your family fit into human population history , so I think this is terribly exciting . ''"
