hit_id,bigram_lower,adj_form_lower,all_forms_lower,adv_form_lower,text_window,token_str
pcc_eng_28_015.6080_x0236515_30:3-4,that_easy,easy,(+)_that_easy,that,"it 's that easy , and remember that we will","It 's that easy , and remember that we will come to you ."
pcc_eng_25_079.4956_x1270731_17:21-22,that_easy,easy,(+)_that_easy,that,tele style ) and the toggles make that easy .,AJ pointed out how Bob likes the neck / bridge pickup setting ( tele style ) and the toggles make that easy .
pcc_eng_00_024.1573_x0374435_39:5-6,that_easy,easy,(+)_that_easy,that,"yes , it is that easy .","Yes , it is that easy ."
pcc_eng_01_042.9664_x0678122_2:31-32,that_easy,easy,(+)_that_easy,that,"could do that , and it was that easy !","After seeing your painting system at a gardening expo and watching how easy you made painting out to be I thought even I could do that , and it was that easy !"
pcc_eng_00_061.4233_x0976791_10:14-15,that_easy,easy,(+)_that_easy,that,"tell you , but it was really that easy .","I wish I had more to tell you , but it was really that easy ."
pcc_eng_08_047.5535_x0753669_071:5-6,that_easy,easy,(+)_that_easy,that,but is it really that easy ?,But is it really that easy ?
pcc_eng_00_015.4270_x0232958_092:5-6,that_easy,easy,(+)_that_easy,that,if it were only that easy !,If it were only that easy !
pcc_eng_24_101.8495_x1631534_53:41-42,that_easy,easy,(+)_that_easy,that,too strong to condemn critics who copped that easy out .,"It 's a doomed project that even Miike warned against , but the temptation to try read Asami 's gore-soaked rampage as poetic vengeance for the phallocratic dominance of the male gaze is too strong to condemn critics who copped that easy out ."
nyt_eng_19960606_0380_5:5-6,that_easy,easy,(+)_that_easy,that,if only it was that easy .,if only it was that easy .
pcc_eng_21_057.4042_x0911892_05:7-8,that_easy,easy,(+)_that_easy,that,i think if it had been that easy then i probably would n't have,I think if it had been that easy then I probably would n't have needed the book .
pcc_eng_16_095.8676_x1535682_29:5-6,that_easy,easy,(+)_that_easy,that,"yes , it is that easy !","Yes , it is that easy !"
pcc_eng_17_044.4993_x0702555_01:5-6,that_easy,easy,(+)_that_easy,that,is the decision really that easy ?,Is the decision really that easy ?
pcc_eng_02_101.3987_x1623411_59:13-14,that_easy,easy,(+)_that_easy,that,"it , this exercise really can be that easy to use .","Once you get used to it , this exercise really can be that easy to use ."
pcc_eng_18_025.9645_x0403596_37:5-6,that_easy,easy,(+)_that_easy,that,if only life were that easy ...,If only life were that easy ...
pcc_eng_00_065.1431_x1037083_24:5-6,that_easy,easy,(+)_that_easy,that,if only it were that easy on the desktop .,If only it were that easy on the desktop .
pcc_eng_08_037.2858_x0587569_06:13-14,that_easy,easy,(+)_that_easy,that,"with a cellphone , it could be that easy for the next five weeks at","If you 're an adult with a cellphone , it could be that easy for the next five weeks at Shedd Aquarium ."
pcc_eng_24_049.1757_x0778806_29:09-10,that_easy,easy,(+)_that_easy,that,", if only dogs and children were that easy to potty train .","Sigh , if only dogs and children were that easy to potty train ."
pcc_eng_25_102.4506_x1641733_15:21-22,that_easy,easy,(+)_that_easy,that,"my temperature , and it is really that easy .","If I can remember my morning pill , I can remember to take my temperature , and it is really that easy ."
pcc_eng_06_023.8065_x0369208_09:12-13,that_easy,easy,(+)_that_easy,that,prefabricated modular constructions it 's almost really that easy .,With new technologies and prefabricated modular constructions it 's almost really that easy .
pcc_eng_15_009.6395_x0139530_583:11-12,that_easy,easy,(+)_that_easy,that,", "" could it just simply be that easy ? ""","And you go , "" Could it just simply be that easy ? """
pcc_eng_25_010.4124_x0152356_2:41-42,that_easy,easy,(+)_that_easy,that,"- well , it should be really that easy - but when everything gets changing","Follow the process strictly to deliver the projects - Fill out the forms , get all approvals - Order the equipments , assign competent technicians - Complete the job as planned in time - Well , it should be really that easy - But when everything gets changing constantly -"
pcc_eng_25_064.9015_x1035176_023:7-8,that_easy,easy,(+)_that_easy,that,do you think it 'll be that easy ?,Do you think it 'll be that easy ?
pcc_eng_00_105.9127_x1696884_3:18-19,that_easy,easy,(+)_that_easy,that,"with the twitter api , it 's that easy !","Using composer , adding a package which does the interaction with the twitter API , it 's that easy !"
nyt_eng_19950527_0138_26:6-7,that_easy,easy,(+)_that_easy,that,`` i wish everything was that easy to figure out . '',`` I wish everything was that easy to figure out . ''
pcc_eng_09_075.9811_x1212752_23:09-10,that_easy,easy,(+)_that_easy,that,simple enough -- but is it really that easy ?,Sounds simple enough -- but is it really that easy ?
nyt_eng_20080123_0144_9:7-8,that_easy,easy,(+)_that_easy,that,if only picking real outfits were that easy .,if only picking real outfits were that easy .
pcc_eng_04_057.8529_x0918236_16:4-5,that_easy,easy,(+)_that_easy,that,is it really that easy ?,Is it really that easy ?
pcc_eng_06_034.3773_x0539871_188:3-4,that_easy,easy,(+)_that_easy,that,it is that easy and you may find yourself wishing,It is that easy and you may find yourself wishing that things would be as simple in real life .
pcc_eng_24_091.0261_x1455888_102:5-6,that_easy,easy,(+)_that_easy,that,i wish preaching was that easy today !,I wish preaching was that easy today !
pcc_eng_22_053.4847_x0847904_28:6-7,that_easy,easy,(+)_that_easy,that,i wish the solution were that easy .,I wish the solution were that easy .
pcc_eng_27_017.4744_x0266577_028:5-6,that_easy,easy,(+)_that_easy,that,if only it were that easy though .,If only it were that easy though .
nyt_eng_19990317_0425_3:7-8,that_easy,easy,(+)_that_easy,that,"oh , would that it were that easy , but even a wonderful score","oh , would that it were that easy , but even a wonderful score and story do not make a classic film or even a particularly good one ."
pcc_eng_27_028.9791_x0451755_11:5-6,that_easy,easy,(+)_that_easy,that,scallion pancakes really are that easy to make home .,Scallion pancakes really are that easy to make home .
pcc_eng_09_036.1095_x0568383_03:6-7,that_easy,easy,(+)_that_easy,that,is that possible it 's that easy for them ?,is that possible it 's that easy for them ?
pcc_eng_16_074.8292_x1194721_05:11-12,that_easy,easy,(+)_that_easy,that,"a snap , it 's literally just that easy if you 've got the latest","Home stats in a snap , it 's literally just that easy if you 've got the latest magic app for your mobile device just released today by Sawbuck Realty ."
pcc_eng_18_053.9459_x0857248_23:5-6,that_easy,easy,(+)_that_easy,that,can it really be that easy ??,Can it really be that easy ??
pcc_eng_15_104.6168_x1674912_49:6-7,that_easy,easy,(+)_that_easy,that,if only life were really that easy .,If only life were really that easy .
nyt_eng_19980703_0078_11:09-10,that_easy,easy,(+)_that_easy,that,", of course , if it were that easy everyone would sell 75 million albums","yet , of course , if it were that easy everyone would sell 75 million albums , which KC has ."
nyt_eng_20070928_0183_52:24-25,that_easy,easy,(+)_that_easy,that,"in on , but if it were that easy , everyone would be doing it","`` Obviously making $ 30,000 to $ 50,000 is an opportunity everyone would like to get in on , but if it were that easy , everyone would be doing it , '' he said ."
pcc_eng_10_027.0636_x0421208_18:5-6,that_easy,easy,(+)_that_easy,that,using cdars is just that easy .,Using CDARS is just that easy .
pcc_eng_17_040.7088_x0641648_2:36-37,that_easy,easy,(+)_that_easy,that,downloads in 24 hours - it 's that easy .,Get Firefox 3 during Download Day ( June 17 th 10 am US - Pacific Standard Time ) to help set the Guinness World Record for most software downloads in 24 hours - it 's that easy .
pcc_eng_06_050.2715_x0797277_58:6-7,that_easy,easy,(+)_that_easy,that,i wish my job were that easy .,I wish my job were that easy .
pcc_eng_07_074.4178_x1186485_60:10-11,that_easy,easy,(+)_that_easy,that,"only knew it was going to be that easy , we should have done it","If we only knew it was going to be that easy , we should have done it years ago and saved a ton of aggravation ."
pcc_eng_15_067.4223_x1072910_16:8-9,that_easy,easy,(+)_that_easy,that,oh how i wished it had gone that easy .,Oh how I wished it had gone that easy .
nyt_eng_20020517_0188_70:4-5,that_easy,easy,(+)_that_easy,that,`` it 's that easy . '',`` It 's that easy . ''
pcc_eng_26_050.7014_x0803440_40:14-15,that_easy,easy,(+)_that_easy,that,"rice , it seems it was just that easy for him to go with kerry","that Republicans were determined to trash Rice , it seems it was just that easy for him to go with Kerry , who obviously has more stature , and would be an easy confirmation ( since the Repubs want his seat ) ."
pcc_eng_00_086.8695_x1388270_3:09-10,that_easy,easy,(+)_that_easy,that,zmax unlock sim - it 's really that easy !,ZTE ZMAX Unlock SIM - it 's really that easy !
pcc_eng_20_058.9919_x0936720_11:5-6,that_easy,easy,(+)_that_easy,that,could it really be that easy ?,Could it really be that easy ?
pcc_eng_18_010.7135_x0157162_12:3-4,that_easy,easy,(+)_that_easy,that,"it 's that easy , and cheaper !","It 's that easy , and cheaper !"
pcc_eng_07_067.4143_x1073502_06:28-29,that_easy,easy,(+)_that_easy,that,"store cupboard , you can make it that easy .","On the other hand , if you want a very quick meal using items which are mostly found in your store cupboard , you can make it that easy ."
nyt_eng_19990222_0403_7:11-12,that_easy,easy,(+)_that_easy,that,"the sex and alcohol defense -rrb- was that easy to beat a doping case ,","if it -LRB- the sex and alcohol defense -RRB- was that easy to beat a doping case , then there would be no deterrent for using drugs , '' he said ."
apw_eng_20010720_1311_2:5-6,that_easy,easy,(+)_that_easy,that,if only it were that easy .,if only it were that easy .
pcc_eng_19_019.1656_x0293034_46:10-11,that_easy,easy,(+)_that_easy,that,guys thought it was going to be that easy all the way .,Subconsciously the guys thought it was going to be that easy all the way .
pcc_eng_17_070.9518_x1130201_13:4-5,that_easy,easy,(+)_that_easy,that,shred helps make that easy because every meal is planned in,"Shred helps make that easy because EVERY meal is planned in the book , down the time it should be eaten ."
pcc_eng_05_034.3900_x0540807_062:5-6,that_easy,easy,(+)_that_easy,that,it really is just that easy .,It really is just that easy .
pcc_eng_22_051.3813_x0813961_06:20-21,that_easy,easy,(+)_that_easy,that,or i pad 3 -- it 's that easy .,By using the Bluetooth Smart communication protocol from your i Phone 4S or i Pad 3 -- it 's that easy .
nyt_eng_20071018_0096_13:5-6,that_easy,easy,(+)_that_easy,that,if only life were that easy .,if only life were that easy .
pcc_eng_22_083.5850_x1334898_017:5-6,that_easy,easy,(+)_that_easy,that,the process is really that easy .,The process is really that easy .
pcc_eng_27_099.6886_x1596308_25:3-4,that_easy,easy,(+)_that_easy,that,it 's that easy with our virtual tour software technology,It 's that easy with our virtual tour software technology .
pcc_eng_12_018.1764_x0277953_067:41-42,that_easy,easy,(+)_that_easy,that,( as if a leak is ever that easy ) .,"I ran around like a crazy person , placing buckets and towels and calling our property management company with politely - worded threats about why this was an emergency that needed immediate resolution ( as if a leak is ever that easy ) ."
nyt_eng_19970407_0101_46:4-5,that_easy,easy,(+)_that_easy,that,"if it was that easy , guys would get the robert","if it was that easy , guys would get the Robert Redford cut , or Brad Pitt cut and come out looking like movie stars ."
pcc_eng_19_024.0913_x0372765_85:09-10,that_easy,easy,(+)_that_easy,that,candle makers do wish it was quite that easy ) .,( candle makers do wish it was quite that easy ) .
pcc_eng_24_058.4816_x0929891_17:13-14,that_easy,easy,(+)_that_easy,that,"cover for 5 minutes , it 's that easy !","Turn off the heat and cover for 5 minutes , it 's that easy !"
pcc_eng_15_013.7633_x0205846_042:5-6,that_easy,easy,(+)_that_easy,that,"yeah , it 's that easy .","Yeah , it 's that easy ."
pcc_eng_25_013.8527_x0207809_04:3-4,that_easy,easy,(+)_that_easy,that,it is that easy and you do not have to,It is that easy and you do not have to say another word after that .
pcc_eng_23_051.4755_x0815339_5:3-4,that_easy,easy,(+)_that_easy,that,it 's that easy with these single-use aluminum half chafing,"It 's that easy with these single-use Aluminum Half Chafing Dish Steam Pans , ideal for casseroles , vegetables , breads , and other dishes for your yard party or buffet ."
pcc_eng_03_085.6397_x1370526_26:5-6,that_easy,easy,(+)_that_easy,that,"yes , it 's that easy .","Yes , it 's that easy ."
pcc_eng_23_071.6571_x1141559_240:4-5,that_easy,easy,(+)_that_easy,that,it really was that easy for a while .,It really was that easy for a while .
pcc_eng_21_056.4381_x0896261_35:16-17,that_easy,easy,(+)_that_easy,that,water and ground coffee - it 's that easy .,All you need to do is add hot water and ground coffee - it 's that easy .
pcc_eng_24_101.2117_x1621295_116:8-9,that_easy,easy,(+)_that_easy,that,"with good seo , it can become that easy .","With good SEO , it can become that easy ."
pcc_eng_02_068.2741_x1088149_22:7-8,that_easy,easy,(+)_that_easy,that,every dollar counts and it 's that easy .,Every dollar counts and it 's that easy .
pcc_eng_18_015.6057_x0236699_18:18-19,that_easy,easy,(+)_that_easy,that,"budget , and book , it 's that easy !","Choose the currency of your liking , set in your budget , and book , it 's that easy !"
pcc_eng_01_015.7135_x0237843_06:13-14,that_easy,easy,(+)_that_easy,that,conceal and you 're done it 's that easy .,"Simply cut , click and conceal and you 're done it 's that easy ."
pcc_eng_10_091.1127_x1456898_10:4-5,that_easy,easy,(+)_that_easy,that,will it be that easy ?,Will it be that easy ?
nyt_eng_20080215_0104_16:6-7,that_easy,easy,(+)_that_easy,that,"-lrb- yes , it 's that easy . -rrb-","-lrb- Yes , it 's that easy . -RRB-"
pcc_eng_01_105.4401_x1687803_03:4-5,that_easy,easy,(+)_that_easy,that,it is exactly that easy !,It is exactly that easy !
apw_eng_20001004_0126_4:5-6,that_easy,easy,(+)_that_easy,that,it 's been almost that easy for the new york yankees while,it 's been almost that easy for the New York Yankees while winning three titles over the last four years .
pcc_eng_15_088.8744_x1420367_25:7-8,that_easy,easy,(+)_that_easy,that,but still this technollogy makes prototyping that easy and quick that it is worth,But still this technollogy makes prototyping that easy and quick that it is worth to give it a try .
pcc_eng_23_083.6484_x1335628_18:3-4,that_easy,easy,(+)_that_easy,that,it 's that easy and it 's that important .,It 's that easy and it 's that important .
pcc_eng_19_100.1375_x1603000_10:7-8,that_easy,easy,(+)_that_easy,that,"oh , if only it were that easy .","Oh , if only it were that easy ."
pcc_eng_12_102.5237_x1640739_04:14-15,that_easy,easy,(+)_that_easy,that,"handy hanger and go , it 's that easy !","Simply hang your placard on this handy hanger and go , it 's that easy !"
pcc_eng_29_049.3707_x0781072_83:7-8,that_easy,easy,(+)_that_easy,that,staying happy in london is really that easy .,Staying happy in London is really that easy .
pcc_eng_24_097.3972_x1559219_02:5-6,that_easy,easy,(+)_that_easy,that,if only it were that easy aboard the ship of state in,If only it were that easy aboard the ship of state in Olympia .
pcc_eng_00_061.6495_x0980599_05:11-12,that_easy,easy,(+)_that_easy,that,close the card box - it 's that easy !,Just open and close the card box - it 's that easy !
pcc_eng_29_011.7510_x0173781_17:20-21,that_easy,easy,(+)_that_easy,that,"you apply your makeup , it 's that easy !","All you have to do is spray this over your face after you apply your makeup , it 's that easy !"
pcc_eng_05_028.6724_x0448278_136:5-6,that_easy,easy,(+)_that_easy,that,"i wish it were that easy in certain ways , but it","I wish it were that easy in certain ways , but it would make for bad , boring art ."
pcc_eng_14_003.2972_x0037162_06:5-6,that_easy,easy,(+)_that_easy,that,"yes , it 's that easy !","Yes , it 's that easy !"
pcc_eng_18_087.7449_x1404711_49:16-17,that_easy,easy,(+)_that_easy,that,numerous advanced machines and equipments that make that easy for house owners in order to,"However , within current days there usually are numerous advanced machines and equipments that make that easy for house owners in order to perform this process on their own ."
pcc_eng_28_083.0293_x1326914_30:23-24,that_easy,easy,(+)_that_easy,that,for your records ; it is just that easy .,"As soon as the approved document is available , we will forward it to you for your records ; it is just that easy ."
pcc_eng_20_009.4156_x0135728_231:4-5,that_easy,easy,(+)_that_easy,that,could it be that easy ?,Could it be that easy ?
pcc_eng_val_3.05902_x44076_42:5-6,that_easy,easy,(+)_that_easy,that,"i wish it were that easy , because i 'd cover a","I wish it were that easy , because I 'd cover a whole block ."
pcc_eng_03_083.0178_x1328190_13:21-22,that_easy,easy,(+)_that_easy,that,"your point of view - it 's that easy . ""","Just clip the camera where you want , then capture and stream from your point of view - it 's that easy . """
pcc_eng_07_077.7239_x1239866_35:13-14,that_easy,easy,(+)_that_easy,that,"seem relieved that they 're making it that easy to vote . """,""" A lot of people seem relieved that they 're making it that easy to vote . """
pcc_eng_14_026.6395_x0414138_09:27-28,that_easy,easy,(+)_that_easy,that,"series supporting aboriginal music , it 's that easy .","Simply click on this link , and register , vote for THE CANDY SHOW under the category Best TV series supporting Aboriginal Music , it 's that easy ."
pcc_eng_06_082.5343_x1318565_06:6-7,that_easy,easy,(+)_that_easy,that,if only the choice were that easy .,If only the choice were that easy .
pcc_eng_23_102.1960_x1635593_4:22-23,that_easy,easy,(+)_that_easy,that,"casting is for you , it 's that easy .","If your 'e aging a bit with old shoulders and arthritic thumbs , Spey Casting is for you , it 's that easy ."
pcc_eng_10_019.9131_x0305741_09:6-7,that_easy,easy,(+)_that_easy,that,( if only it were that easy in rl ! ) .,( If only it were that easy in RL ! ) .
pcc_eng_23_085.1515_x1360010_23:26-27,that_easy,easy,(+)_that_easy,that,trash or recycling bin - it 's that easy !,"Take 15 - 20 minutes and once you 've filled your bucket , take it to a local trash or recycling bin - it 's that easy !"
pcc_eng_23_077.0670_x1229229_69:7-8,that_easy,easy,(+)_that_easy,that,if only working with fluorescents were that easy .,If only working with fluorescents were that easy .
