hit_id,adv_form_lower,adj_form_lower,bigram_lower,neg_form_lower,all_forms_lower,text_window,token_str
pcc_eng_02_088.3915_x1412963_25:10-11-12,terribly,wrong,terribly_wrong,n't,n't_terribly_wrong,a privacy violation -- it was n't terribly wrong -- but it was still wrong,It was n't a privacy violation -- it was n't terribly wrong -- but it was still wrong because it was misusing the referer .
pcc_eng_13_042.5807_x0672288_103:3-5-6,terribly,wrong,terribly_wrong,not,not_terribly_wrong,LYDEN : Not so terribly wrong .,LYDEN : Not so terribly wrong .
pcc_eng_07_003.1531_x0034652_134:4-5-6,terribly,wrong,terribly_wrong,not,not_terribly_wrong,The Chinese were not terribly wrong in their assessment .,The Chinese were not terribly wrong in their assessment .
pcc_eng_16_052.9844_x0841390_096:18-23-24,terribly,wrong,terribly_wrong,not,not_terribly_wrong,"one could be , not because everything was so terribly wrong , but because right","The artist , being a feeler ( INFJ ) was as melancholy as one could be , not because everything was so terribly wrong , but because right now was ."
pcc_eng_02_097.6582_x1562714_12:1-2-3,terribly,wrong,terribly_wrong,nothing,nothing_terribly_wrong,Nothing terribly wrong with that .,Nothing terribly wrong with that .
pcc_eng_23_019.5927_x0299952_14:3-4-5,terribly,wrong,terribly_wrong,nothing,nothing_terribly_wrong,"there 's nothing terribly wrong with this book , but it","There 's nothing terribly wrong with this book , but it 's definitely Pop History Lite ."
nyt_eng_19960717_0118_24:3-4-5,terribly,wrong,terribly_wrong,nothing,nothing_terribly_wrong,there 's nothing terribly wrong with mike nichols ' scene-by-scene remake,there 's nothing terribly wrong with Mike Nichols ' scene-by-scene remake of the 1978 French farce _ except the intervening 18 years .
nyt_eng_19960403_0132_3:3-4-5,terribly,wrong,terribly_wrong,nothing,nothing_terribly_wrong,there 's nothing terribly wrong with mike nichols ' scene-by-scene,there 's nothing terribly wrong with Mike Nichols ' scene-by-scene
pcc_eng_27_053.2939_x0845236_12:3-4-5,terribly,wrong,terribly_wrong,nothing,nothing_terribly_wrong,"there 's nothing terribly wrong with that view , except that","There 's nothing terribly wrong with that view , except that it 's essentially the same song they 've been singing for decades with so far nothing to show for it ."
pcc_eng_27_107.03923_x1720975_47:6-7-8,terribly,wrong,terribly_wrong,nothing,nothing_terribly_wrong,"i mean , there 's nothing terribly wrong with it , but i just","I mean , there 's nothing terribly wrong with it , but I just have such lackluster feelings about it ."
pcc_eng_26_090.5816_x1448798_20:3-4-5,terribly,wrong,terribly_wrong,nothing,nothing_terribly_wrong,there 's nothing terribly wrong with the art of murder ;,"There 's nothing terribly wrong with The Art of Murder ; it 's an easygoing sort of play that , whatever its faults , takes up two very short acts ."
pcc_eng_21_064.1143_x1019955_57:39-41-42,terribly,wrong,terribly_wrong,nothing,nothing_terribly_wrong,"supporting statistics were indicators that nothing was terribly wrong . """,""" His walks were a little up ( last season ) , "" general manager Josh Byrnes told the Arizona Republic , "" but I think a lot of his stuff and his supporting statistics were indicators that nothing was terribly wrong . """
pcc_eng_23_034.9774_x0548790_04:4-5-6,terribly,wrong,terribly_wrong,nothing,nothing_terribly_wrong,"although there was nothing terribly wrong with our 1968 traveller , there","Although there was nothing terribly wrong with our 1968 Traveller , there were a few imperfections in the paintwork and the interior was showing the signs of over 40 years of smoking by the original owner , so we decided to give her a bit of a tidy up in time for her 45th birthday ."
