hit_id,adv_form_lower,adj_form_lower,bigram_lower,neg_form_lower,all_forms_lower,text_window,token_str
apw_eng_20090512_1258_4:10-11-12,immediately,successful,immediately_successful,n't,n't_immediately_successful,a representative of the fund were n't immediately successful .,efforts to reach a representative of the fund were n't immediately successful .
apw_eng_20091229_0441_5:09-10-11,immediately,successful,immediately_successful,n't,n't_immediately_successful,reach officials at malpensa airport were n't immediately successful .,efforts to reach officials at Malpensa airport were n't immediately successful .
pcc_eng_22_011.6233_x0171415_06:17-18-19,immediately,successful,immediately_successful,n't,n't_immediately_successful,"for martin 's parents , were n't immediately successful .","CNN 's attempts to reach Benjamin Crump , an attorney for Martin 's parents , were n't immediately successful ."
pcc_eng_21_025.7252_x0399656_29:3-4-5,immediately,successful,immediately_successful,n't,n't_immediately_successful,I was n't immediately successful .,I was n't immediately successful .
pcc_eng_11_086.7944_x1388798_34:30-31-32,immediately,successful,immediately_successful,n't,n't_immediately_successful,the following year because they were n't immediately successful in the first season .,There 's no point in asking a young player to make the switch if they 're going to be dropped or not selected the following year because they were n't immediately successful in the first season .
pcc_eng_19_078.2444_x1247879_12:12-13-14,immediately,successful,immediately_successful,n't,n't_immediately_successful,to determine love 's status were n't immediately successful .,Efforts to reach British authorities to determine Love 's status were n't immediately successful .
pcc_eng_07_108.04484_x1738050_07:08-09-10,immediately,successful,immediately_successful,n't,n't_immediately_successful,to reach swartz for comment were n't immediately successful .,Attempts to reach Swartz for comment were n't immediately successful .
pcc_eng_09_082.8350_x1323914_16:22-23-24,immediately,successful,immediately_successful,n't,n't_immediately_successful,family in the braintree area were n't immediately successful saturday .,Attempts by The Associated Press to track down addresses and phone numbers for Bishop 's family in the Braintree area were n't immediately successful Saturday .
pcc_eng_25_016.9229_x0257366_7:12-13-14,immediately,successful,immediately_successful,n't,n't_immediately_successful,contact the home 's owner were n't immediately successful .,Efforts by the newspaper to contact the home 's owner were n't immediately successful .
apw_eng_20020108_0649_8:20-21-22,immediately,successful,immediately_successful,n't,n't_immediately_successful,"at french club sedan , were n't immediately successful .","attempts to contact Salif Diao , the players ' spokesman and a midfielder at French club Sedan , were n't immediately successful ."
pcc_eng_05_031.7622_x0498441_14:11-12-13,immediately,successful,immediately_successful,n't,n't_immediately_successful,a city official for comment was n't immediately successful .,An attempt to reach a city official for comment was n't immediately successful .
pcc_eng_15_019.0858_x0292097_12:6-7-8,immediately,successful,immediately_successful,n't,n't_immediately_successful,attempts to reach canseco were n't immediately successful .,Attempts to reach Canseco were n't immediately successful .
apw_eng_20090703_0241_14:08-09-10,immediately,successful,immediately_successful,n't,n't_immediately_successful,seeking comment friday from sullivan were n't immediately successful .,calls seeking comment Friday from Sullivan were n't immediately successful .
pcc_eng_17_050.9928_x0807648_09:10-11-12,immediately,successful,immediately_successful,n't,n't_immediately_successful,lawndale christian officials tuesday evening were n't immediately successful .,Attempts to reach Lawndale Christian officials Tuesday evening were n't immediately successful .
apw_eng_20090619_1275_21:12-13-14,immediately,successful,immediately_successful,n't,n't_immediately_successful,listed phone number for easton was n't immediately successful .,an attempt to find a listed phone number for Easton was n't immediately successful .
pcc_eng_27_063.6700_x1013134_35:5-6-7,immediately,successful,immediately_successful,n't,n't_immediately_successful,Stop if you are n't immediately successful .,Stop if you are n't immediately successful .
pcc_eng_02_092.6819_x1482217_19:25-26-27,immediately,successful,immediately_successful,n't,n't_immediately_successful,of football management if he is n't immediately successful .,"Alex Mc Leish , one suspects , may have one of the shortest honeymoon periods in the history of football management if he is n't immediately successful ."
pcc_eng_28_042.5603_x0672313_5:14-15-16,immediately,successful,immediately_successful,not,not_immediately_successful,the newark board of education were not immediately successful wednesday night .,Attempts to reach the bus company and the Newark Board of Education were not immediately successful Wednesday night .
nyt_eng_20061130_0081_19:10-11-12,immediately,successful,immediately_successful,not,not_immediately_successful,is an incredible recording it was not immediately successful and the band broke up after,even though this is an incredible recording it was not immediately successful and the band broke up after it was released .
pcc_eng_22_083.2867_x1330097_24:7-8-9,immediately,successful,immediately_successful,not,not_immediately_successful,attempts to reach him thursday were not immediately successful .,Attempts to reach him Thursday were not immediately successful .
pcc_eng_21_071.6104_x1141054_09:16-17-18,immediately,successful,immediately_successful,not,not_immediately_successful,to contact relatives for comment were not immediately successful .,The causes of death were not announced and attempts to contact relatives for comment were not immediately successful .
pcc_eng_00_035.4453_x0556395_12:15-16-17,immediately,successful,immediately_successful,not,not_immediately_successful,and bank of austria representatives were not immediately successful .,Efforts to reach Kohn 's attorney in Vienna and Bank of Austria representatives were not immediately successful .
