hit_id,adv_form_lower,adj_form_lower,bigram_lower,neg_form_lower,all_forms_lower,text_window,token_str
pcc_eng_29_085.4475_x1364026_02:20-21-22,ever,satisfied,ever_satisfied,ain't,ain't_ever_satisfied,shall be released elvis presley i ain't ever satisfied john mellencamp ( happy bday john,I can only give you everything AMBERTONES I want you BOB DYLAN I shall be released ELVIS PRESLEY I ain't ever satisfied JOHN MELLENCAMP ( happy bday John ) I could have stood you up KEITH RICHARDS I call your name BEATLES ( happy bday John Lennon ) I wanna be sedated JOHN HIATT I do n't want to grow up RAMONES ( happy bday Johnny and CJ Ramone ) I love you LONDON LEE I love you love me JOAN JETT and BLACKHEARTS I play drums THE DEL LORDS ( happy bday Del Lord ) I am your radio BOSS MARTIANS I ca n't stand up for falling down ELVIS COSTELLO & BRUCE SPRINGSTEEN ( happy bday Sam Moore ) I ca n't let go CONTINENTAL DRIFTERS I ca n't get you off of my mind WILLIE NILE I ca n't help it if i'm still in love with you HANK WILLIAMS I am alive ( live peak ) GARLAND JEFFREYS
pcc_eng_03_007.1777_x0099795_474:12-13-14,ever,satisfied,ever_satisfied,ain't,ain't_ever_satisfied,on steve earle 's ' i ain't ever satisfied ' is effective if less forceful,A lowkey but gutsy take on Steve Earle 's ' I Ain't Ever Satisfied ' is effective if less forceful than Earle 's rocking original .
pcc_eng_27_054.6820_x0867710_33:32-33-34,ever,satisfied,ever_satisfied,ain't,ain't_ever_satisfied,"wrong ( "" some of them ain't ever satisfied "" ) while refusing to accept",""" Here Today and Gone Tomorrow "" appeared then to be just another song of a man carrying on about the woman who done him wrong ( "" some of them ain't ever satisfied "" ) while refusing to accept any responsibility for the situation ."
pcc_eng_29_003.0834_x0033661_07:17-18-19,ever,satisfied,ever_satisfied,hardly,hardly_ever_satisfied,"expensive and frankly , i am hardly ever satisfied with the quality plus who needs","I am not a fan of takeaways , they are expensive and frankly , I am hardly ever satisfied with the quality plus who needs to throw away all that money when I can make something inexpensive , quick and delicious at home ."
nyt_eng_19970519_0243_27:11-12-13,ever,satisfied,ever_satisfied,hardly,hardly_ever_satisfied,"elusive `` family values '' is hardly ever satisfied in my family , because no","the search for those elusive `` family values '' is hardly ever satisfied in my family , because no one ever seems to agree with my perfectly rational and commendable conception of what those values should be ."
pcc_eng_01_097.7186_x1563599_04:23-24-25,ever,satisfied,ever_satisfied,hardly,hardly_ever_satisfied,"especially among a generation that is hardly ever satisfied to know what to expect ,","In effect , the job of a meteorologist has become all the more pronounced today , especially among a generation that is hardly ever satisfied to know what to expect , but also demands to understand why a certain situation is about to happen ."
pcc_eng_13_030.9653_x0484596_03:19-20-21,ever,satisfied,ever_satisfied,hardly,hardly_ever_satisfied,"and that 's because i am hardly ever satisfied with my writing , therefore i","I 've posted about a gazilion threads about names for characters , and that 's because I am hardly ever satisfied with my writing , therefore I create new characters to satisfy the style ."
pcc_eng_07_002.7391_x0027996_174:3-4-5,ever,satisfied,ever_satisfied,n't,n't_ever_satisfied,She is n't ever satisfied .,She is n't ever satisfied .
pcc_eng_00_018.8916_x0288887_058:3-5-6,ever,satisfied,ever_satisfied,n't,n't_ever_satisfied,""" are n't you ever satisfied ? "" he says .",""" Are n't you ever satisfied ? "" he says ."
pcc_eng_18_092.3638_x1479462_03:7-8-9,ever,satisfied,ever_satisfied,n't,n't_ever_satisfied,i showed up and he was n't ever satisfied with anything i did .,I showed up and he was n't ever satisfied with anything I did .
