hit_id,bigram_lower,adj_form_lower,all_forms_lower,adv_form_lower,text_window,token_str
pcc_eng_28_089.4547_x1430965_08:09-10,that_great,great,(+)_that_great,that,the love of the thing is just that great .,Because the love of the thing is just that great .
pcc_eng_03_038.7086_x0610820_024:8-9,that_great,great,(+)_that_great,that,"if the preparations had really been all that great , the result would have been","If the preparations had really been all that great , the result would have been different ."
pcc_eng_08_074.8141_x1195189_34:7-8,that_great,great,(+)_that_great,that,"yeah , smart search is actually that great .","Yeah , Smart Search is actually that great ."
pcc_eng_23_016.7923_x0254740_03:36-37,that_great,great,(+)_that_great,that,", gas-filled fat guy exploding is all that great .","While I am sure it 's nice to be memorialized , I have to wonder if having your name be the embodiment of the sound of a giant , gas-filled fat guy exploding is all that great ."
pcc_eng_18_105.7846_x1697656_21:6-7,that_great,great,(+)_that_great,that,is working from home really that great ?,Is working from home really that great ?
pcc_eng_19_080.8513_x1290165_10:11-12,that_great,great,(+)_that_great,that,started wondering : was san francisco really that great ?,But then I started wondering : Was San Francisco really that great ?
pcc_eng_27_069.7593_x1111689_48:28-29,that_great,great,(+)_that_great,that,great or whether they remember them being that great because it was 25 years ago,""" There are a lot of people who 've had these insanely great experiences , whether they were really that great or whether they remember them being that great because it was 25 years ago , "" the bartender says ."
pcc_eng_14_004.6633_x0059361_15:6-7,that_great,great,(+)_that_great,that,is the new product really that great ?,Is the new product really that great ?
pcc_eng_12_022.1016_x0341282_050:5-6,that_great,great,(+)_that_great,that,"if it was really that great , why would it be free","If it was really that great , why would it be free ?"
pcc_eng_26_097.6162_x1562028_59:39-40,that_great,great,(+)_that_great,that,we saw above that her holiness was that great even at the start .,"She had to will this in spite of a love for her Son so great that "" only God can comprehend it "" -- for Pius IX had said , as we saw above that her holiness was that great even at the start ."
pcc_eng_09_019.7429_x0303407_35:09-10,that_great,great,(+)_that_great,that,"is great , but is it really that great ?","Which is great , but is it really that great ?"
pcc_eng_28_028.8013_x0449185_10:8-9,that_great,great,(+)_that_great,that,"- are both teams ' offenses really that great , or is the defense on","- Are both teams ' offenses really that great , or is the defense on both ends of the ball simply non-existent ?"
pcc_eng_15_023.2000_x0358751_05:11-12,that_great,great,(+)_that_great,that,doubted that the toys or treats were that great of quality .,"Honestly , I doubted that the toys or treats were that great of quality ."
pcc_eng_15_088.5165_x1414648_02:5-6,that_great,great,(+)_that_great,that,"with a free deal that great , i decided to install greenstack","With a free deal that great , I decided to install Greenstack myself to see it in action ."
pcc_eng_13_105.1847_x1683596_27:25-26,that_great,great,(+)_that_great,that,deeper and see if they 're really that great .,"I wanted to place an order right away , but my brain started telling me to dig deeper and see if they 're really that great ."
pcc_eng_24_048.0532_x0760478_16:47-48,that_great,great,(+)_that_great,that,i figure if the guy 's really that great that he 'll be around once,"Ninety - nine percent of the time , when it comes down to it , if I have the choice between a great role and seeing a new guy , I would probably go for the great role because I figure if the guy 's really that great that he 'll be around once I 'm done with the movie ."
nyt_eng_19960720_0230_50:15-16,that_great,great,(+)_that_great,that,someday is scary ; his potential is that great .,what Wheatley may be able to do someday is scary ; his potential is that great .
pcc_eng_06_094.4370_x1511261_49:4-5,that_great,great,(+)_that_great,that,the stakes are that great !,The stakes are that great !
pcc_eng_26_017.2252_x0262207_18:7-8,that_great,great,(+)_that_great,that,the boston red sox really are that great .,The Boston Red Sox really are that great .
pcc_eng_05_062.7456_x0999107_17:30-31,that_great,great,(+)_that_great,that,between the qf and the others isnt that great on the front lines .,"friendlies taking damage , or those who have recently taken damage will take a longer time to heal , so the difference between the QF and the others isnt that great on the front lines ."
pcc_eng_28_018.5850_x0284349_48:17-18,that_great,great,(+)_that_great,that,"to tell you if home had been that great , he would n't have left","And by the way , Tom Hardy told me to tell you if home had been that great , he would n't have left ."
apw_eng_20030122_0578_2:14-15,that_great,great,(+)_that_great,that,"class player ... that can really make that great a difference for us , ''","`` Brian Lara is a world class player ... that can really make that great a difference for us , '' Harper said as the camp moved into its second week ."
pcc_eng_16_065.0717_x1037108_06:8-9,that_great,great,(+)_that_great,that,the problem is that book was only that great of a shooter when he was,The problem is that Book was only that great of a shooter when he was able to create for himself .
