hit_id,bigram_lower,adj_form_lower,all_forms_lower,adv_form_lower,text_window,token_str
pcc_eng_05_031.7527_x0498280_42:21-22,terribly_misguided,misguided,(+)_terribly_misguided,terribly,"what i do , might be considered terribly misguided .","Of course * my * understanding of terribly misguided and their understanding for what I do , might be considered terribly misguided ."
pcc_eng_26_009.6211_x0139293_199:16-17,terribly_misguided,misguided,(+)_terribly_misguided,terribly,republican or otherwise ) rejected integration for terribly misguided fears about what would happen to,"Some Southern "" Conservatives "" ( be they Republican or otherwise ) rejected integration for terribly misguided fears about what would happen to their "" civilization . """
pcc_eng_05_031.7527_x0498280_42:8-9,terribly_misguided,misguided,(+)_terribly_misguided,terribly,of course * my * understanding of terribly misguided and their understanding for what i,"Of course * my * understanding of terribly misguided and their understanding for what I do , might be considered terribly misguided ."
pcc_eng_10_009.7670_x0141660_19:24-25,terribly_misguided,misguided,(+)_terribly_misguided,terribly,"be seen as a noble , albeit terribly misguided effort to make the world a","Hitler 's attempt to cleanse Europe of its Judeo - Christian elements can , therefore , be seen as a noble , albeit terribly misguided effort to make the world a better place ."
pcc_eng_21_033.4450_x0524675_27:12-13,terribly_misguided,misguided,(+)_terribly_misguided,terribly,negotiated with the iranian regime under the terribly misguided operating principle that any deal --,""" The Obama administration negotiated with the Iranian regime under the terribly misguided operating principle that any deal -- even a bad deal -- was better than no deal ."
pcc_eng_18_026.2363_x0408003_16:8-9,terribly_misguided,misguided,(+)_terribly_misguided,terribly,"basu said demonetisation proved to be "" terribly misguided "" , and the introduction of","Basu said demonetisation proved to be "" terribly misguided "" , and the introduction of the Goods and Services Tax was "" a move in the right direction but poorly executed "" ."
pcc_eng_23_020.9320_x0321909_10:21-22,terribly_misguided,misguided,(+)_terribly_misguided,terribly,""" elitist attitude "" are terribly , terribly misguided .","The think pieces trickling in calling liberals out for losing because of an "" elitist attitude "" are terribly , terribly misguided ."
pcc_eng_28_108.05475_x1739461_18:18-19,terribly_misguided,misguided,(+)_terribly_misguided,terribly,that he 'd volunteered to fight was terribly misguided .,His first posting to Iraq convinced Tillman that the war that he 'd volunteered to fight was terribly misguided .
pcc_eng_25_010.1586_x0148297_1:18-19,terribly_misguided,misguided,(+)_terribly_misguided,terribly,feel like people who do this are terribly misguided .,Penelope Braxton Surname / Boys names on girls - I feel like people who do this are terribly misguided .
pcc_eng_11_085.1083_x1361433_081:12-13,terribly_misguided,misguided,(+)_terribly_misguided,terribly,confrontation with what i now considered a terribly misguided decision .,It would be my confrontation with what I now considered a terribly misguided decision .
nyt_eng_20001025_0252_29:4-5,terribly_misguided,misguided,(+)_terribly_misguided,terribly,"and in a terribly misguided move , hootie and the blowfish","and in a terribly misguided move , Hootie and the Blowfish serve up 15 tracks worth of their usual drab balladry -LRB- '' I Go Blind '' -RRB- along with some truly lifeless cover tunes on `` Scattered , Smothered , And Covered . ''"
nyt_eng_20080708_0093_18:39-40,terribly_misguided,misguided,(+)_terribly_misguided,terribly,marijuana ; whole-wheat alternatives ; and the terribly misguided bacon-topped variety .,"what other explanation can there be for the wan versions and unfortunate misinterpretations that have popped up everywhere -- eggless and sugarless renditions ; cookies studded with carob , tofu and marijuana ; whole-wheat alternatives ; and the terribly misguided bacon-topped variety ."
pcc_eng_02_040.3585_x0636817_16:4-5,terribly_misguided,misguided,(+)_terribly_misguided,terribly,it 's just terribly misguided protection .,It 's just terribly misguided protection .
pcc_eng_02_037.1177_x0584490_025:2-3,terribly_misguided,misguided,(+)_terribly_misguided,terribly,even terribly misguided bank swallows do n't nest in,"Even terribly misguided Bank Swallows do n't nest in man-made structures , so this seemed unusual on two levels ."
nyt_eng_19950311_0188_7:13-14,terribly_misguided,misguided,(+)_terribly_misguided,terribly,"genius again , though i fear a terribly misguided one .","well , he 's a genius again , though I fear a terribly misguided one ."
pcc_eng_09_005.6276_x0075132_067:15-16,terribly_misguided,misguided,(+)_terribly_misguided,terribly,"however , he realizes that he was terribly misguided .","By the end of the story , however , he realizes that he was terribly misguided ."
pcc_eng_09_013.0369_x0194961_52:13-14,terribly_misguided,misguided,(+)_terribly_misguided,terribly,"to the colonists , but he was terribly misguided about how to handle things .","Yes , he was sympathetic to the colonists , but he was terribly misguided about how to handle things ."
pcc_eng_02_037.1177_x0584490_027:2-3,terribly_misguided,misguided,(+)_terribly_misguided,terribly,even terribly misguided tree swallows do n't take up,"Even terribly misguided Tree Swallows do n't take up with Bank Swallows , so the brown female was , in fact , a first year female Tree Swalllow ."
pcc_eng_19_076.3843_x1217837_27:09-10,terribly_misguided,misguided,(+)_terribly_misguided,terribly,there is a better symbol of the terribly misguided decisions that the self-imposed division from,"If there is a better symbol of the terribly misguided decisions that the self-imposed division from nature that "" vision B "" produces than the decision to genetically alter an insect that regularly feeds on human blood , I do n't know what it is -- unless it is the decision to start releasing clouds of them into the wild in an act that can never be un-done ."
pcc_eng_03_103.0472_x1652313_080:5-6,terribly_misguided,misguided,(+)_terribly_misguided,terribly,i simply consider her terribly misguided .,I simply consider her terribly misguided .
pcc_eng_05_029.2717_x0457967_01:10-11,terribly_misguided,misguided,(+)_terribly_misguided,terribly,question we might be asking about this terribly misguided ad from mr. clean is what,"The first question we might be asking about this terribly misguided ad from Mr. Clean is what sort of weird , Oedipal relationship does a son have with his mother where he dresses like the Brawny towel paper dude 's less brawny younger brother in order to clean mom's house ?"
pcc_eng_10_010.0931_x0146972_33:11-12,terribly_misguided,misguided,(+)_terribly_misguided,terribly,"to say , i guess , but terribly misguided -- and easy for her to","Nice of her to say , I guess , but terribly misguided -- and easy for her to say -- given that starring roles abound for tall , blue-eyed blondes in all manner of films ."
pcc_eng_20_087.5260_x1397819_055:19-20,terribly_misguided,misguided,(+)_terribly_misguided,terribly,""" exceptionally large beaver "" are either terribly misguided or are simply wishing to play","Those who make her out to be a type stergeon or "" exceptionally large beaver "" are either terribly misguided or are simply wishing to play the devil 's advocate ."
pcc_eng_10_074.0936_x1181474_29:6-7,terribly_misguided,misguided,(+)_terribly_misguided,terribly,"this is deeply troubling , terribly misguided and very dangerous . ""","This is deeply troubling , terribly misguided and very dangerous . """
pcc_eng_21_020.5443_x0315711_30:10-11,terribly_misguided,misguided,(+)_terribly_misguided,terribly,speech given last week in europe was terribly misguided and will upset markets as the,His new speech given last week in Europe was terribly misguided and will upset markets as the Chinese and Germans wo n't ignore his challenges .
pcc_eng_09_022.7812_x0352542_047:14-15,terribly_misguided,misguided,(+)_terribly_misguided,terribly,"brennan calling jackson 's selection a "" terribly misguided nomination that will hurt both a","PHILLIP : Former CIA chief John Brennan calling Jackson 's selection a "" terribly misguided nomination that will hurt both a good man and our veterans . """
