hit_id,adv_form_lower,adj_form_lower,bigram_lower,neg_form_lower,all_forms_lower,text_window,token_str
pcc_eng_28_027.6030_x0429671_60:2-6-7,terribly,interested,terribly_interested,few,few_terribly_interested,very few of them are terribly interested in being honest with us about,Very few of them are terribly interested in being honest with us about the process .
pcc_eng_18_088.8822_x1423135_087:3-4-5,terribly,interested,terribly_interested,n't,n't_terribly_interested,they were n't terribly interested in what the courts said or,"They were n't terribly interested in what the courts said or what the law said . """
pcc_eng_19_077.2584_x1231926_09:6-7-8,terribly,interested,terribly_interested,n't,n't_terribly_interested,"the reporter , eagle was n't terribly interested in traditional ministry but did have","The Reporter , Eagle was n't terribly interested in traditional ministry but did have a passion for feminist and liberation theology ."
pcc_eng_23_017.3090_x0263073_07:5-6-7,terribly,interested,terribly_interested,n't,n't_terribly_interested,that be probably are n't terribly interested in whether curve ball knows what,"That Be probably are n't terribly interested in whether Curve Ball knows what he 's talking about "" ."
pcc_eng_28_065.2257_x1039269_34:3-4-5,terribly,interested,terribly_interested,n't,n't_terribly_interested,i was n't terribly interested by the film when it first,"I was n't terribly interested by the film when it first came out ; having seen it , I made sure that I 'd catch Catching Fire on the big screen ."
pcc_eng_10_051.7521_x0820925_045:09-10-11,terribly,interested,terribly_interested,n't,n't_terribly_interested,"recall , the big companies were n't terribly interested .","As I recall , the big companies were n't terribly interested ."
pcc_eng_25_009.0421_x0130317_09:6-7-8,terribly,interested,terribly_interested,n't,n't_terribly_interested,but aly & aj are n't terribly interested in upholding expectations :,But Aly & AJ are n't terribly interested in upholding expectations :
pcc_eng_11_018.9805_x0290705_22:3-4-5,terribly,interested,terribly_interested,n't,n't_terribly_interested,"beach was n't terribly interested in full personnels , in the","Beach was n't terribly interested in full personnels , in the best sound quality , in the original label of issue , presenting alternate takes in sequence , arranging an artist 's career chronologically ."
pcc_eng_05_082.0776_x1312253_42:13-14-15,terribly,interested,terribly_interested,n't,n't_terribly_interested,fucking is that most women are n't terribly interested in it and anything that 's,"Part of the allure of ass fucking is that most women are n't terribly interested in it and anything that 's uncommon or taboo tends to be hugely arousing , thus the lust for sexy anal with our wives and girlfriends ."
pcc_eng_21_016.8492_x0255882_06:16-17-18,terribly,interested,terribly_interested,n't,n't_terribly_interested,"'re very honest , you were n't terribly interested in hearing any more about this","Sorry , friends back home , but if you 're very honest , you were n't terribly interested in hearing any more about this experience ; what 's more , it turns out that after thinking of almost nothing but the same two papers for two months , one really does n't want to think about them for a Good Long While ."
pcc_eng_17_056.9198_x0903438_42:3-4-5,terribly,interested,terribly_interested,n't,n't_terribly_interested,i was n't terribly interested in the description until i came,I was n't terribly interested in the description until I came to half pooka .
pcc_eng_24_024.5202_x0380283_15:28-29-30,terribly,interested,terribly_interested,n't,n't_terribly_interested,his thought for those who are n't terribly interested .,Tim Berra's Charles Darwin-- published on the bicentennial of Darwin 's birth -- is an adequate introduction to the man and his thought for those who are n't terribly interested .
nyt_eng_20050207_0084_55:20-21-22,terribly,interested,terribly_interested,n't,n't_terribly_interested,"in washington , who `` was n't terribly interested '' in merging .","last year , she phoned John Aldock , chairman of Shea & Gardner in Washington , who `` was n't terribly interested '' in merging ."
pcc_eng_18_088.2726_x1413313_198:11-12-13,terribly,interested,terribly_interested,n't,n't_terribly_interested,"the junket with hillary , was n't terribly interested in the secretary 's obituary of","Klein , along on the junket with Hillary , was n't terribly interested in the secretary 's obituary of Obama 's failed outreach to Iran ."
nyt_eng_19961114_0533_30:09-10-11,terribly,interested,terribly_interested,n't,n't_terribly_interested,"turned out , i just was n't terribly interested in baseball and got to like","as it turned out , I just was n't terribly interested in baseball and got to like tennis , soccer and basketball much more before I turned to football . ''"
pcc_eng_05_008.0679_x0114688_38:3-5-6,terribly,interested,terribly_interested,n't,n't_terribly_interested,"i was n't too terribly interested in the winners , and some","I was n't too terribly interested in the winners , and some may become upset at that ."
pcc_eng_10_076.6552_x1222776_235:31-32-33,terribly,interested,terribly_interested,n't,n't_terribly_interested,"dicey , because american readers are n't terribly interested in asia as a golf travel","You 've pretty much have to trek to Asia , especially China , to see new courses in volume -- and even that is dicey , because American readers are n't terribly interested in Asia as a golf travel destination ."
nyt_eng_19991210_0095_17:13-14-15,terribly,interested,terribly_interested,n't,n't_terribly_interested,"warm-hearted but scattered mom who is n't terribly interested in self-analysis , and just keeps","Ava good-naturedly plays parent to her warm-hearted but scattered mom who is n't terribly interested in self-analysis , and just keeps repeating the same old coquettish Southern belle routines that attract the same initially easygoing but eventually sullen and controlling men ."
pcc_eng_14_030.0030_x0468687_22:6-8-9,terribly,interested,terribly_interested,n't,n't_terribly_interested,clearly the board team has n't been terribly interested in reaching an agreement with the,Clearly the Board team has n't been terribly interested in reaching an agreement with the unions about the fiscal status of the university -- but real efforts to reach such an agreement may be rather more than what is legally required for good faith bargaining .
pcc_eng_15_015.1317_x0228127_050:09-10-11,terribly,interested,terribly_interested,n't,n't_terribly_interested,", nate admitted , he was n't terribly interested in jiu-jitsu .","At first , Nate admitted , he was n't terribly interested in jiu-jitsu ."
pcc_eng_12_065.9324_x1049510_23:17-18-19,terribly,interested,terribly_interested,n't,n't_terribly_interested,live in chicago and he is n't terribly interested in leaving ( though he 's,"Complicating the trade market is that Dempster and his family live in Chicago and he is n't terribly interested in leaving ( though he 's agreed to waive his 10 - 5 rights ) , so it 's entirely possible that a team could trade for him , only for him to return to the Cubs with a team-friendly contract in the offseason ."
pcc_eng_08_076.1877_x1217330_6:12-14-15,terribly,interested,terribly_interested,n't,n't_terribly_interested,it makes sense lee would n't be terribly interested in gambling and that she might,"Because she 's a child , it makes sense Lee would n't be terribly interested in gambling and that she might seem almost invisible in the context of that many adults focused on their own desires ."
pcc_eng_04_054.7082_x0867487_034:20-21-22,terribly,interested,terribly_interested,n't,n't_terribly_interested,", so i guess he was n't terribly interested in the tissue , after all","He dramatically sneezes his way off the screen and returns to his perch , so I guess he was n't terribly interested in the tissue , after all ."
pcc_eng_17_071.8720_x1145294_34:4-5-6,terribly,interested,terribly_interested,n't,n't_terribly_interested,but i was n't terribly interested in just putting out a blank,But I was n't terribly interested in just putting out a blank green jersey .
pcc_eng_21_010.4983_x0153282_106:12-13-14,terribly,interested,terribly_interested,n't,n't_terribly_interested,"the first time , i was n't terribly interested in gangster movies , but i","When I saw it for the first time , I was n't terribly interested in gangster movies , but I picked up a copy of it because I 'd heard it was good and because I like Jean Harlow ."
pcc_eng_19_041.3306_x0650948_08:26-27-28,terribly,interested,terribly_interested,n't,n't_terribly_interested,mariners general manager jack zduriencik was n't terribly interested in trading him .,"The Orioles , along with a couple of other teams , showed interest in Morse at the deadline but Mariners general manager Jack Zduriencik was n't terribly interested in trading him ."
nyt_eng_20000612_0001_1:12-13-14,terribly,interested,terribly_interested,n't,n't_terribly_interested,red sox closer derek lowe was n't terribly interested in discussing the artistic merits of,"though they were considerable , Red Sox closer Derek Lowe was n't terribly interested in discussing the artistic merits of the team 's 5-3 win over the Atlanta Braves Sunday afternoon ."
pcc_eng_03_088.7494_x1421003_36:37-38-39,terribly,interested,terribly_interested,n't,n't_terribly_interested,initial research has shown consumers are n't terribly interested in searching tv shows .,""" But it 's very relevant , and I 'll be tracking the direction they end up going with it , "" he said , adding that his company 's initial research has shown consumers are n't terribly interested in searching TV shows ."
apw_eng_20090129_1000_5:20-21-22,terribly,interested,terribly_interested,n't,n't_terribly_interested,an impression -- that russia is n't terribly interested in that option either . '',`` I have the impression after our talk -- maybe even more than an impression -- that Russia is n't terribly interested in that option either . ''
pcc_eng_25_009.2923_x0134254_50:19-20-21,terribly,interested,terribly_interested,n't,n't_terribly_interested,"in the world , i was n't terribly interested in spending all my time site-seeing","I was there primarily to visit with some of my favorite people in the world , I was n't terribly interested in spending all my time site-seeing , but I think we had a really nice balance of quality time and tourism ."
