hit_id,adv_form_lower,adj_form_lower,bigram_lower,neg_form_lower,all_forms_lower,text_window,token_str
pcc_eng_25_002.4364_x0023475_04:5-6-7,exactly,easy,exactly_easy,ain't,ain't_exactly_easy,"you tell me it ain't exactly easy , well how do you think","You tell me it ain't exactly easy , Well how do you think it feels for me ?"
pcc_eng_18_014.1824_x0213630_2:4-5-6,exactly,easy,exactly_easy,n't,n't_exactly_easy,this place is n't exactly easy to find without some direction from,This place is n't exactly easy to find without some direction from a friend or stranger online .
pcc_eng_23_080.5039_x1284707_48:26-27-28,exactly,easy,exactly_easy,n't,n't_exactly_easy,", those important things that are n't exactly easy to deal with .","Folks who do n't open up can often develop a mental mechanism that "" forgets , "" or deprioritizes , those important things that are n't exactly easy to deal with ."
pcc_eng_19_018.4628_x0281787_02:10-11-12,exactly,easy,exactly_easy,n't,n't_exactly_easy,destination for a romantic getaway is n't exactly easy .,Pinpointing the best destination for a romantic getaway is n't exactly easy .
pcc_eng_21_099.8813_x1597651_08:43-44-45,exactly,easy,exactly_easy,n't,n't_exactly_easy,"ritual and spellwork , oils are n't exactly easy to examine close - up .","Many who are new to the Craft may have little understanding of just what it is they 're anointing their candles ( or their own bodies ) with , since unlike most other tools used in ritual and spellwork , oils are n't exactly easy to examine close - up ."
pcc_eng_02_083.6865_x1336873_124:7-8-9,exactly,easy,exactly_easy,n't,n't_exactly_easy,"giving up "" office "" is n't exactly easy , especially when "" office ""","Giving up "" office "" is n't exactly easy , especially when "" office "" grants you lots of power and very nice trappings ."
pcc_eng_17_071.8998_x1145736_57:11-12-13,exactly,easy,exactly_easy,n't,n't_exactly_easy,"simulation title , the difficulty is n't exactly easy to percept .","Well , as a simulation title , the difficulty is n't exactly easy to percept ."
pcc_eng_04_049.9080_x0790263_03:4-6-7,exactly,easy,exactly_easy,n't,n't_exactly_easy,last week has n't been exactly easy with greenlight and everything ( see,"Last week has n't been exactly easy with Greenlight and everything ( see the previous posts in the blog ) , but I managed to do a little bunch of things in addition of the Arcanist specialization for the Mage ."
pcc_eng_26_005.8931_x0078771_117:3-4-5,exactly,easy,exactly_easy,n't,n't_exactly_easy,it was n't exactly easy to get a read on either,It was n't exactly easy to get a read on either prospect .
pcc_eng_29_004.9107_x0063306_30:6-7-8,exactly,easy,exactly_easy,n't,n't_exactly_easy,"unfortunately , finding parking is n't exactly easy and my friend is starting to","Unfortunately , finding parking is n't exactly easy and my friend is starting to lose his patience ."
pcc_eng_23_085.2683_x1361942_21:19-20-21,exactly,easy,exactly_easy,n't,n't_exactly_easy,", and as such , are n't exactly easy to learn / use .","C ++ , .NET , and Java are all very powerful languages , and as such , are n't exactly easy to learn / use ."
pcc_eng_16_083.2714_x1331722_14:5-6-7,exactly,easy,exactly_easy,n't,n't_exactly_easy,Rocks from Mars are n't exactly easy to come by .,Rocks from Mars are n't exactly easy to come by .
pcc_eng_21_095.3299_x1523985_15:10-11-12,exactly,easy,exactly_easy,n't,n't_exactly_easy,"ago , biking across nyc was n't exactly easy .","A few years ago , biking across NYC was n't exactly easy ."
pcc_eng_11_092.9160_x1488026_110:4-5-6,exactly,easy,exactly_easy,n't,n't_exactly_easy,"This town is n't exactly easy to visit . ""","This town is n't exactly easy to visit . """
pcc_eng_21_062.6496_x0996423_58:5-6-7,exactly,easy,exactly_easy,n't,n't_exactly_easy,after all it is n't exactly easy to get in or out of,After all it is n't exactly easy to get in or out of the West Bank or Gaza so there are limited opportunities to challenge this stereotype .
nyt_eng_19960321_0390_46:21-22-23,exactly,easy,exactly_easy,n't,n't_exactly_easy,"off the rnc 's list is n't exactly easy , beadle charges .","but despite protests by individuals who ask not to be called , getting taken off the RNC 's list is n't exactly easy , Beadle charges ."
pcc_eng_07_029.0113_x0453110_43:16-17-18,exactly,easy,exactly_easy,n't,n't_exactly_easy,", the knuckle - curve is n't exactly easy to master -- or others would","Sorry for piling on , but arm slot aide , the knuckle - curve is n't exactly easy to master -- or others would be throwing it ."
pcc_eng_12_007.1339_x0099050_17:4-5-6,exactly,easy,exactly_easy,n't,n't_exactly_easy,Her plan was n't exactly easy .,Her plan was n't exactly easy .
pcc_eng_14_006.9552_x0096295_14:16-17-18,exactly,easy,exactly_easy,n't,n't_exactly_easy,"to follow , but it is n't exactly easy .","The Fat Burning Diet is not the hardest diet to follow , but it is n't exactly easy ."
pcc_eng_25_032.7650_x0514119_7:7-8-9,exactly,easy,exactly_easy,n't,n't_exactly_easy,but being an aspiring bassist was n't exactly easy -- or financially practical .,But being an aspiring bassist was n't exactly easy -- or financially practical .
pcc_eng_20_084.9710_x1356743_05:5-6-7,exactly,easy,exactly_easy,n't,n't_exactly_easy,Being Wonder Woman is n't exactly easy .,Being Wonder Woman is n't exactly easy .
pcc_eng_24_106.3849_x1705088_39:5-6-7,exactly,easy,exactly_easy,n't,n't_exactly_easy,"the resource gathering is n't exactly easy , but the crafting is ,","The resource gathering is n't exactly easy , but the crafting is , so it strikes a good balance ."
pcc_eng_14_002.5414_x0024945_007:08-09-10,exactly,easy,exactly_easy,n't,n't_exactly_easy,", finding the right questions is n't exactly easy .","However , finding the right questions is n't exactly easy ."
pcc_eng_11_002.7044_x0027650_13:25-26-27,exactly,easy,exactly_easy,n't,n't_exactly_easy,"games , but their schedule is n't exactly easy .","- Seton Hall ( 52nd in n ERD ) is just 3 - 5 in their past eight games , but their schedule is n't exactly easy ."
pcc_eng_24_103.9223_x1665222_35:11-12-13,exactly,easy,exactly_easy,n't,n't_exactly_easy,"arrested or convicted , it is n't exactly easy to find legitimate work .","Once you 've been arrested or convicted , it is n't exactly easy to find legitimate work ."
pcc_eng_26_043.1664_x0682010_36:12-13-14,exactly,easy,exactly_easy,n't,n't_exactly_easy,up with open table payments is n't exactly easy .,"Meanwhile , getting customers set up with Open Table payments is n't exactly easy ."
pcc_eng_18_082.7026_x1323029_059:09-10-11,exactly,easy,exactly_easy,n't,n't_exactly_easy,"cases , though , it is n't exactly easy for the parties to quickly part","In some cases , though , it is n't exactly easy for the parties to quickly part ways and have one ( or both ) party leave the shared residence ."
pcc_eng_13_093.0432_x1487918_47:6-7-8,exactly,easy,exactly_easy,n't,n't_exactly_easy,buying property in australia is n't exactly easy .,Buying property in Australia is n't exactly easy .
pcc_eng_20_008.0974_x0114476_3:22-23-24,exactly,easy,exactly_easy,n't,n't_exactly_easy,"responses , but the gray is n't exactly easy for everyone to see .","They 're intended to help lead the eyes , making it easier to differentiate between responses , but the gray is n't exactly easy for everyone to see ."
pcc_eng_20_005.5321_x0073050_052:7-8-9,exactly,easy,exactly_easy,n't,n't_exactly_easy,implementing inotify data error info is n't exactly easy .,Implementing INotify Data Error Info is n't exactly easy .
pcc_eng_29_031.9162_x0498847_42:16-17-18,exactly,easy,exactly_easy,n't,n't_exactly_easy,", and satellites and rockets are n't exactly easy to procure .","Photo-snapping drones and airplanes can only fly so high , and satellites and rockets are n't exactly easy to procure ."
pcc_eng_21_096.7637_x1547290_09:16-17-18,exactly,easy,exactly_easy,n't,n't_exactly_easy,up and that ssl encryption is n't exactly easy to break .,Turns out all of your traffic just got picked up and that SSL encryption is n't exactly easy to break .
pcc_eng_02_006.0771_x0082149_319:10-11-12,exactly,easy,exactly_easy,n't,n't_exactly_easy,one and a half hour was n't exactly easy and gabe took his time .,Receiving wings in one and a half hour was n't exactly easy and Gabe took his time .
pcc_eng_07_035.3313_x0555267_09:7-8-9,exactly,easy,exactly_easy,n't,n't_exactly_easy,pitching for a real team is n't exactly easy .,Pitching for a real team is n't exactly easy .
pcc_eng_22_084.9758_x1357312_10:12-13-14,exactly,easy,exactly_easy,n't,n't_exactly_easy,"no linux exclusives , that is n't exactly easy to do .","As long as there are no linux exclusives , that is n't exactly easy to do ."
pcc_eng_12_001.2767_x0004501_23:15-16-17,exactly,easy,exactly_easy,n't,n't_exactly_easy,"the rest of the year is n't exactly easy , and the latex allergy is","Christmas might be especially hard for Lee but the rest of the year is n't exactly easy , and the latex allergy is only one of her worries ."
pcc_eng_04_107.09331_x1727640_3:14-15-16,exactly,easy,exactly_easy,n't,n't_exactly_easy,"thinking : "" hacking hardware is n't exactly easy when the computer is in a","Okay , we know what you 're thinking : "" Hacking hardware is n't exactly easy when the computer is in a locked box . """
pcc_eng_18_041.5278_x0655701_85:12-13-14,exactly,easy,exactly_easy,n't,n't_exactly_easy,girl to like you again is n't exactly easy .,Understanding how to get a girl to like you again is n't exactly easy .
pcc_eng_01_040.6697_x0641037_04:29-30-31,exactly,easy,exactly_easy,n't,n't_exactly_easy,from the days of yore is n't exactly easy either .,"Indeed , as we 've seen recently with the big screen version of Dark Shadows , trying to resurrect a horror show from the days of yore is n't exactly easy either ."
nyt_eng_19960601_0394_43:4-5-6,exactly,easy,exactly_easy,n't,n't_exactly_easy,"the fish were n't exactly easy , but we all caught some","the fish were n't exactly easy , but we all caught some and finally got our long awaited measure of spring ."
pcc_eng_23_086.9011_x1388426_01:3-4-5,exactly,easy,exactly_easy,n't,n't_exactly_easy,it was n't exactly easy on the eyes but ohio state,It was n't exactly easy on the eyes but Ohio State accomplished the goal turning back Michigan 66 - 55 this afternoon in the Schott to stay in the league title hunt .
pcc_eng_05_031.6558_x0496710_017:25-26-27,exactly,easy,exactly_easy,n't,n't_exactly_easy,"opponents you 've double crossed is n't exactly easy , so it 's probably better","Because EDH is a multiplayer format , keeping track of which opponents you 've Double Played and which opponents you 've Double Crossed is n't exactly easy , so it 's probably better to just not have to worry about them at all ."
pcc_eng_05_085.5931_x1368907_21:11-12-13,exactly,easy,exactly_easy,n't,n't_exactly_easy,a foot pump and it is n't exactly easy .,Dogs takes time with a foot pump and it is n't exactly easy .
pcc_eng_02_043.8112_x0692695_026:09-10-11,exactly,easy,exactly_easy,n't,n't_exactly_easy,the fact that the game is n't exactly easy for new players to get into,That and the fact that the game is n't exactly easy for new players to get into .
pcc_eng_21_061.0614_x0970841_112:11-12-13,exactly,easy,exactly_easy,n't,n't_exactly_easy,"road to growing your family is n't exactly easy , even though it always sounds","After all , any road to growing your family is n't exactly easy , even though it always sounds easier than it is ."
pcc_eng_24_102.7488_x1646139_18:14-15-16,exactly,easy,exactly_easy,n't,n't_exactly_easy,"this regard - although gluten is n't exactly easy to avoid in everyday situations ,","I know I 'm pretty fortunate in this regard - although gluten is n't exactly easy to avoid in everyday situations , it is the only thing I have to be super careful about food -wise , so I get the privilege of experiencing carefree snacking at these events ."
pcc_eng_23_033.8997_x0531100_069:12-14-15,exactly,easy,exactly_easy,n't,n't_exactly_easy,", wendy says things have n't been exactly easy since those carefree summer days .","Now , at sixty - four , Wendy says things have n't been exactly easy since those carefree summer days ."
pcc_eng_09_005.4815_x0072781_09:29-30-31,exactly,easy,exactly_easy,n't,n't_exactly_easy,snow - and rooftop installations are n't exactly easy to clean .,"A variety of debris can come between solar cells and the sun , including dirt , bird droppings , fallen leaves and snow - and rooftop installations are n't exactly easy to clean ."
pcc_eng_26_092.6547_x1482367_5:11-12-13,exactly,easy,exactly_easy,n't,n't_exactly_easy,"sure , "" truth "" is n't exactly easy to define .","One thing is for sure , "" truth "" is n't exactly easy to define ."
nyt_eng_19980408_0003_21:09-10-11,exactly,easy,exactly_easy,n't,n't_exactly_easy,"superlotto mecca , allan 's is n't exactly easy to find .","for a SuperLotto mecca , Allan 's is n't exactly easy to find ."
pcc_eng_00_032.1030_x0502664_22:09-10-11,exactly,easy,exactly_easy,n't,n't_exactly_easy,they did -- though it was n't exactly easy .,"Ultimately , they did -- though it was n't exactly easy ."
pcc_eng_28_060.5304_x0963060_10:7-8-9,exactly,easy,exactly_easy,never,never_exactly_easy,"and , while these jobs are never exactly easy ; they 're not as hard","And , while these jobs are never exactly easy ; they 're not as hard as the bathroom and kitchen ."
pcc_eng_19_010.6061_x0155342_06:43-44-45,exactly,easy,exactly_easy,not,not_exactly_easy,"petitioning is decades , and is not exactly easy or cheap .","This is , of course , incorrect ; the time frame of a U.S. citizen child of immigrants to reach the age at which they could petition their parents and then going through the process of petitioning is decades , and is not exactly easy or cheap ."
