hit_id,colloc,adv,adj,sent_text,sent_id,adv_index
nyt_eng_19940702_0249_2:8,ever_impossible,ever,impossible,One U.S. player knows that nothing is ever impossible when it comes to beating Brazil in the World Cup .,nyt_eng_19940702_0249_2,8
nyt_eng_19940714_0341_20:3,as_important,as,important,Nothing is as important as that .  -RDQ-,nyt_eng_19940714_0341_20,3
nyt_eng_19940715_0141_3:17,as_good,as,good,"-LBQ-  I watched this gorgeous spectacle and thought ` I 'm sunk , nothing could be as good as this , '  -RDQ-  Buckley says .",nyt_eng_19940715_0141_3,17
nyt_eng_19940721_0079_21:47,remotely_believable,remotely,believable,"Still , Lena 's credibility is n't nearly as bankrupt as this movie 's ; there is simply no way any of this flies farther than a paper airplane made of transparent tissue , because nothing in the script , the characters or the situation is remotely believable .",nyt_eng_19940721_0079_21,47
nyt_eng_19940722_0223_3:16,too_good,too,good,You 've just joined the rapidly growing pack of pet owners who think nothing is too good for their dogs .,nyt_eng_19940722_0223_3,16
nyt_eng_19940803_0110_32:3,so_innocent,so,innocent,"Nothing is so innocent , so trivial or , for that matter , so important that it can be exempted from their scrutiny .",nyt_eng_19940803_0110_32,3
nyt_eng_19940820_0132_17:3,really_wrong,really,wrong,"Nothing was really wrong with Janet , except that she was older , wiser and more worldly .",nyt_eng_19940820_0132_17,3
nyt_eng_19940823_0242_33:20,monumentally_stupid,monumentally,stupid,"It is so laughably awful that you begin to believe you 're hallucinating , that nothing could be as monumentally stupid as what is being played out on screen .",nyt_eng_19940823_0242_33,20
nyt_eng_19940824_0112_13:3,too_lowly,too,lowly,"Nothing is too lowly to be transformed by Ms. Culot 's vision of simple beauty , even the shirts , gloves and belts crammed behind the doors of a cabinet .",nyt_eng_19940824_0112_13,3
nyt_eng_19940826_0011_35:3,too_stupid,too,stupid,Nothing 's too stupid to bring up .,nyt_eng_19940826_0011_35,3
nyt_eng_19940826_0200_7:3,strikingly_new,strikingly,new,Nothing is strikingly new here but it is a crisp lively mix .,nyt_eng_19940826_0200_7,3
nyt_eng_19940829_0273_8:7,too_terrible,too,terrible,"Nothing , it seems , is too terrible for Americans to laugh at .",nyt_eng_19940829_0273_8,7
nyt_eng_19940902_0256_8:12,very_long,very,long,"In television land , nothing is forever -- or even for very long .",nyt_eng_19940902_0256_8,12
nyt_eng_19940909_0300_22:10,too_good,too,good,-LBQ-  They are treated as family and nothing is too good for them .  -RDQ-,nyt_eng_19940909_0300_22,10
nyt_eng_19940916_0311_36:17,quite_fine,quite,fine,"He writes that he really rather not work , to be paid for doing nothing is quite fine with him .",nyt_eng_19940916_0311_36,17
nyt_eng_19940921_0049_18:3,so_vital,so,vital,"Nothing is so vital to the development of an expansion franchise as the handling of its pitchers , and when Marcel Lachemann left , the loss was great .",nyt_eng_19940921_0049_18,3
nyt_eng_19940923_0308_14:38,truly_impossible,truly,impossible,"Most of them acknowledge that they can not , though a few say that given the strange ways Congress behaves , especially in the chaos of the end of the session , nothing that seems illogical is truly impossible .",nyt_eng_19940923_0308_14,38
nyt_eng_19940924_0002_14:4,particularly_good,particularly,good,"Nothing has been particularly good , few things all that bad .",nyt_eng_19940924_0002_14,4
nyt_eng_19941013_0243_10:4,precisely_amiss,precisely,amiss,"Although nothing is precisely amiss at the start of this intricate new  -LBQ-  Nightmare ,  -RDQ-  the film is loaded with warning signals , like the fake Freddy Krueger hand that flexes its claws unexpectedly and seems to have a mind of its own .",nyt_eng_19941013_0243_10,4
