hit_id,adv_form_lower,adj_form_lower,bigram_lower,neg_form_lower,all_forms_lower,text_window,token_str
pcc_eng_27_023.8112_x0368861_014:08-09-10,that,easy,that_easy,n't,n't_that_easy,it turns out that it is n't that easy to block out a prayer being,"But it turns out that it is n't that easy to block out a prayer being said for you , especially when you really need to hear that prayer ."
pcc_eng_01_040.7636_x0642518_16:08-09-10,that,easy,that_easy,n't,n't_that_easy,", unfortunately , it just is n't that easy or simple .","But , unfortunately , it just is n't that easy or simple ."
pcc_eng_10_025.2730_x0392148_105:5-6-7,that,easy,that_easy,n't,n't_that_easy,""" good animals are n't that easy to find unless you know where",""" Good animals are n't that easy to find unless you know where to look , "" Josh agreed ."
nyt_eng_20000120_0397_39:4-6-7,that,easy,that_easy,n't,n't_that_easy,but it wo n't be that easy .,but it wo n't be that easy .
pcc_eng_04_085.8933_x1371566_11:3-4-5,that,easy,that_easy,n't,n't_that_easy,"it is n't that easy and , frankly , not every","It is n't that easy and , frankly , not every digital product is a good fit for Clickbank ."
pcc_eng_12_006.5248_x0089114_009:21-23-24,that,easy,that_easy,n't,n't_that_easy,", but accomplishing this is n't always that easy .","The general consensus is that gaining the blue-line with possession is the way to go , but accomplishing this is n't always that easy ."
pcc_eng_00_019.5276_x0299102_14:6-7-8,that,easy,that_easy,n't,n't_that_easy,"of course , it was n't that easy .","Of course , it was n't that easy ."
pcc_eng_27_024.5864_x0381167_030:5-6-7,that,easy,that_easy,n't,n't_that_easy,and bunny greenhouse was n't that easy to ignore : she was the,And Bunny Greenhouse was n't that easy to ignore : she was the highest - ranking civilian at the U.S. Army Corps of Engineers ( USACE ) .
pcc_eng_03_085.4975_x1368225_75:7-8-9,that,easy,that_easy,n't,n't_that_easy,"unfortunately , spitzer 's crime is n't that easy to forgive , because he 's","Unfortunately , Spitzer 's crime is n't that easy to forgive , because he 's a big a hypocrite as Craig , Vitter , and the many more ."
pcc_eng_23_049.2755_x0780025_169:7-8-9,that,easy,that_easy,n't,n't_that_easy,"i would say "" now was n't that easy , "" but i know it","I would say "" now was n't that easy , "" but I know it was n't ."
pcc_eng_09_010.5691_x0155118_18:14-16-17,that,easy,that_easy,n't,n't_that_easy,", keeping yourself refreshed is n't always that easy .","But if you live in the northern hemisphere , keeping yourself refreshed is n't always that easy ."
pcc_eng_21_078.5035_x1252466_35:3-4-5,that,easy,that_easy,n't,n't_that_easy,It was n't that easy to photogaph .,It was n't that easy to photogaph .
pcc_eng_28_024.7417_x0383342_26:3-5-6,that,easy,that_easy,n't,n't_that_easy,It is n't always that easy .,It is n't always that easy .
nyt_eng_19990906_0057_15:27-29-30,that,easy,that_easy,n't,n't_that_easy,"game , but it wo n't be that easy .","`` I know it 's probably commonplace for us to stand here and say we 'll move on to the next game , but it wo n't be that easy ."
pcc_eng_01_046.0695_x0728232_12:5-6-7,that,easy,that_easy,n't,n't_that_easy,"Okay , it was n't that easy .","Okay , it was n't that easy ."
pcc_eng_22_052.5854_x0833408_07:43-45-46,that,easy,that_easy,n't,n't_that_easy,"role , where bullying is n't really that easy to deal with .","In this game , sometimes the "" obviously right "" ( and , occasionally , the "" obviously wrong "" ) options are restricted , pushing players away from brash heroism and into a more realistic personal role , where bullying is n't really that easy to deal with ."
pcc_eng_15_048.9386_x0774977_084:09-10-11,that,easy,that_easy,n't,n't_that_easy,"can create their own shot are n't that easy to come by , and rice","Players who can create their own shot are n't that easy to come by , and Rice has strong potential on the defensive end as well ."
pcc_eng_06_076.5779_x1222286_45:4-5-6,that,easy,that_easy,n't,n't_that_easy,"the job is n't that easy when , on top of the","The job is n't that easy when , on top of the murderous townsfolk , the military swoops in to quarantine and kill everyone ."
pcc_eng_29_038.1028_x0598881_20:26-28-29,that,easy,that_easy,n't,n't_that_easy,has warned that it wo n't be that easy .,"Maduro has said that he hopes the Petro will help the country skirt Western sanctions , though the U.S. Treasury has warned that it wo n't be that easy ."
pcc_eng_03_003.6146_x0042076_52:7-8-9,that,easy,that_easy,n't,n't_that_easy,some of the early stuff is n't that easy to look up .,Some of the early stuff is n't that easy to look up .
pcc_eng_09_046.5502_x0736996_05:6-8-9,that,easy,that_easy,n't,n't_that_easy,probably you think it ca n't be that easy ...,Probably you think it ca n't be that easy ...
pcc_eng_12_006.9917_x0096670_21:19-21-22,that,easy,that_easy,n't,n't_that_easy,", so things surely wo n't be that easy .","However , this is Full Tilt Poker that we are talking about here , so things surely wo n't be that easy ."
pcc_eng_00_010.2983_x0150020_9:10-12-13,that,easy,that_easy,n't,n't_that_easy,"such a heinous crime could n't be that easy , could it ?","But the explanation for such a heinous crime could n't be that easy , could it ?"
apw_eng_20020422_1582_18:12-14-15,that,easy,that_easy,n't,n't_that_easy,"to grasp , products are n't all that easy to use and the threats of","encryption is difficult for average users to grasp , products are n't all that easy to use and the threats of not protecting e-mail from prying eyes are n't all that easy to explain , Hill said ."
pcc_eng_18_093.8783_x1504258_03:08-09-10,that,easy,that_easy,never,never_that_easy,to a restaurant in pilning was never that easy .,Going to a restaurant in Pilning was never that easy .
pcc_eng_23_088.3629_x1411827_142:32-33-34,that,easy,that_easy,never,never_that_easy,about completion of your job was never that easy and that affordable .,"When you 're getting associated with a business that can offer quality providers at affordable cost , you are going to realize that junk removal about completion of your job was never that easy and that affordable ."
pcc_eng_12_015.4859_x0234459_03:4-5-6,that,easy,that_easy,never,never_that_easy,But things are never that easy .,But things are never that easy .
pcc_eng_00_060.7802_x0966521_19:32-33-34,that,easy,that_easy,never,never_that_easy,of the fact that attraction is never that easy .,"Where so many films improbably pair much less physically attractive men with desirable women , Tony 's suspicious hesitance of her offer is an acknowledgement of the fact that attraction is never that easy ."
pcc_eng_06_102.3044_x1638717_2:09-10-11,that,easy,that_easy,never,never_that_easy,"things with me , it 's never that easy ...","Like all things with me , it 's never that easy ..."
pcc_eng_22_013.1336_x0195854_26:4-5-6,that,easy,that_easy,never,never_that_easy,"The instructions are never that easy . ""","The instructions are never that easy . """
pcc_eng_19_012.0442_x0178436_07:5-6-7,that,easy,that_easy,not,not_that_easy,"unfortunately , it 's not that easy to hunt for hours and hours","Unfortunately , it 's not that easy to hunt for hours and hours , day after day ."
pcc_eng_08_007.0984_x0098596_05:11-12-13,that,easy,that_easy,not,not_that_easy,"getting a lot of rocket is not that easy , is n't it ?","As you know , getting a lot of Rocket is not that easy , is n't it ?"
pcc_eng_12_032.4870_x0509734_07:14-15-16,that,easy,that_easy,not,not_that_easy,or looking for a job is not that easy .,Even if you are a business person or looking for a job is not that easy .
pcc_eng_01_064.9730_x1034601_036:13-14-15,that,easy,that_easy,not,not_that_easy,"with the contract because it is not that easy to fire someone , unless you","It has a lot to do with the contract because it is not that easy to fire someone , unless you are drinking or you get in a fight ."
