hit_id,category,colloc,adv,adj,sent_text,sent_id,adv_index,json_source,prev_sent,next_sent
nyt_eng_19991206_0151_38:4,devel,particularly_fond,particularly,fond,"I 'm not particularly fond of music in the O.R. , but if there is music , I prefer it to be classical _ especially the symphonies of Beethoven and Brahms _ and reasonably sedate .",nyt_eng_19991206_0151_38,4,nyt_eng_199912,"_ Theresa Quinn , ' 92 , surgical resident , University of California , San Francisco","There 's a rhythm to operating , and it should n't be broken by anything that has a different rhythm ."
nyt_eng_19991206_0151_24:6,devel,quite_true,quite,true,"Actually , that 's not quite true .",nyt_eng_19991206_0151_24,6,nyt_eng_199912,I listen to whatever the attendings damn well want .,It 's whatever the attendings want but the nurses do n't veto .
nyt_eng_19991206_0145_49:5,devel,about_lessoning,about,lessoning,The theater is not about lessoning .,nyt_eng_19991206_0145_49,5,nyt_eng_199912,"-LBQ-  He kept saying , ` Valerie , we do not want a history lesson .","It 's about moving people to laughter , to tears , to thoughts ."
nyt_eng_19991206_0110_6:65,devel,as_severe,as,severe,"McGorry , who is the co-author of  -LBQ-  The Recognition and Management of Early Psychosis  -RDQ-  -LRB- Cambridge University Press , 1999 -RRB- , said his study had aroused little controversy in Australia , perhaps because that country has a more developed community network for treating mental illness in adolescents , and because the social consequences of a diagnosis of mental disorder are not as severe there .",nyt_eng_19991206_0110_6,65,nyt_eng_199912,-LBQ-  These patients are very much in touch .  -RDQ-,"Yet both he and McGlashan are well aware of the difficult questions their studies raise , and they have both gone to some lengths to address them ."
nyt_eng_19991206_0086_15:6,devel,as_effective,as,effective,"The pendulum approach is not as effective as the data-based technique , but the latter is poor at ignoring flapping clothing , such as skirts , when analyzing a gait .",nyt_eng_19991206_0086_15,6,nyt_eng_199912,"At present , both techniques have their drawbacks .","Funding permitting , the Southampton team say it would take them six months to develop an analysis system that draws on the strengths of both systems ."
nyt_eng_19991206_0052_10:11,devel,that_discerning,that,discerning,"A. Well , maybe your Schnauzer 's schnoz is n't that discerning , but Dr. Larry Myers , of the Veterinary School at Auburn University , says dogs are at the top of the animal kingdom -LRB- along with rats -RRB- when it comes to their ability to smell .",nyt_eng_19991206_0052_10,11,nyt_eng_199912,-LRB- end poetry style -RRB-,"He says in one test , dogs were 1,000 times better at smelling a test odor than humans ."
nyt_eng_19991206_0047_26:5,devel,really_interested,really,interested,But Stern is n't really interested in rants .,nyt_eng_19991206_0047_26,5,nyt_eng_199912,"Stern does not spend a lot of time mixing it up with the antismoking commandos , though she believes their campaign  -LBQ-  operates within an economy of moralism , with a rhetoric of abhorrence that appeals to the ` common good , '  -RDQ-  and that  -LBQ-  smokers are made to feel socially guilty , as though acting criminally against the common good .  -RDQ-","Instead , she has fashioned a book with the dexterity of a jazz riff and the ethereal beauty of a smoke ring ."
nyt_eng_19991206_0046_35:4,devel,quite_true,quite,true,This was n't quite true ; Edison died a millionaire .,nyt_eng_19991206_0046_35,4,nyt_eng_199912,"His friend and admirer , Henry Ford , called Edison  -LBQ-  the world 's greatest inventor and worst businessman .  -RDQ-","But , as Paul Israel , editor of the Edison papers at Rutgers University , says ,  -LBQ-  He was interested in solving technical problems and bringing them to market ; he was n't interested in running a business .  -RDQ-"
nyt_eng_19991206_0045_12:6,devel,as_far-reaching,as,far-reaching,The proposed standard is not as far-reaching as it could have been .,nyt_eng_19991206_0045_12,6,nyt_eng_199912,"Construction , maritime , and agricultural industry workers would be excluded .","Overall , it would apply to only 25 percent of general industry employers ; the other 75 percent would not be affected unless a documented , work-related injury occurred at their work sites ."
nyt_eng_19991206_0026_46:12,devel,so_bad,so,bad,"Janis has her points , too  -COL-   -LBQ-  Acting is n't so bad as long as you always know the difference , and can drop the act or mask at will .  -RDQ-",nyt_eng_19991206_0026_46,12,nyt_eng_199912,"-LBQ-  Gary Cooper Off Camera  -RDQ-  is an affectionate photographic memoir of the American screen icon by his daughter Maria Cooper Janis -LRB- Abrams , $ 35.00 -RRB- , with a quiet and telling introduction about screen acting by Tom Hanks .",Two other Hollywood books are fun .
