,category,colloc,adv,adj,sent_text,sent_id,adv_index,json_source,hit_id
nyt_eng_19991206_0047_4:7,unknown-polarity,potentially_ceremonial,potentially,ceremonial,"'-LBQ-  Every act of smoking is potentially ceremonial , a staged performance of the everyday , a way of enabling so many daily pleasures and struggles , repititious moments of work and leisure .  -RDQ-'",nyt_eng_19991206_0047_4,7,nyt_eng_199912,nyt_eng_19991206_0047_4:7
nyt_eng_19940720_0012_6:6,unknown-polarity,fundamentally_sound,fundamentally,sound,'Every game can not be fundamentally sound .',nyt_eng_19940720_0012_6,6,nyt_eng_199407,nyt_eng_19940720_0012_6:6
nyt_eng_19940715_0355_10:9,unknown-polarity,so_fearful,so,fearful,"'Since then , every Brazilian opponent has been so fearful of strikers Bebeto and Romario that they have recoiled into a defensive shell , waiting for an opportunity to counterattack that rarely arrived .'",nyt_eng_19940715_0355_10,9,nyt_eng_199407,nyt_eng_19940715_0355_10:9
nyt_eng_19980515_0282_15:5,unknown-polarity,so_well-grounded,so,well-grounded,'Not every teenager is so well-grounded .',nyt_eng_19980515_0282_15,5,nyt_eng_199805,nyt_eng_19980515_0282_15:5
nyt_eng_19980514_0482_37:40,unknown-polarity,actually_true,actually,true,"'The former CBS golf analyst told Sports Illustrated this week that every tacky thing he said about lesbianism in golf , most of which he denied saying in 1995 to a Wilmington , Del. , newspaper reporter , was actually true .'",nyt_eng_19980514_0482_37,40,nyt_eng_199805,nyt_eng_19980514_0482_37:40
nyt_eng_19980513_0166_7:5,unknown-polarity,as_fortunate,as,fortunate,"'Not every start-up is as fortunate as XCom , and venture capitalists say that many new companies must still try to make it on their own , following the old familiar route of marketing a product , growing the firm and then going public .'",nyt_eng_19980513_0166_7,5,nyt_eng_199805,nyt_eng_19980513_0166_7:5
nyt_eng_19980507_0437_8:11,unknown-polarity,highly_competitive,highly,competitive,"'-LBQ-  Secondly , every aspect of the soft-drink business is highly competitive .'",nyt_eng_19980507_0437_8,11,nyt_eng_199805,nyt_eng_19980507_0437_8:11
nyt_eng_19980504_0314_27:7,unknown-polarity,so_republican,so,republican,'But not every audience has been so Republican .',nyt_eng_19980504_0314_27,7,nyt_eng_199805,nyt_eng_19980504_0314_27:7
nyt_eng_19980501_0439_13:11,unknown-polarity,as_disturbed,as,disturbed,"'think every American who heard the testimony would be just as disturbed as I was ,  -RDQ-  Charles Rossotti , the Internal Revenue Commissioner , tells a Senate panel Friday investigating abuse of taxpayers .'",nyt_eng_19980501_0439_13,11,nyt_eng_199805,nyt_eng_19980501_0439_13:11
nyt_eng_19980501_0298_7:13,unknown-polarity,as_disturbed,as,disturbed,"'-LBQ-  I think every American who heard the testimony would be just as disturbed as I was ,  -RDQ-  Rossotti said .'",nyt_eng_19980501_0298_7,13,nyt_eng_199805,nyt_eng_19980501_0298_7:13
