hit_id,bigram_lower,adj_form_lower,all_forms_lower,adv_form_lower,text_window,token_str
pcc_eng_29_083.8542_x1338182_061:28-29,any_worse,worse,(+)_any_worse,any,whoever plays there in 2012 could be any worse .,"The Giants should also get improvement at 1B , SS , LF , or CF , as it is unlikely whoever plays there in 2012 could be any worse ."
pcc_eng_22_056.8087_x0901822_35:33-34,any_worse,worse,(+)_any_worse,any,"on , take this before it gets any worse .","It facilitates a soothing effect on the brain and is a known immune booster , so if you feel like you have a cold coming on , take this before it gets any worse ."
pcc_eng_09_013.3797_x0200589_13:8-9,any_worse,worse,(+)_any_worse,any,hard to believe that station could be any worse than it already is .,Hard to believe that station could be any worse than it already is .
pcc_eng_06_039.8251_x0627867_03:21-22,any_worse,worse,(+)_any_worse,any,my ride to see if it got any worse on my ride .,I marked it with a marker and kept an eye on it during my ride to see if it got any worse on my ride .
pcc_eng_13_018.0574_x0275651_120:16-17,any_worse,worse,(+)_any_worse,any,must have thought could this season get any worse but the players have done the,When they were 4 - 1 down they must have thought could this season get any worse but the players have done the club proud and managed to salvage a point which seemed very unlikely after the Danny Graham goal .
pcc_eng_12_042.7408_x0675024_7:15-16,any_worse,worse,(+)_any_worse,any,dead horse : could pr pitches be any worse ?...,In the spirit of trotting out another dead horse : could PR pitches be any worse ?...
pcc_eng_15_076.5831_x1221213_075:7-8,any_worse,worse,(+)_any_worse,any,do we have to make it any worse than it is ?,Do we have to make it any worse than it is ?
pcc_eng_18_083.6396_x1338275_8:29-30,any_worse,worse,(+)_any_worse,any,citizens of green row before things get any worse .,"Armed with his wits and his sword , Sir David must find the cause of this strange evil and save the citizens of Green Row before things get any worse ."
pcc_eng_26_075.6340_x1206382_41:12-13,any_worse,worse,(+)_any_worse,any,certain that the situation would have been any worse for israel if it did not,It is far from certain that the situation would have been any worse for Israel if it did not control the western part of the Golan .
nyt_eng_19980508_0404_69:4-5,any_worse,worse,(+)_any_worse,any,but is that any worse than mickey mantle 's alleged former,"but is that any worse than Mickey Mantle 's alleged former mistress writing a book about their life together , while his wife and children have hired an agent to try to cash in on his memory and allow the use of his name for endorsements ?"
pcc_eng_13_106.1997_x1699990_056:13-14,any_worse,worse,(+)_any_worse,any,out of dodge before the wind got any worse .,It was time to get out of Dodge before the wind got any worse .
pcc_eng_19_055.2422_x0875411_06:19-20,any_worse,worse,(+)_any_worse,any,"individuals asking "" how can this get any worse ? ""","2017 as of now is at the epitome of upheaval with individuals asking "" How can this get any worse ? """
pcc_eng_21_093.4660_x1494083_11:41-42,any_worse,worse,(+)_any_worse,any,"be considered poor taste , is it any worse than visiting the scenes of gruesome","Whilst sailing out to a major disaster zone on a luxurious cruise ship , flaunting your relative wealth and good fortune at people who have just lost homes , livelihoods and families might be considered poor taste , is it any worse than visiting the scenes of gruesome murders ?"
pcc_eng_23_066.7768_x1062589_45:68-69,any_worse,worse,(+)_any_worse,any,driving home thinking ' we cannot play any worse than that ' ( in the,""" We played Reading in the first leg of the playoffs - they were superb with Kevin Doyle and Shane Long , they 'd been in the Premier League a couple of years earlier , and they came to Turf Moor and battered us , but we beat them 1 - 0 with a penalty late , and I am driving home thinking ' we cannot play any worse than that ' ( in the second leg ) so in my mind we had won it already because I knew it could n't be that bad ."
pcc_eng_11_003.5128_x0040720_37:6-7,any_worse,worse,(+)_any_worse,any,"and really , are they any worse than this coat of arms ,","And really , are they any worse than this coat of arms , from a near neighbor , the State of Maine ?"
pcc_eng_21_088.9992_x1422212_90:3-4,any_worse,worse,(+)_any_worse,any,cant be any worse than rogues running around with giant,"Cant be any worse than rogues running around with giant cleavers , right ?"
pcc_eng_02_021.2425_x0327569_10:6-7,any_worse,worse,(+)_any_worse,any,"he saved it from getting any worse . ""","He saved it from getting any worse . """
pcc_eng_04_080.0753_x1277452_1239:14-15,any_worse,worse,(+)_any_worse,any,making the false reputation of our savior any worse because they no longer belonged to,Peter reminded his readers to avoid making the false reputation of Our Savior any worse because they no longer belonged to this world .
pcc_eng_08_023.5158_x0364715_099:16-17,any_worse,worse,(+)_any_worse,any,"better , just stop me from getting any worse , okay ?","How about this : forget about making me better , just stop me from getting any worse , okay ?"
pcc_eng_24_071.6310_x1142476_16:11-12,any_worse,worse,(+)_any_worse,any,"any chance of that he could get any worse , it does n't make any","If there 's any chance of that he could get any worse , it does n't make any sense to throw him out there , "" Edwin said ."
pcc_eng_07_072.1302_x1149730_6:7-8,any_worse,worse,(+)_any_worse,any,"she doesnit think things can get any worse , but then sheis rescuedoby pirates","She doesnit think things can get any worse , but then sheis rescuedoby pirates led by Jean Laffite !"
pcc_eng_22_098.7920_x1580352_063:24-25,any_worse,worse,(+)_any_worse,any,manage it and prevent it from getting any worse .,"If you have a chronic condition , figure out with your doctor the best way to manage it and prevent it from getting any worse ."
pcc_eng_22_095.1134_x1520912_20:6-7,any_worse,worse,(+)_any_worse,any,al gore cannot possibly be any worse for us than clinton has been,"Al Gore cannot possibly be any worse for us than Clinton has been ; indeed , shorn of the need to dissemble about his private life with policies that hurt us , he might even be marginally better ."
pcc_eng_18_077.4430_x1237940_18:13-14,any_worse,worse,(+)_any_worse,any,2013 spring season ; failing to finish any worse than third in six races which,"Four-year-old Catkins produced an incredible 2013 Spring season ; failing to finish any worse than third in six races which included wins in the Group 3 Sportingbet Sprint ( 1200 m ) and Group 3 Eliza Park International Stakes ( 1600 m ) , as well as a hard -fought second behind Red Tracer in the Group 1 Myer Classic ( 1600 m ) last time out ."
pcc_eng_01_077.9255_x1243817_14:4-5,any_worse,worse,(+)_any_worse,any,it can be any worse now .,It can be any worse now .
pcc_eng_27_039.8255_x0627439_33:3-4,any_worse,worse,(+)_any_worse,any,"is dill any worse for not having "" gentle breeding","Is Dill any worse for not having "" gentle breeding ? """
pcc_eng_27_042.2859_x0667089_39:15-16,any_worse,worse,(+)_any_worse,any,"mother lamented that "" if it gets any worse , we 're not going to","Last October in frustration , a homeless mother lamented that "" If it gets any worse , we 're not going to survive . """
pcc_eng_09_001.1497_x0002366_41:20-21,any_worse,worse,(+)_any_worse,any,to help barkface keep them from getting any worse .,"Leafpaw brings watermint when she hears the news , and is able to help Barkface keep them from getting any worse ."
pcc_eng_13_009.3800_x0135182_20:6-7,any_worse,worse,(+)_any_worse,any,"damn , could this get any worse ?","Damn , could this get any worse ?"
pcc_eng_18_108.3436_x1739116_17:8-9,any_worse,worse,(+)_any_worse,any,only michael cera could make this concept any worse .,Only Michael Cera could make this concept any worse .
pcc_eng_09_090.4592_x1447423_19:09-10,any_worse,worse,(+)_any_worse,any,", yes , if the pain gets any worse than it already is , i","Honestly , yes , if the pain gets any worse than it already is , I will need something stronger , but I 'm waiting until my regular nurse is back to ask so I 'm treated like a patient who has spent thousands of dollars at their clinic as opposed to someone taking advantage of her situation to get pain killers ."
pcc_eng_03_003.2880_x0036870_165:09-10,any_worse,worse,(+)_any_worse,any,: how is dealing with the russians any worse than dealing with some middle eastern,BOLLING : How is dealing with the Russians any worse than dealing with some Middle Eastern countries that absolutely hate us .
pcc_eng_10_071.7316_x1143499_23:7-8,any_worse,worse,(+)_any_worse,any,"if bush 's poll numbers get any worse , we 're afraid of what","If Bush 's poll numbers get any worse , we 're afraid of what 's next in the Bush ad arsenal -- wolves eating babies , perhaps ?"
pcc_eng_28_030.3240_x0473847_22:6-7,any_worse,worse,(+)_any_worse,any,as if it could get any worse .,As if it could get any worse .
pcc_eng_09_009.7066_x0141140_028:27-28,any_worse,worse,(+)_any_worse,any,", when i think things cannot get any worse , it 's amazing :",""" And at the worst times of my life , when I have felt the most bleak and despairing , when I think things cannot get any worse , it 's amazing :"
pcc_eng_14_057.3773_x0911279_04:22-23,any_worse,worse,(+)_any_worse,any,a part in preventing them from getting any worse .,"However , some of the issues are natural , and man can only have a part in preventing them from getting any worse ."
pcc_eng_12_093.8143_x1500109_13:4-5,any_worse,worse,(+)_any_worse,any,could it be any worse than the anti-science global climate conspiracy,Could it be any worse than the anti-science global climate conspiracy theories ( see this 2013 Pauline Hanson article ) of One Nation ?
pcc_eng_23_084.5021_x1349473_33:34-35,any_worse,worse,(+)_any_worse,any,if having a child someday would be any worse than the pain i went through,"These things were the bane of my existence , I lost jobs because of how bad the fibromyalgia got , and the others made me wonder if having a child someday would be any worse than the pain I went through from 7 - 9 days every month ."
pcc_eng_29_027.4647_x0427309_27:5-6,any_worse,worse,(+)_any_worse,any,""" but is that any worse than what hofstra has now in",""" But is that any worse than what Hofstra has now in the CAA ? """
pcc_eng_27_085.8144_x1371746_46:10-11,any_worse,worse,(+)_any_worse,any,", many argue , it cannot get any worse .","After all , many argue , it cannot get any worse ."
pcc_eng_04_105.2530_x1684216_07:12-13,any_worse,worse,(+)_any_worse,any,"time believing that my failures could be any worse than hillary 's , bernie's ,","I have a hard time believing that my failures could be any worse than Hillary 's , Bernie's , Donald's , Ted's , or Marco 's successes ."
pcc_eng_27_079.8621_x1275250_050:12-13,any_worse,worse,(+)_any_worse,any,"personal feelings on this , is this any worse than these clowns ?","Well , aside your personal feelings on this , is this any worse than these clowns ?"
pcc_eng_24_025.4573_x0395370_21:8-9,any_worse,worse,(+)_any_worse,any,"one wonders , if it could get any worse ?","One wonders , if it could get any worse ?"
nyt_eng_20050609_0058_7:3-4,any_worse,worse,(+)_any_worse,any,is that any worse than the comment by harry reid,"is that any worse than the comment by Harry Reid , the Democrats ' Senate leader , who said of Bush , `` I think this guy is a loser . ''"
pcc_eng_20_023.4539_x0363043_10:24-25,any_worse,worse,(+)_any_worse,any,but cant complain that it didnt get any worse .,"So i guess i am right where i was before , hoped for better results , but cant complain that it didnt get any worse ."
pcc_eng_26_104.0585_x1666151_38:23-24,any_worse,worse,(+)_any_worse,any,", saying : "" if this gets any worse , it might rival the russian","WSOP commentator Norman Chad dropped an epic comment as the players waited for the flop , saying : "" If this gets any worse , it might rival the Russian roulette scene in The Deer Hunter . """
pcc_eng_22_010.5392_x0153915_25:4-5,any_worse,worse,(+)_any_worse,any,would that be any worse than being at the mercy of,Would that be any worse than being at the mercy of our own out of control government ?
pcc_eng_24_018.2345_x0278356_04:4-5,any_worse,worse,(+)_any_worse,any,could it get any worse than that ?,Could it get any worse than that ?
pcc_eng_17_072.9187_x1162168_10:45-46,any_worse,worse,(+)_any_worse,any,had been asked whether linington could be any worse .,"After the incompetence and inconsistency of Hertfordshire ref Paul Taylor , who had waved away three penalty appeals and allowed the game between these sides to turn into a near bloodbath a week ago , the question had been asked whether Linington could be any worse ."
pcc_eng_03_105.0306_x1684425_23:7-8,any_worse,worse,(+)_any_worse,any,"worse , if it can get any worse , the lack of connection between","Worse , if it can get any worse , the lack of connection between the Gospel reading and the blah blah blah about the people who have miraculous cures , help out the down and out , etc creates a false idea about the Gospel message in people 's minds ."
nyt_eng_19991129_0406_25:6-7,any_worse,worse,(+)_any_worse,any,he questioned whether cuba was any worse than the china in regard to,"he questioned whether Cuba was any worse than the China in regard to human rights violations , treatment of the environment and labor conditions ."
pcc_eng_26_027.5442_x0428988_17:09-10,any_worse,worse,(+)_any_worse,any,time will tell but it cannot be any worse than that perpetrated by the bilderberger,Only time will tell but it cannot be any worse than that perpetrated by The Bilderberger Club .
pcc_eng_28_100.6722_x1612211_26:22-23,any_worse,worse,(+)_any_worse,any,a psap such as the bean is any worse than a device made by a,From a purely technology - based perspective I am hard pressed to say that a PSAP such as the Bean is any worse than a device made by a hearing aid manufacturer .
pcc_eng_27_075.3070_x1201505_08:4-5,any_worse,worse,(+)_any_worse,any,could mayhew be any worse than any other official appointed by,Could Mayhew be any worse than any other official appointed by President Trump to strangle an agency from within ?
pcc_eng_07_065.8254_x1047791_58:14-15,any_worse,worse,(+)_any_worse,any,"rights because of their skin color , any worse than denying people of their rights","How is denying people of their rights because of their skin color , any worse than denying people of their rights because of their political beliefs ?"
pcc_eng_14_047.3997_x0749597_13:50-51,any_worse,worse,(+)_any_worse,any,necessary to prevent the problem from getting any worse .,"The heaving and shrinking of the soil as it absorbs and loses water will cause a foundation to move up , down and sideways , and foundations under such stress can crack , crumble and degenerate to the point where repairs are necessary to prevent the problem from getting any worse ."
pcc_eng_15_090.4465_x1445808_065:4-5,any_worse,worse,(+)_any_worse,any,why is it any worse to give them a drug that,Why is it any worse to give them a drug that prevents them from having PSTD for the rest of their lives ?
pcc_eng_11_092.8814_x1487446_05:5-6,any_worse,worse,(+)_any_worse,any,it cannot possibly get any worse .,It cannot possibly get any worse .
pcc_eng_03_037.2855_x0587801_258:4-5,any_worse,worse,(+)_any_worse,any,"can this get any worse ? ""","Can this get any worse ? """
pcc_eng_21_020.7387_x0318837_019:10-11,any_worse,worse,(+)_any_worse,any,"wanted to stop it before it became any worse , so i shut them down","And I wanted to stop it before it became any worse , so I shut them down , "" Knipfing said ."
pcc_eng_04_101.7722_x1628045_19:6-7,any_worse,worse,(+)_any_worse,any,do we treat the palestinians any worse than the chinese treat the tibetans,"Do we treat the Palestinians any worse than the Chinese treat the Tibetans , or the Syrians treat their own people , or the Egyptians treat the Islamists or the Ukrainians or the Thais treat each other ."
pcc_eng_28_080.6418_x1288261_14:34-35,any_worse,worse,(+)_any_worse,any,of a chicago highway if it got any worse .,"I imagined the flat I might get on the road , and how I 'd be alone with my kids in the evening on the side of a Chicago highway if it got any worse ."
pcc_eng_21_015.0416_x0226746_030:16-17,any_worse,worse,(+)_any_worse,any,best way to avoid the situation getting any worse .,Safely separating the cats temporarily is typically the best way to avoid the situation getting any worse .
pcc_eng_11_052.5311_x0833727_24:4-5,any_worse,worse,(+)_any_worse,any,could things get any worse ?,Could things get any worse ?
pcc_eng_17_096.0905_x1536907_326:5-6,any_worse,worse,(+)_any_worse,any,could her plight be any worse ?,Could her plight be any worse ?
pcc_eng_06_012.9304_x0192712_051:7-8,any_worse,worse,(+)_any_worse,any,"because the position simply cannot be any worse than it was in 2009 ,","Because the position simply cannot be any worse than it was in 2009 , can it ?"
pcc_eng_27_067.1716_x1069769_05:10-11,any_worse,worse,(+)_any_worse,any,"looked at whether fat coaches were doing any worse than normal - weight coaches ,",""" I looked at whether fat coaches were doing any worse than normal - weight coaches , "" Roher said ."
pcc_eng_10_018.0513_x0275485_03:31-32,any_worse,worse,(+)_any_worse,any,keep monitoring her in case it got any worse .,""" We had been to doctors so many times and they would say it was something viral and just to go home and keep monitoring her in case it got any worse ."
pcc_eng_00_037.0745_x0582799_16:16-17,any_worse,worse,(+)_any_worse,any,the awkward interview before things could get any worse .,Harris did a good job of just ending the awkward interview before things could get any worse .
pcc_eng_29_020.5110_x0314900_38:22-23,any_worse,worse,(+)_any_worse,any,"to these crises , before they get any worse .","The AU and its leaders , have the opportunity and a responsibility to respond to these crises , before they get any worse ."
pcc_eng_19_012.6492_x0188207_030:34-35,any_worse,worse,(+)_any_worse,any,"message ) , could he possibly be any worse than what politics in general had","They seemed to be saying en masse that even if Trump could be crass and offensive at times ( or , in his case , on message ) , could he possibly be any worse than what politics in general had become ?"
pcc_eng_04_035.4082_x0556417_59:7-8,any_worse,worse,(+)_any_worse,any,are his views on lgbt people any worse than those of the scottish roman,Are his views on LGBT people any worse than those of the scottish Roman Catholic Church ?
nyt_eng_19980914_0091_28:8-9,any_worse,worse,(+)_any_worse,any,but is the market 's recent volatility any worse than at other times of political,but is the market 's recent volatility any worse than at other times of political and economic uncertainty ?
pcc_eng_22_076.0123_x1212368_13:22-23,any_worse,worse,(+)_any_worse,any,efficiently address the problem before it gets any worse .,"If you encounter something off or wrong , let us know so we can efficiently address the problem before it gets any worse ."
pcc_eng_10_101.1958_x1620052_20:17-18,any_worse,worse,(+)_any_worse,any,that we cannot insult a proud spaniard any worse than by throwing a cucumber filled,Apart from that we learn amazing things - like that we cannot insult a proud Spaniard any worse than by throwing a cucumber filled with blood at him !
pcc_eng_09_043.1918_x0682685_15:4-5,any_worse,worse,(+)_any_worse,any,if i feel any worse though i will definitely be checking,If I feel any worse though I will definitely be checking in to l&d .
pcc_eng_03_099.4772_x1594391_66:1-2,any_worse,worse,(+)_any_worse,any,"any worse than firing 10,000 proud gay americans","Any worse than firing 10,000 proud gay Americans who were protecting our country , simply because they are gay - as has been done in the last ten years ?"
