hit_id,adv_form_lower,adj_form_lower,bigram_lower,neg_form_lower,all_forms_lower,text_window,token_str
pcc_eng_06_029.5439_x0461801_037:20-21-22,exactly,sure,exactly_sure,n't,n't_exactly_sure,"habits , but researchers still are n't exactly sure why they do it .","Humpback whales have a long history of interfering with killer whales ' hunting habits , but researchers still are n't exactly sure why they do it ."
pcc_eng_04_051.5786_x0817084_36:4-5-6,exactly,sure,exactly_sure,n't,n't_exactly_sure,but i was n't exactly sure how to apply it .,But I was n't exactly sure how to apply it .
pcc_eng_13_098.8094_x1580488_31:09-10-11,exactly,sure,exactly_sure,n't,n't_exactly_sure,"flow eventually , but scientists are n't exactly sure how .","It will flow eventually , but scientists are n't exactly sure how ."
pcc_eng_18_007.7593_x0109409_26:08-09-10,exactly,sure,exactly_sure,n't,n't_exactly_sure,took this even though i was n't exactly sure what i would be getting into,I took this even though I was n't exactly sure what I would be getting into .
pcc_eng_18_014.7402_x0222725_26:4-5-6,exactly,sure,exactly_sure,n't,n't_exactly_sure,He just was n't exactly sure about how .,He just was n't exactly sure about how .
pcc_eng_06_079.8691_x1275328_20:3-4-5,exactly,sure,exactly_sure,n't,n't_exactly_sure,i was n't exactly sure how the gym swim classes were,I was n't exactly sure how the gym swim classes were going to go because they do n't have the parents come in .
pcc_eng_17_047.5988_x0752895_262:16-17-18,exactly,sure,exactly_sure,n't,n't_exactly_sure,"narrow alleyway , and we were n't exactly sure if we should go in there","It turned out that the street was a dark narrow alleyway , and we were n't exactly sure if we should go in there or not ."
pcc_eng_20_091.0835_x1455458_19:3-4-5,exactly,sure,exactly_sure,n't,n't_exactly_sure,He is n't exactly sure of the years .,He is n't exactly sure of the years .
pcc_eng_13_035.7446_x0561683_29:09-10-11,exactly,sure,exactly_sure,n't,n't_exactly_sure,"was so hot that officials are n't exactly sure what caused it , but they","The fire was so hot that officials are n't exactly sure what caused it , but they believe it may have started from a faulty power strip ."
pcc_eng_18_033.8060_x0531113_33:3-4-5,exactly,sure,exactly_sure,n't,n't_exactly_sure,he was n't exactly sure why he'd need bench space until,"He was n't exactly sure why he'd need bench space until he stepped into the kitchen , and saw that nearly every available surface was covered in cookie sheets and muffin trays and brownie pans ."
pcc_eng_00_067.3881_x1073064_139:6-7-8,exactly,sure,exactly_sure,n't,n't_exactly_sure,"at first , she was n't exactly sure what it was , exactly ,","At first , she was n't exactly sure what it was , exactly , she was looking at on the monitors when she found it ."
nyt_eng_20061009_0150_4:10-11-12,exactly,sure,exactly_sure,n't,n't_exactly_sure,"interviews , both say they are n't exactly sure how their busy schedules happened to","in separate phone interviews , both say they are n't exactly sure how their busy schedules happened to align ."
pcc_eng_04_071.7096_x1141969_26:3-4-5,exactly,sure,exactly_sure,n't,n't_exactly_sure,"experts are n't exactly sure why , but it does seem","Experts are n't exactly sure why , but it does seem that children of certain ethnic backgrounds are more predisposed to developing precocious puberty than others ."
pcc_eng_07_021.2147_x0326872_09:3-4-5,exactly,sure,exactly_sure,n't,n't_exactly_sure,"we are n't exactly sure right now , since the patch","We are n't exactly sure right now , since the patch notes for the update wo n't appear until after the patch goes live ."
pcc_eng_08_104.0492_x1668527_02:15-16-17,exactly,sure,exactly_sure,n't,n't_exactly_sure,"genetic tendency involved , they are n't exactly sure why some people get sick from","While many experts believe there may be a genetic tendency involved , they are n't exactly sure why some people get sick from riding in a car , boat , plane , or train , while others do n't ."
pcc_eng_11_065.3764_x1041805_04:4-5-6,exactly,sure,exactly_sure,n't,n't_exactly_sure,They just are n't exactly sure what it is .,They just are n't exactly sure what it is .
pcc_eng_08_047.4856_x0752569_011:3-4-5,exactly,sure,exactly_sure,n't,n't_exactly_sure,i was n't exactly sure why you were going to be,I was n't exactly sure why you were going to be here until I realized that this banquet is going to honor Felix Zandman for his contribution .
pcc_eng_28_030.9447_x0483951_4:09-10-11,exactly,sure,exactly_sure,n't,n't_exactly_sure,"of the products , i was n't exactly sure how they would fit into daily","For many of the products , I was n't exactly sure how they would fit into daily life with a newborn ."
pcc_eng_16_022.3889_x0346261_08:3-4-5,exactly,sure,exactly_sure,n't,n't_exactly_sure,"i was n't exactly sure what to expect , but i","I was n't exactly sure what to expect , but I was prepared to absorb every word , because I knew that anyone who survived the Holocaust must be brave and strong , a real fighter ."
pcc_eng_20_006.7998_x0093439_228:09-10-11,exactly,sure,exactly_sure,n't,n't_exactly_sure,said on thursday that he is n't exactly sure how running back carries will be,Pep Hamilton said on Thursday that he is n't exactly sure how running back carries will be split up against the Raiders .
