hit_id,adv_form_lower,adj_form_lower,bigram_lower,neg_form_lower,all_forms_lower,text_window,token_str
pcc_eng_10_049.6545_x0786856_23:09-10-11,exactly,sure,exactly_sure,n't,n't_exactly_sure,"continued to explain that he was n't exactly sure what is going on , and","As he continued to explain that he was n't exactly sure what is going on , and requested that I come to Florida next week for a CT scan , I looked up at the ceiling , blinking tears out of my eyes , wanting to sob , "" WHY ME ? ! """
pcc_eng_17_075.7109_x1207509_26:5-6-7,exactly,sure,exactly_sure,n't,n't_exactly_sure,he said he is n't exactly sure where all the collected material will,He said he is n't exactly sure where all the collected material will end up .
pcc_eng_27_001.6734_x0010734_380:3-4-5,exactly,sure,exactly_sure,n't,n't_exactly_sure,she was n't exactly sure what i was getting ready to,She was n't exactly sure what I was getting ready to do but it was obvious to me she trusted me completely and that meant more to me than anything .
pcc_eng_28_047.9127_x0759041_06:3-4-5,exactly,sure,exactly_sure,n't,n't_exactly_sure,"you are n't exactly sure what you 're looking for ,","You are n't exactly sure what you 're looking for , so just start walking until you find something ."
pcc_eng_13_009.7809_x0141686_29:4-5-6,exactly,sure,exactly_sure,n't,n't_exactly_sure,"while scientists are n't exactly sure what causes this , it can","While scientists are n't exactly sure what causes this , it can be assumed that learning new ideas and remembering old ones should be much easier for someone who is pregnant versus someone who is n't ."
pcc_eng_14_034.0608_x0534117_44:7-8-9,exactly,sure,exactly_sure,n't,n't_exactly_sure,going into this proposal i was n't exactly sure what to do exactly but after,Going into this proposal I was n't exactly sure what to do exactly but after doing research and writing out my proposal I had a good clear understanding of what I needed to do .
pcc_eng_25_087.4028_x1398423_03:4-5-6,exactly,sure,exactly_sure,n't,n't_exactly_sure,""" i was n't exactly sure how i would do it ,",""" I was n't exactly sure how I would do it , but I think the best things in life are often difficult and require a leap of faith , "" he says ."
pcc_eng_22_003.6092_x0042376_04:3-4-5,exactly,sure,exactly_sure,n't,n't_exactly_sure,i was n't exactly sure what to expect with a festival,"I was n't exactly sure what to expect with a festival , I 've never been camping , hate public toilets and just ca n't really deal with being surrounded by seriously drunk people , but this was different and I think it was a good way to ease myself in !"
apw_eng_20080809_0081_26:4-5-6,exactly,sure,exactly_sure,n't,n't_exactly_sure,"`` i was n't exactly sure what to say to you ,","`` I was n't exactly sure what to say to you , except to start with , God , I love our country and I love what we stand for ."
pcc_eng_03_031.2627_x0490083_086:3-4-5,exactly,sure,exactly_sure,n't,n't_exactly_sure,she was n't exactly sure until it hit her like a,"She was n't exactly sure until it hit her like a locomotive , coursing along at top speed ."
pcc_eng_08_049.1298_x0779094_095:39-40-41,exactly,sure,exactly_sure,n't,n't_exactly_sure,'s invisibles comic -- i was n't exactly sure that i understood everything that was,"A few chapters into How To Live Safely In A Science Fictional Universe I felt excited in a way that reminded me how I reacted to the final chapters of Grant Morrison 's Invisibles comic -- I was n't exactly sure that I understood everything that was going on , but that sort of gave me a thrill as well ."
pcc_eng_19_015.4623_x0233408_20:15-16-17,exactly,sure,exactly_sure,n't,n't_exactly_sure,"at the end , i was n't exactly sure who was on the floor .","Well , when I came in to it at the end , I was n't exactly sure who was on the floor ."
pcc_eng_01_040.8962_x0644724_27:34-35-36,exactly,sure,exactly_sure,n't,n't_exactly_sure,"of , even if we are n't exactly sure what that is or how it","Having faithintheprocess gives you space to be curious about what is taking place and to relax enough to be open to what we are most in need of , even if we are n't exactly sure what that is or how it can happen ."
pcc_eng_17_004.7901_x0061260_03:08-09-10,exactly,sure,exactly_sure,n't,n't_exactly_sure,'ve found that many people are n't exactly sure what an hmo and ppo are,I 've found that many people are n't exactly sure what an HMO and PPO are .
pcc_eng_03_096.7816_x1550781_148:3-4-5,exactly,sure,exactly_sure,n't,n't_exactly_sure,"he was n't exactly sure where sirius was , but he","He was n't exactly sure where Sirius was , but he supposed he was with Gwen somewhere ."
nyt_eng_19971005_0246_15:6-7-8,exactly,sure,exactly_sure,n't,n't_exactly_sure,longhorns coach john mackovic is n't exactly sure what to do to pull his,Longhorns coach John Mackovic is n't exactly sure what to do to pull his team out of its crisis ; he only knows that something must be done .
pcc_eng_03_008.9476_x0128568_05:24-25-26,exactly,sure,exactly_sure,n't,n't_exactly_sure,"at fantastic fest , who was n't exactly sure what to make of this news","We caught up with Reeves , who was in Austin for the debut of LET ME IN at Fantastic Fest , who was n't exactly sure what to make of this news ."
pcc_eng_08_047.4856_x0752569_011:3-4-5,exactly,sure,exactly_sure,n't,n't_exactly_sure,i was n't exactly sure why you were going to be,I was n't exactly sure why you were going to be here until I realized that this banquet is going to honor Felix Zandman for his contribution .
pcc_eng_12_013.0900_x0195626_28:4-5-6,exactly,sure,exactly_sure,n't,n't_exactly_sure,we still were n't exactly sure what had happened until she broke,We still were n't exactly sure what had happened until she broke down and started crying .
pcc_eng_02_005.5088_x0072879_32:4-5-6,exactly,sure,exactly_sure,n't,n't_exactly_sure,my daughter was n't exactly sure what she wanted to major in,My daughter was n't exactly sure what she wanted to major in .
pcc_eng_01_090.0570_x1439946_1:14-15-16,exactly,sure,exactly_sure,n't,n't_exactly_sure,prichard and karen jarrett and are n't exactly sure what is happening here .,We caught this candid moment between Bruce Prichard and Karen Jarrett and are n't exactly sure what is happening here .
pcc_eng_15_039.4854_x0622409_05:19-20-21,exactly,sure,exactly_sure,n't,n't_exactly_sure,"mortar round , but fairs was n't exactly sure what it was , so he","That metal something turned out to be an old World War II mortar round , but Fairs was n't exactly sure what it was , so he took to Twitter for help ."
pcc_eng_06_079.0817_x1262644_07:4-5-6,exactly,sure,exactly_sure,n't,n't_exactly_sure,though she was n't exactly sure about where her career was headed,"Though she was n't exactly sure about where her career was headed , she knew that it would require formal education and training ."
pcc_eng_val_3.03493_x40234_100:4-5-6,exactly,sure,exactly_sure,n't,n't_exactly_sure,"if you are n't exactly sure or nothing really sticks out ,","If you are n't exactly sure or nothing really sticks out , open up your EQ of choice and starting moving around the bands , boosting and cutting aggressively so that you can hear what isolated areas of the mix sound like ."
pcc_eng_03_016.3009_x0247701_076:1-5-6,exactly,sure,exactly_sure,none,none_exactly_sure,none of us are exactly sure what will happen this year .,None of us are exactly sure what will happen this year .
pcc_eng_08_045.6884_x0723334_044:11-12-13,exactly,sure,exactly_sure,not,not_exactly_sure,modifiers -- quite unexpectedly ; was not exactly sure ; gentle waft of extraordinarily fresh,There are too many modifiers -- quite unexpectedly ; was not exactly sure ; gentle waft of extraordinarily fresh Spring -smelling air ; carefully inserted .
pcc_eng_11_008.5394_x0121964_16:1-2-3,exactly,sure,exactly_sure,not,not_exactly_sure,not exactly sure why she retired after this film,"Not exactly sure why she retired after this film , but she 's actually quite hot looking and interesting to see ."
pcc_eng_18_086.7595_x1388750_119:5-6-7,exactly,sure,exactly_sure,not,not_exactly_sure,"now , i 'm not exactly sure what that means , but to","Now , I 'm not exactly sure what that means , but to the degree it means anything , it 's a big club ."
pcc_eng_05_083.4645_x1334585_21:18-19-20,exactly,sure,exactly_sure,not,not_exactly_sure,in half german so you are not exactly sure why this sexy piece of ass,"You get to know her a bit , but she talks in half German so you are not exactly sure why this sexy piece of ass wants from you ."
pcc_eng_27_003.7288_x0043799_02:08-09-10,exactly,sure,exactly_sure,not,not_exactly_sure,"need help , but i 'm not exactly sure where to start .","I need help , but I 'm not exactly sure where to start ."
pcc_eng_11_090.3688_x1446709_074:3-4-5,exactly,sure,exactly_sure,not,not_exactly_sure,i 'm not exactly sure how they 're saving lives .,I 'm not exactly sure how they 're saving lives .
pcc_eng_02_093.5991_x1497100_08:4-5-6,exactly,sure,exactly_sure,not,not_exactly_sure,And I 'm not exactly sure why that is .,And I 'm not exactly sure why that is .
pcc_eng_09_038.6717_x0609670_120:3-4-5,exactly,sure,exactly_sure,not,not_exactly_sure,we 're not exactly sure about the prison part of it,We 're not exactly sure about the prison part of it .
pcc_eng_14_007.6764_x0107887_266:5-6-7,exactly,sure,exactly_sure,not,not_exactly_sure,"daniels : i 'm not exactly sure who "" they "" were .","DANIELS : I 'm not exactly sure who "" they "" were ."
pcc_eng_27_026.1804_x0406909_19:12-13-14,exactly,sure,exactly_sure,not,not_exactly_sure,at the same time we 're not exactly sure whether we 're kidding or not,"It 's a joke but at the same time we 're not exactly sure whether we 're kidding or not . """
pcc_eng_09_092.9886_x1488251_6:3-4-5,exactly,sure,exactly_sure,not,not_exactly_sure,we 're not exactly sure when that will be just yet,"We 're not exactly sure when that will be just yet , but stick with Sole Collector for updates ."
pcc_eng_05_011.1176_x0164025_29:11-12-13,exactly,sure,exactly_sure,not,not_exactly_sure,technique we found but we 're not exactly sure it works .,Right here 's a technique we found but we 're not exactly sure it works .
pcc_eng_16_086.0063_x1375882_14:3-4-5,exactly,sure,exactly_sure,not,not_exactly_sure,i 'm not exactly sure what kind of good luck bird,I 'm not exactly sure what kind of good luck bird poop would bring .
pcc_eng_23_039.4023_x0620536_116:14-15-16,exactly,sure,exactly_sure,not,not_exactly_sure,"little tight , but i 'm not exactly sure of room measurements and none of","This may all appear to be a little tight , but I 'm not exactly sure of room measurements and none of this is to scale ."
pcc_eng_00_011.7751_x0173985_04:4-5-6,exactly,sure,exactly_sure,not,not_exactly_sure,But I 'm not exactly sure why .,But I 'm not exactly sure why .
pcc_eng_12_033.1406_x0520177_6:09-10-11,exactly,sure,exactly_sure,not,not_exactly_sure,"is adorable and while we 're not exactly sure who the illustration is of ,","The packing is adorable and while we 're not exactly sure who the illustration is of , we have a few guesses -- Sia? Cruella ?"
pcc_eng_27_052.1814_x0827243_36:4-5-6,exactly,sure,exactly_sure,not,not_exactly_sure,( i 'm not exactly sure what was going on with those,"( I 'm not exactly sure what was going on with those three , but it could n't have been anything good , judging by how quickly they dropped the joybringers afterwards . )"
pcc_eng_19_010.0341_x0146113_118:3-4-5,exactly,sure,exactly_sure,not,not_exactly_sure,"i 'm not exactly sure , but as far as my","I 'm not exactly sure , but as far as my rusty memory can remember it started some 2 months ago ."
pcc_eng_27_028.3554_x0441800_460:09-10-11,exactly,sure,exactly_sure,not,not_exactly_sure,"the expense side , i 'm not exactly sure what 's been happening with the","Then on the expense side , I 'm not exactly sure what 's been happening with the ratio in reinsurance , but it looks like one place you 've made a lot of improvement has been reinsurance ."
pcc_eng_09_037.2121_x0586146_12:29-30-31,exactly,sure,exactly_sure,not,not_exactly_sure,"the bible , but we 're not exactly sure how to do so .","In my experience , it 's often the case we hear ( rightly ) about the importance of reading and praying with the Bible , but we 're not exactly sure how to do so ."
