hit_id,category,colloc,adv,adj,sent_text,sent_id,adv_index,json_source,prev_sent,next_sent
nyt_eng_19960829_0571_14:25,neg-ext-subj,very_good,very,good,"Madden can easily spew out picks three days before the start of the National Football League season , but he reckons that nobody is very good at that game anyway .",nyt_eng_19960829_0571_14,25,nyt_eng_199608,"He is as spontaneous as a toddler , with a talent for lengthy stream of consciousness .","Besides , he is more interesting on why football never bores him ."
nyt_eng_19960802_0064_17:5,neg-ext-subj,too_aggressive,too,aggressive,"-LBQ-  Nobody will be too aggressive going into the U.S. numbers ,  -RDQ-  said Shinji Koyama , a trader at Toyo Trust Securities .",nyt_eng_19960802_0064_17,5,nyt_eng_199608,The Labor Department releases July employment statistics later today .,"U.S. unemployment likely rose to 5.4 percent from 5.3 percent , according to a Bloomberg survey ."
nyt_eng_19960424_0128_9:19,neg-ext-subj,remotely_interested,remotely,interested,"Were it not for her association with the playwright , she said ,  -LBQ-  Nobody would have been remotely interested in my autobiography .  -RDQ-",nyt_eng_19960424_0128_9,19,nyt_eng_199604,Working with him was the defining period of her career .,"When she met Beckett , in 1963 , it was , she said ,  -LBQ-  trust at first sight .  -RDQ-"
nyt_eng_19960423_0804_54:19,neg-ext-subj,remotely_interested,remotely,interested,"Were it not for her association with the playwright , she says ,  -LBQ-  Nobody would have been remotely interested in my autobiography .  -RDQ-",nyt_eng_19960423_0804_54,19,nyt_eng_199604,Working with him was the defining period of her career .,-LRB- Sara Krulwich\/New York Times Photo -RRB-
nyt_eng_19960415_0717_17:18,neg-ext-subj,quite_sure,quite,sure,"Thus , nobody either in or out of this three-wagon train to Dead Man 's Gulch is quite sure what to make of anything anymore , except that a win is good .",nyt_eng_19960415_0717_17,18,nyt_eng_199604,"On the other hand , they can run the table from here on out and still win no more than 38 games this season , which would leave them three games out of mediocre , and 35 games behind the Chicago Bulls .","Which , when you think about it , is all these teams can ask of life right now ."
nyt_eng_19960412_0571_33:5,neg-ext-subj,really_worried,really,worried,"-LBQ-  Currently nobody is really worried about prepayment risk , because we are at a higher level of interest rates ,  -RDQ-  said Mark Silverstein , who manages $ 2 billion in mortgage bonds for New York-based BEA Associates .",nyt_eng_19960412_0571_33,5,nyt_eng_199604,Such refinancings curb mortgage bond investors ' returns by forcing them to find new bonds after yields have dropped .,"Benchmark Government National Mortgage Association 7.5 percent passthroughs delivered in May rose 5\/8 to 99 5\/32 , for a yield of 7.71 percent , down from 7.84 percent yesterday ."
nyt_eng_19940728_0032_38:16,neg-ext-subj,really_sure,really,sure,Cancer ? Paranoia ? Eagerness to finally get to his peaceable kingdom ? Nobody is really sure .,nyt_eng_19940728_0032_38,16,nyt_eng_199407,His friends never figured out why .,"Cunningham never got to finish his 1,000 pictures ."
nyt_eng_19940703_0009_21:3,neg-ext-subj,absolutely_sure,absolutely,sure,Nobody is absolutely sure what will finally emerge .,nyt_eng_19940703_0009_21,3,nyt_eng_199407,Agonizing compromises are needed .,"But , as the Fourth of July reminds us , Americans can overcome deep regional , personal and political animosities in order to march toward a common goal ."
nyt_eng_19940701_0180_13:27,neg-ext-subj,really_surprised,really,surprised,"As Robert Marich , business editor of The Hollywood Reporter trade newspaper , put it  -COL-   -LBQ-  Everybody is scratching their heads , but nobody is really surprised that Diller was going to make a move -- it was just a question of where or when .",nyt_eng_19940701_0180_13,27,nyt_eng_199407,QVC Chairman Barry Diller happens to be about the best television executive around right now -- perhaps the best in the history of the medium .,"He gets back into the conventional programming area at the same time the business is getting unconventional , with the networks finally getting a relaxation of some of the financial rules ."
nyt_eng_19981227_0105_11:19,neg-ext-subj,really_sure,really,sure,But this has the potential to be so different from anything that 's come before that nobody is really sure how it 's going to develop .  -RDQ-,nyt_eng_19981227_0105_11,19,nyt_eng_199812,-LBQ-  Everyone has a vague idea of what the technology will produce ; everyone has a vague idea of what consumers will want .,"Right now , digital cable television is transmitted primarily to cable systems around the country owned by Tele-Communications Inc. ; since it was first offered in late 1997 , about 1.4 million cable customers have signed up for it ."
