hit_id,category,colloc,adv,adj,sent_text,sent_id,adv_index,json_source,prev_sent,next_sent
apw_eng_20080731_0506_7:13,neg-ext-subj,immediately_available,immediately,available,The Associated Press requested comment from the U.S. command but none was immediately available .,apw_eng_20080731_0506_7,13,apw_eng_200807,"BBC said it was concerned about al-Mashhadani 's detention and urged the American military to  -LBQ-  disclose as a matter of urgency the grounds on which he is being held and what charges , if any , he faces .  -RDQ-",Reuters said two Iraqi journalists who were in the military press office at the time said they saw American soldiers frisking al-Mashhadani and leading him away .
apw_eng_20080725_0113_19:6,neg-ext-subj,very_hard,very,hard,"-LBQ-  None of this was very hard to imagine , and I think he imagined it ,  -RDQ-  Schrager said .",apw_eng_20080725_0113_19,6,apw_eng_200807,-LBQ-  We have seen this -- and the success of this -- in Europe and around the world .  -RDQ-,He said Mulally prepared well by mortgaging factories to arrange a $ 23.4 billion credit line shortly after taking over the company .
apw_eng_20080715_1400_2:18,neg-ext-subj,notably_complicated,notably,complicated,"Although Sergei Volkov and Oleg Kononenko had a lengthy to-do list , none of the chores were notably complicated or dangerous this time around .",apw_eng_20080715_1400_2,18,apw_eng_200807,"The space station 's two Russian astronauts stepped outside for the second time in less than a week Tuesday , taking a spacewalk that proved to be tame compared to last week 's work with explosives .",They quickly installed a docking target to be used when a new Russian mini research module arrives next year and the crew size doubles .
apw_eng_20080711_0577_28:6,neg-ext-subj,really_necessary,really,necessary,"None of all this is really necessary ; the bulls could simply be trucked to their final , pre-run corral .",apw_eng_20080711_0577_28,6,apw_eng_200807,"In the middle , the bulls and their minders walk between the medieval wall and a river .",But Pamplona has preferred to keep the tradition alive anyway .
apw_eng_19990712_1076_17:11,neg-ext-subj,as_shocked,as,shocked,"Of those who failed to qualify , perhaps none was as shocked Andrew Hare of England .",apw_eng_19990712_1076_17,11,apw_eng_199907,"Others who qualified include Sweden 's Gabriel Hjertstedt , who the Tucson Open this year and Mike Weir of Canada , who finished second to Tiger Woods in the Western Open .",He made an ace on the 159-meter -LRB- 175-yard -RRB- 11th hole at Panmure to give himself a chance .
apw_eng_19990705_0041_21:8,neg-ext-subj,individually_strong,individually,strong,But none of the opposition parties is individually strong nationwide .,apw_eng_19990705_0041_21,8,apw_eng_199907,Election reforms have helped opposition parties capture several statehouses over the past decade and the PRI even lost its majority in Congress in 1997 .,Even voters who distrusted the PRI sometimes cast ballots for it .
apw_eng_20100414_0997_33:8,neg-ext-subj,as_intriguing,as,intriguing,"Perhaps none of the brothers is quite as intriguing as the 60-year-old Kurmanbek Bakiyev 's two sons , however .",apw_eng_20100414_0997_33,8,apw_eng_201004,"The youngest , Marat Bakiyev , served until last week as Kyrgyzstan 's ambassador to Germany , while the next youngest , Adil Bakiyev , was Kyrgyzstan 's trade envoy in China .",Maxim Bakiyev -- once widely touted as a likely to succeed his father as president -- is a notoriously publicity-shy businessman in his early 30s and a much gossiped-about figure in Kyrgyzstan .
apw_eng_20100414_0924_8:30,neg-ext-subj,definitely_unnatural,definitely,unnatural,"That led to Wednesday 's ruling , during which the Arnhem Appeals Court found that none of the deaths in which De Berk had once been implicated were even definitely unnatural .",apw_eng_20100414_0924_8,30,apw_eng_201004,"During last month 's retrial , prosecutors conceded the evidence they had used to build their original case was flawed and that they were not flexible enough after they became convinced of De Berk 's guilt early on in her case .",Attorney General Harm Brouwers said he wanted to restore De Berk 's reputation .
apw_eng_20100405_0589_37:18,neg-ext-subj,as_big,as,big,"NASA will rely on other countries ' vessels to deliver crews and supplies , but none are as big and roomy as the shuttle .",apw_eng_20100405_0589_37,18,apw_eng_201004,All these supplies are needed to keep the space station running long after NASA 's three remaining shuttles stop flying .,The space station will continue operating until 2020 under the Obama plan .
apw_eng_20100405_0321_24:18,neg-ext-subj,as_big,as,big,"NASA will rely on other countries ' vessels to deliver crews and supplies , but none is as big and roomy as the shuttle .",apw_eng_20100405_0321_24,18,apw_eng_201004,All these supplies are needed to keep the space station running long after NASA 's three remaining shuttles stop flying .,The space station will continue operating until 2020 under the Obama plan .
