hit_id,bigram_lower,adj_form_lower,all_forms_lower,adv_form_lower,text_window,token_str
pcc_eng_25_010.4124_x0152356_2:41-42,that_easy,easy,(+)_that_easy,that,"- well , it should be really that easy - but when everything gets changing","Follow the process strictly to deliver the projects - Fill out the forms , get all approvals - Order the equipments , assign competent technicians - Complete the job as planned in time - Well , it should be really that easy - But when everything gets changing constantly -"
pcc_eng_16_030.2212_x0472944_04:16-17,that_easy,easy,(+)_that_easy,that,each time you rent -- it 's that easy !,Just call us or reserve your scooter online each time you rent -- It 's that easy !
pcc_eng_09_017.2106_x0262670_30:7-8,that_easy,easy,(+)_that_easy,that,i 'm serious it 's almost that easy .,I 'm serious it 's almost that easy .
pcc_eng_01_092.1610_x1473899_09:23-24,that_easy,easy,(+)_that_easy,that,"10 innings , and he 'll get that easy . ""","Relievers are going to be able to get ready for a season in eight or 10 innings , and he 'll get that easy . """
pcc_eng_00_089.2635_x1427110_17:5-6,that_easy,easy,(+)_that_easy,that,"yes , it 's that easy and the cubs will remain at","Yes , it 's that easy and the Cubs will remain at the bottom of the NL Central until they can find a way to get those guys on base and home ."
pcc_eng_06_077.1768_x1232085_15:13-14,that_easy,easy,(+)_that_easy,that,information once your order ships it 's that easy .,Then email us the tracking information once your order ships it 's that easy .
pcc_eng_10_040.0522_x0631714_068:28-29,that_easy,easy,(+)_that_easy,that,leash into the clasp - it 's that easy !,"Just clip the leash to your dog 's collar , wrap it around your dog 's torso and fit the leash into the clasp - it 's that easy !"
pcc_eng_01_106.0079_x1697086_192:7-8,that_easy,easy,(+)_that_easy,that,"' cause really , it 's that easy .","' Cause really , it 's THAT easy ."
pcc_eng_00_080.5130_x1285459_054:7-8,that_easy,easy,(+)_that_easy,that,"oh , only if it were that easy !","Oh , only if it were that easy !"
pcc_eng_09_057.5897_x0915617_8:11-12,that_easy,easy,(+)_that_easy,that,", on your time - it 's that easy !","Do it yourself , on your time - it 's that easy !"
pcc_eng_00_016.4368_x0249193_04:4-5,that_easy,easy,(+)_that_easy,that,is it really that easy ?,Is it really that easy ?
pcc_eng_19_016.7796_x0254534_06:25-26,that_easy,easy,(+)_that_easy,that,set the rock there ; it 's that easy .,Simply determine what area of your yard you would like to add light to at night and set the rock there ; it 's that easy .
pcc_eng_18_053.9459_x0857248_23:5-6,that_easy,easy,(+)_that_easy,that,can it really be that easy ??,Can it really be that easy ??
pcc_eng_13_018.2693_x0279104_035:4-5,that_easy,easy,(+)_that_easy,that,"it 's just that easy , is n't it ?","It 's just that easy , is n't it ?"
pcc_eng_17_044.4993_x0702555_01:5-6,that_easy,easy,(+)_that_easy,that,is the decision really that easy ?,Is the decision really that easy ?
pcc_eng_13_033.4734_x0525020_35:17-18,that_easy,easy,(+)_that_easy,that,", i would wish it was just that easy .","So for every time you ask me to smile , I would wish it was just that easy ."
pcc_eng_20_085.4425_x1364353_06:11-12,that_easy,easy,(+)_that_easy,that,want a pg server -- it 's that easy .,Run whenever you want a PG server -- it 's THAT easy .
pcc_eng_07_004.8150_x0061614_68:10-11,that_easy,easy,(+)_that_easy,that,"be correct , it might be just that easy .","You might be correct , it might be just that easy ."
pcc_eng_25_011.2891_x0166521_08:13-14,that_easy,easy,(+)_that_easy,that,and hosting your band website is just that easy .,"With Section 101 , managing and hosting your band website is just that easy ."
pcc_eng_15_064.2602_x1021862_15:17-18,that_easy,easy,(+)_that_easy,that,"utilities , wishes the solution could be that easy .","Eric Earnest , the chief operating officer for Summit Utilities , wishes the solution could be that easy ."
pcc_eng_02_021.6847_x0334782_23:24-25,that_easy,easy,(+)_that_easy,that,"for any missing files , it 's that easy .","Even if you 've forgotten the file name , you can just run a general search for any missing files , it 's that easy ."
pcc_eng_15_037.1629_x0584717_54:38-39,that_easy,easy,(+)_that_easy,that,it feels wrong that it should be that easy to be honest which is why,"- I do agree with Louis that the techniques used by the likes of ross jefferies allow you to pick up women so easily that it is almost laughable , it feels wrong that it should be that easy to be honest which is why I stopped doing it ."
pcc_eng_08_094.3840_x1511728_197:5-6,that_easy,easy,(+)_that_easy,that,i wish it were that easy !,I wish it were that easy !
pcc_eng_11_002.7633_x0028651_57:09-10,that_easy,easy,(+)_that_easy,that,click or dial 1-800-331-5453 - it 's that easy .,Just click or dial 1-800-331-5453 - It 's that easy .
pcc_eng_28_021.0517_x0324053_064:6-7,that_easy,easy,(+)_that_easy,that,if only it were always that easy .,If only it were always that easy .
pcc_eng_22_100.9624_x1615366_025:5-6,that_easy,easy,(+)_that_easy,that,fruits and vegetables make that easy .,Fruits and vegetables make that easy .
apw_eng_20010904_1581_3:8-9,that_easy,easy,(+)_that_easy,that,"the rest of the match was nearly that easy for the top-seeded hingis , who","the rest of the match was nearly that easy for the top-seeded Hingis , who won 6-2 , 6-0 in 42 minutes Tuesday to reach the U.S. Open semifinals for the sixth consecutive year ."
pcc_eng_11_008.4548_x0120593_12:11-12,that_easy,easy,(+)_that_easy,that,file and install it ; it 's that easy .,Then open the file and install it ; it 's that easy .
pcc_eng_28_106.3578_x1703812_175:6-7,that_easy,easy,(+)_that_easy,that,and it really is just that easy .,And it really is just that easy .
nyt_eng_19961003_0342_17:10-11,that_easy,easy,(+)_that_easy,that,whether it will turn out to be that easy .,observers wonder whether it will turn out to be that easy .
pcc_eng_27_099.6886_x1596308_25:3-4,that_easy,easy,(+)_that_easy,that,it 's that easy with our virtual tour software technology,It 's that easy with our virtual tour software technology .
pcc_eng_19_032.3383_x0505971_31:4-5,that_easy,easy,(+)_that_easy,that,it can be that easy !,It can be that easy !
pcc_eng_17_050.7615_x0803865_124:09-10,that_easy,easy,(+)_that_easy,that,"? ( yes , it can be that easy . )","Why ? ( Yes , it can be that easy . )"
pcc_eng_08_016.0423_x0243223_114:6-7,that_easy,easy,(+)_that_easy,that,"well , it was just that easy in practice , too .","Well , it was just that easy in practice , too ."
pcc_eng_06_049.0858_x0777995_21:09-10,that_easy,easy,(+)_that_easy,that,for more powerful features - it 's that easy !,Upgrade for more powerful features - it 's that easy !
pcc_eng_03_032.9773_x0517922_13:7-8,that_easy,easy,(+)_that_easy,that,hope the next ones will be that easy .,Hope the next ones will be that easy .
pcc_eng_26_010.6795_x0156399_16:10-11,that_easy,easy,(+)_that_easy,that,"this quickly ; the short chapters made that easy , but i did n't overly","I read this quickly ; the short chapters made that easy , but I did n't overly enjoy it and it was n't a book I could n't put down ."
nyt_eng_19950127_0006_41:5-6,that_easy,easy,(+)_that_easy,that,can this week be that easy ?,can this week be that easy ?
pcc_eng_13_107.07625_x1725171_04:30-31,that_easy,easy,(+)_that_easy,that,contact with the finder - it 's that easy and that effective !,Should anyone find your lost system ( or dog ! ) they simply call us and we 'll immediately put you in contact with the finder - it 's that easy and that effective !
pcc_eng_02_082.9885_x1325700_15:4-5,that_easy,easy,(+)_that_easy,that,could it be that easy ?,Could it be that easy ?
