hit_id,adv_form_lower,adj_form_lower,bigram_lower,neg_form_lower,all_forms_lower,text_window,token_str
pcc_eng_27_051.0398_x0808698_024:18-19-20,that,big,that_big,n't,n't_that_big,sure - but it really is n't that big of a deal and i 'm,"He 's just speaking his opinion - out of line , sure - but it really is n't that big of a deal and I 'm sure he 's usually more right than wrong in his analysis ."
pcc_eng_25_099.2156_x1589461_14:08-09-10,that,big,that_big,n't,n't_that_big,"knows your wife 's tits are n't that big , you could never fuck them","She knows your wife 's tits are n't that big , you could never fuck them like this ."
pcc_eng_13_008.7696_x0125408_68:11-16-17,that,big,that_big,n't,n't_that_big,"it , I do n't the language changes were that big of a difference to","Even if someone did n't like it , I do n't the language changes were that big of a difference to ruin the enjoyment of the story ."
apw_eng_20080318_1960_16:15-18-19,that,big,that_big,n't,n't_that_big,the pictures it would n't have been that big . '',`` If it had been broken by the news without the pictures it would n't have been that big . ''
nyt_eng_20060920_0220_7:46-48-49,that,big,that_big,n't,n't_that_big,", even though it is n't really that big of a deal .","the AP 's reluctance to change is one reason why this story -- a blip on the national radar , fodder for a day for newspapers and radio talk show hosts across the country -- is such a big deal , even though it is n't really that big of a deal ."
pcc_eng_05_082.4162_x1317737_38:11-12-13,that,big,that_big,n't,n't_that_big,"can see that the servings are n't that big , so i better eat it",""" Mom , I can see that the servings are n't that big , so I better eat it all . """
pcc_eng_00_068.3150_x1087993_03:4-5-6,that,big,that_big,n't,n't_that_big,"this probably is n't that big of a surprise , but gateway","This probably is n't that big of a surprise , but Gateway , in their struggles to find relevance have been increasinlgy made moves that show they want to be Apple of the PC world - expanding beyond just PCs into the consumer electronics / "" digital lifestyle "" world ."
pcc_eng_25_097.9766_x1569423_20:10-11-12,that,big,that_big,n't,n't_that_big,"there anyway , so it is n't that big of a deal .","I 'm going there anyway , so it is n't that big of a deal ."
pcc_eng_15_097.5190_x1559995_36:11-12-13,that,big,that_big,n't,n't_that_big,with people and the shop is n't that big .,The store was swarming with people and the shop is n't that big .
pcc_eng_27_026.1184_x0405909_49:4-5-6,that,big,that_big,n't,n't_that_big,this really is n't that big of deal until gill 's team,This really is n't that big of deal until Gill 's team issued a very poor response .
pcc_eng_19_056.1972_x0890853_15:3-4-5,that,big,that_big,n't,n't_that_big,it was n't that big of an emergency though the laundromat,It was n't that big of an emergency though the laundromat was an experience ...
pcc_eng_27_021.5105_x0331653_090:20-21-22,that,big,that_big,n't,n't_that_big,"could imagine , it probably was n't that big of a deal , and i","I also realized that , if that was the worst possible situation I could imagine , it probably was n't that big of a deal , and I should just do it ."
pcc_eng_23_033.6693_x0527387_02:5-6-7,that,big,that_big,n't,n't_that_big,"Oftentimes , it is n't that big of a deal .","Oftentimes , it is n't that big of a deal ."
pcc_eng_14_093.9265_x1502427_079:3-5-6,that,big,that_big,n't,n't_that_big,"it ca n't be that big , or that bad .","It ca n't be that big , or that bad ."
pcc_eng_24_071.3780_x1138401_25:14-16-17,that,big,that_big,n't,n't_that_big,this kind of exploitation is n't really that big of a deal .,It will say to a watching world that this kind of exploitation is n't really that big of a deal .
pcc_eng_20_039.2359_x0618013_078:5-6-7,that,big,that_big,n't,n't_that_big,"our island really is n't that big , and it should n't have","Our island really is n't that big , and it should n't have taken this long ."
nyt_eng_20050824_0066_5:28-29-30,that,big,that_big,n't,n't_that_big,knee bend and he really is n't that big .,"`` In my day , a team would have made Levi weigh 275 because he 's got quick feet , good knee bend and he really is n't that big ."
pcc_eng_05_038.5783_x0608393_11:14-15-16,that,big,that_big,n't,n't_that_big,"a/c unit anyway , it was n't that big of a deal .","Since we planned on replacing the antiquated A/C unit anyway , it was n't that big of a deal ."
pcc_eng_21_072.1073_x1149132_1077:08-09-10,that,big,that_big,n't,n't_that_big,", h. : well it was n't that big a fine .","Williams , H. : Well it was n't that big a fine ."
pcc_eng_14_012.6828_x0188597_26:10-11-12,that,big,that_big,n't,n't_that_big,the female side of snowboarding is n't that big .,We all know the female side of snowboarding is n't that big .
pcc_eng_16_088.6517_x1418899_20:08-09-10,that,big,that_big,n't,n't_that_big,- marion ps - you are n't that big / tall in that photo !,XO - Marion PS - you are n't that big / tall in that photo !
pcc_eng_21_018.3013_x0279376_05:41-42-43,that,big,that_big,n't,n't_that_big,that battery manufacture and disposal are n't that big a deal .,"The Swiss boffins , having done some major research into the environmental burdens of making and disposing of li-ion batteries - to add to the established bodies of work on existing cars - say that battery manufacture and disposal are n't that big a deal ."
pcc_eng_14_085.7476_x1369850_13:5-6-7,that,big,that_big,n't,n't_that_big,"now most people are n't that big into paranormal stories , but oh","Now most people are n't that big into paranormal stories , but oh are they the greatest ever in my opinion ."
pcc_eng_20_083.0230_x1325161_037:52-53-54,that,big,that_big,n't,n't_that_big,"the top horses , that was n't that big of a shocker .","And the Santa Anita Derby , that was a pretty deep field and I think a lot of people thought that Bob Lewis was a fluke , so that was n't really that -- yet Baffert and a lot of the big name guys with the top horses , that was n't that big of a shocker ."
pcc_eng_12_017.5336_x0267512_23:11-12-13,that,big,that_big,n't,n't_that_big,"thing , but celebrity ass was n't that big in the 1970s .","It is a funny thing , but celebrity ass was n't that big in the 1970s ."
pcc_eng_07_026.3137_x0409499_13:3-5-6,that,big,that_big,n't,n't_that_big,it would n't be that big of a surprise to see pink,"It would n't be that big of a surprise to see Pink and Elle King in the same category , but it 's unexpected that they 'd be going up against a cappella vocal group Pentatonix ."
pcc_eng_00_043.7655_x0691015_30:10-11-12,that,big,that_big,n't,n't_that_big,to be bound now which is n't that big of a deal .,It just needs to be bound now which is n't that big of a deal .
pcc_eng_09_096.4115_x1543867_48:3-4-5,that,big,that_big,n't,n't_that_big,yields are n't that big of an issue here like they,Yields are n't that big of an issue here like they are in the Midwest and other areas .
pcc_eng_00_010.4463_x0152324_07:5-6-7,that,big,that_big,n't,n't_that_big,""" it really was n't that big of a deal , "" he",""" It really was n't that big of a deal , "" he said ."
pcc_eng_17_073.6611_x1174233_07:6-8-9,that,big,that_big,n't,n't_that_big,the biggest changes here are n't really that big at all :,The biggest changes here are n't really that big at all :
pcc_eng_05_084.2433_x1347184_35:43-44-45,that,big,that_big,n't,n't_that_big,late into the week it was n't that big of a deal .,"That all being said , I would n't like anyone to read the mess of code I wrote , but at least it was all annotated and when I had to rewrite the main game loop late into the week it was n't that big of a deal ."
pcc_eng_06_072.0498_x1149408_38:29-30-31,that,big,that_big,n't,n't_that_big,"and that "" it really was n't that big of a push . ""","Gibbs originally backed up Evan Cossette 's version of events when interviewed by internal affairs , telling Caponigro that Temich was uncooperative and that "" it really was n't that big of a push . """
pcc_eng_17_007.8770_x0111228_190:6-7-8,that,big,that_big,n't,n't_that_big,""" normal stuffed animals are n't that big .",""" Normal stuffed animals are n't that big ."
pcc_eng_21_064.5506_x1026897_04:12-13-14,that,big,that_big,n't,n't_that_big,"for an area that really is n't that big , you can find nearly so","It is quite amazing that for an area that really is n't that big , you can find nearly so many different ecosystems ."
