hit_id,bigram_lower,adj_form_lower,all_forms_lower,adv_form_lower,text_window,token_str
pcc_eng_27_051.5253_x0816588_49:4-5,any_easier,easier,(+)_any_easier,any,it could be any easier !,It could be any easier !
pcc_eng_11_098.0786_x1571518_09:6-7,any_easier,easier,(+)_any_easier,any,scoring rubrics cannot be made any easier .,Scoring rubrics cannot be made any easier .
pcc_eng_05_086.0923_x1376972_06:23-24,any_easier,easier,(+)_any_easier,any,spotlight drop face oil it cannot be any easier .,"Regardless the type , your skin requires exceptional care and with a daily dose of Spotlight Drop Face Oil it cannot be any easier ."
pcc_eng_17_033.8964_x0532019_17:43-44,any_easier,easier,(+)_any_easier,any,that the technology choice will be made any easier .,"The reason that we need to break away from INATT , particularly within organisations , is the underlying idea that we just need to organise our thoughts on what we really want or need and that the technology choice will be made any easier ."
pcc_eng_15_035.4983_x0557844_16:5-6,any_easier,easier,(+)_any_easier,any,but will it be any easier now for young disabled people to,But will it be any easier now for young disabled people to access society ?
pcc_eng_09_038.3448_x0604393_172:25-26,any_easier,easier,(+)_any_easier,any,doesn ' help me deal with this any easier ?,""" Ya do realize forcin ' me ta continue on as though nothin ' fuckin ' happened doesn ' help me deal with this any easier ?"
pcc_eng_21_064.6007_x1027703_76:1-2,any_easier,easier,(+)_any_easier,any,any easier and we 'll all have to,Any easier and we 'll all have to be genies or something -- wish it and it 's done !
pcc_eng_21_096.3472_x1540506_46:4-5,any_easier,easier,(+)_any_easier,any,it cannot get any easier than this .,It cannot get any easier than this .
pcc_eng_03_037.8757_x0597168_19:7-8,any_easier,easier,(+)_any_easier,any,"as to whether it makes it any easier to ride out , when many","As to whether it makes it any easier to ride out , when many are now suffering , remains to be seen ."
pcc_eng_17_101.3464_x1621979_20:4-5,any_easier,easier,(+)_any_easier,any,things cannot go any easier than this only here at slot,Things cannot go any easier than this only here at Slot Fruity casino .
pcc_eng_02_056.9188_x0904543_41:4-5,any_easier,easier,(+)_any_easier,any,does it get any easier than that ?,Does it get any easier than that ?
pcc_eng_01_023.3553_x0361596_04:32-33,any_easier,easier,(+)_any_easier,any,rules are unlikely to make the task any easier .,"For anyone who already dreads the idea of trying to sift through a 20 - page Compensation Discussion and Analysis section , the new rules are unlikely to make the task any easier ."
pcc_eng_04_004.9394_x0063813_129:4-5,any_easier,easier,(+)_any_easier,any,is it getting any easier to secure supply ?,Is it getting any easier to secure supply ?
pcc_eng_11_076.3080_x1219149_5:5-6,any_easier,easier,(+)_any_easier,any,"and does it get any easier than ordering the unique thailander ,","And does it get any easier than ordering the unique Thailander , a pizza that mimics a helping of pad Thai with a spicy peanut sauce , free-range chicken , heaps of mozzarella cheese , and all the fresh accoutrements ( green onion , sprouts , carrots ) that make a marriage of Italy and Thailand seem possible ?"
pcc_eng_28_053.2784_x0845742_121:25-26,any_easier,easier,(+)_any_easier,any,", and it doesnt make my job any easier . ""","It was a fantastic performance of energy , aggression and running , I admire him for that , and it doesnt make my job any easier . """
pcc_eng_26_048.6047_x0769783_12:5-6,any_easier,easier,(+)_any_easier,any,"it has n\'t been any easier for john\ 's close friend ,","It has n\'t been any easier for John\ 's close friend , Sarah Jenkinson , harassed at school since moving to the area a few years ago ..."
pcc_eng_29_097.2910_x1555633_20:4-5,any_easier,easier,(+)_any_easier,any,can it get any easier than that ?,Can it get any easier than that ?
pcc_eng_02_005.0813_x0065887_29:4-5,any_easier,easier,(+)_any_easier,any,things wont get any easier for sc as they will face,Things wont get any easier for SC as they will face either Knox County or Milan on Thursday .
pcc_eng_13_041.0796_x0647978_91:14-15,any_easier,easier,(+)_any_easier,any,car phantom would make 3 am 's any easier .,I doubted that meeting the red car phantom would make 3 AM 's any easier .
pcc_eng_09_048.2698_x0764727_04:4-5,any_easier,easier,(+)_any_easier,any,could it get any easier than that to make this 2,Could it get any easier than that to make this 2 bedroom 1 bathroom Heather Lakes condo your Florida home ?
pcc_eng_03_005.4874_x0072512_050:22-23,any_easier,easier,(+)_any_easier,any,things to see if it makes it any easier or better for me .,"Maybe those will find there way to other lists , other plank - like things to see if it makes it any easier or better for me ."
pcc_eng_24_103.8677_x1664344_49:5-6,any_easier,easier,(+)_any_easier,any,"if the work were any easier , there would n't be any","If the work were any easier , there would n't be any profit in it ."
pcc_eng_25_053.9303_x0857159_28:36-37,any_easier,easier,(+)_any_easier,any,"again , and see if it is any easier .","If you cannot figure out what the picture is in Pro before the timer runs out , then decrease the difficulty to Advanced , start the timer over again , and see if it is any easier ."
pcc_eng_29_085.9414_x1372036_4:10-11,any_easier,easier,(+)_any_easier,any,is whether the latest bill will be any easier to pass .,The question is whether the latest bill will be any easier to pass .
pcc_eng_02_029.4209_x0460098_08:4-5,any_easier,easier,(+)_any_easier,any,could this be any easier ?,Could this be any easier ?
pcc_eng_16_106.0556_x1700217_032:3-4,any_easier,easier,(+)_any_easier,any,is it any easier or more difficult to produce one,Is it any easier or more difficult to produce one genre over the other ?
pcc_eng_19_022.7904_x0351899_13:7-8,any_easier,easier,(+)_any_easier,any,anything that can make the process any easier is typically embraced by students .,Anything that can make the process any easier is typically embraced by students .
pcc_eng_07_062.4243_x0992728_10:17-18,any_easier,easier,(+)_any_easier,any,the aesthetic instruments to make their endeavor any easier .,And vogue has been loath to provide them with the aesthetic instruments to make their endeavor any easier .
pcc_eng_23_073.3036_x1168208_02:6-7,any_easier,easier,(+)_any_easier,any,do you feel chinese was any easier to learn because you studied japanese,Do you feel Chinese was any easier to learn because you studied Japanese ?
pcc_eng_08_052.3742_x0831786_49:3-4,any_easier,easier,(+)_any_easier,any,was phillip any easier to deal with and stand outside,Was Phillip any easier to deal with and stand outside of the game than in it ?
