hit_id,colloc,sent_text,nr_form,neg_form,adv_form,adj_form,text_window,sent_id,prev_sent,sent_text,token_str,lemma_str,next_sent,nr_lemma,neg_lemma,adv_lemma,adj_lemma,nr_index,neg_index,adv_index,adj_index,dep_negraise_source,dep_negraise_target,dep_negraise_relation,dep_neg_source,dep_neg_target,dep_neg_relation,dep_mod_source,dep_mod_target,dep_mod_relation,json_source,match_ix,colloc,category
nyt_eng_20101231_0114_13:0-15-16,so_dangerous,"Few , for instance , thought the aging Mavericks and the aging Spurs would be so dangerous this season .",thought,few,so,dangerous,season .,nyt_eng_20101231_0114_13,"Expectations , of course , do not always pan out .","Few , for instance , thought the aging Mavericks and the aging Spurs would be so dangerous this season .","few , for instance , thought the aging Mavericks and the aging Spurs would be so dangerous this season .","few , for instance , think the age maverick and the age spur would be so dangerous this season .",Fewer still would have expected the way they have gone about it .,thought,few,so,dangerous,5,0,15,16,"{'lemma': 'think', 'ix': 5, 'xpos': 'VBD', 'deprel': 'root', 'head': '.'}","{'lemma': 'dangerous', 'ix': 16, 'xpos': 'JJ', 'deprel': 'ccomp', 'head': 'think'}",ccomp,"{'lemma': 'think', 'ix': 5, 'xpos': 'VBD', 'deprel': 'root', 'head': '.'}","{'lemma': 'few', 'ix': 0, 'xpos': 'JJ', 'deprel': 'nsubj', 'head': 'think'}",nsubj,"{'lemma': 'dangerous', 'ix': 16, 'xpos': 'JJ', 'deprel': 'ccomp', 'head': 'think'}","{'lemma': 'so', 'ix': 15, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'dangerous'}",advmod,nyt_eng_201012,0-15-16,so_dangerous,NegRaise
nyt_eng_20101230_0028_1:2-8-9,too_much,You would n't have thought that it was too much to ask .,thought,n't,too,much,you would n't have thought that it was too much to ask .,nyt_eng_20101230_0028_1,,You would n't have thought that it was too much to ask .,you would n't have thought that it was too much to ask .,you would not have think that it be too much to ask .,"For years Jolle Greenleaf , a soprano with a light , bright tone and impeccable delivery who specializes in early music , looked forward to performing in Monteverdi 's epochal 1610 Vespers during the 400th anniversary of its publication .",thought,n't,too,much,4,2,8,9,"{'lemma': 'think', 'ix': 4, 'xpos': 'VBN', 'deprel': 'root', 'head': '.'}","{'lemma': 'much', 'ix': 9, 'xpos': 'JJ', 'deprel': 'ccomp', 'head': 'think'}",ccomp,"{'lemma': 'think', 'ix': 4, 'xpos': 'VBN', 'deprel': 'root', 'head': '.'}","{'lemma': 'not', 'ix': 2, 'xpos': 'RB', 'deprel': 'neg', 'head': 'think'}",neg,"{'lemma': 'much', 'ix': 9, 'xpos': 'JJ', 'deprel': 'ccomp', 'head': 'think'}","{'lemma': 'too', 'ix': 8, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'much'}",advmod,nyt_eng_201012,2-8-9,too_much,NegRaise
nyt_eng_20101230_0008_1:5-14-15,too_worried,"Giants coach Tom Coughlin did not look or sound Wednesday as if he was too worried about keeping his job , let alone extending the season beyond Sunday .",look,not,too,worried,"Giants coach Tom Coughlin did not look or sound Wednesday as if he was too worried about keeping his job , let alone extending the season beyond Sunday .",nyt_eng_20101230_0008_1,,"Giants coach Tom Coughlin did not look or sound Wednesday as if he was too worried about keeping his job , let alone extending the season beyond Sunday .","Giants coach Tom Coughlin did not look or sound Wednesday as if he was too worried about keeping his job , let alone extending the season beyond Sunday .","Giants coach Tom Coughlin did not look or sound Wednesday as if he be too worried about keep he job , let alone extend the season beyond Sunday .",He leaned on a lectern but did not clutch or pound it .,look,not,too,worried,6,5,14,15,"{'lemma': 'look', 'ix': 6, 'xpos': 'VB', 'deprel': 'root', 'head': '.'}","{'lemma': 'worried', 'ix': 15, 'xpos': 'JJ', 'deprel': 'advcl', 'head': 'look'}",advcl,"{'lemma': 'look', 'ix': 6, 'xpos': 'VB', 'deprel': 'root', 'head': '.'}","{'lemma': 'not', 'ix': 5, 'xpos': 'RB', 'deprel': 'neg', 'head': 'look'}",neg,"{'lemma': 'worried', 'ix': 15, 'xpos': 'JJ', 'deprel': 'advcl', 'head': 'look'}","{'lemma': 'too', 'ix': 14, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'worried'}",advmod,nyt_eng_201012,5-14-15,too_worried,NegRaise
nyt_eng_20101229_0172_26:3-7-8,too_serious,"-LBQ-  I did n't think it was too serious , and then they told us he was at the hospital and I was real worried ,  -RDQ-  senior DL Duke Lemmens said .",think,n't,too,serious,"`` I did n't think it was too serious , and then they told us he was at the hospital and I was real worried , '' senior DL Duke Lemmens said .",nyt_eng_20101229_0172_26,He was released Tuesday night .,"-LBQ-  I did n't think it was too serious , and then they told us he was at the hospital and I was real worried ,  -RDQ-  senior DL Duke Lemmens said .","`` I did n't think it was too serious , and then they told us he was at the hospital and I was real worried , '' senior DL Duke Lemmens said .","`` I did not think it be too serious , and then they tell we he be at the hospital and I be real worried , '' senior DL Duke Lemmens say .",-LBQ-  But I saw him -LRB- Wednesday -RRB- morning .,think,n't,too,serious,4,3,7,8,"{'lemma': 'think', 'ix': 4, 'xpos': 'VB', 'deprel': 'ccomp', 'head': 'say'}","{'lemma': 'serious', 'ix': 8, 'xpos': 'JJ', 'deprel': 'ccomp', 'head': 'think'}",ccomp,"{'lemma': 'think', 'ix': 4, 'xpos': 'VB', 'deprel': 'ccomp', 'head': 'say'}","{'lemma': 'not', 'ix': 3, 'xpos': 'RB', 'deprel': 'neg', 'head': 'think'}",neg,"{'lemma': 'serious', 'ix': 8, 'xpos': 'JJ', 'deprel': 'ccomp', 'head': 'think'}","{'lemma': 'too', 'ix': 7, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'serious'}",advmod,nyt_eng_201012,3-7-8,too_serious,NegRaise
nyt_eng_20101229_0140_1:5-14-15,too_worried,"Giants coach Tom Coughlin did not look or sound Wednesday as if he were too worried about keeping his job , let alone extending the season beyond Sunday .",look,not,too,worried,"Giants coach Tom Coughlin did not look or sound Wednesday as if he were too worried about keeping his job , let alone extending the season beyond Sunday .",nyt_eng_20101229_0140_1,,"Giants coach Tom Coughlin did not look or sound Wednesday as if he were too worried about keeping his job , let alone extending the season beyond Sunday .","Giants coach Tom Coughlin did not look or sound Wednesday as if he were too worried about keeping his job , let alone extending the season beyond Sunday .","Giants coach Tom Coughlin did not look or sound Wednesday as if he be too worried about keep he job , let alone extend the season beyond Sunday .",He leaned on a lectern but did not clutch or pound it .,look,not,too,worried,6,5,14,15,"{'lemma': 'look', 'ix': 6, 'xpos': 'VB', 'deprel': 'root', 'head': '.'}","{'lemma': 'worried', 'ix': 15, 'xpos': 'JJ', 'deprel': 'advcl', 'head': 'look'}",advcl,"{'lemma': 'look', 'ix': 6, 'xpos': 'VB', 'deprel': 'root', 'head': '.'}","{'lemma': 'not', 'ix': 5, 'xpos': 'RB', 'deprel': 'neg', 'head': 'look'}",neg,"{'lemma': 'worried', 'ix': 15, 'xpos': 'JJ', 'deprel': 'advcl', 'head': 'look'}","{'lemma': 'too', 'ix': 14, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'worried'}",advmod,nyt_eng_201012,5-14-15,too_worried,NegRaise
nyt_eng_20101229_0131_32:9-15-16,so_difficult,"Indeed , Mike Shanahan acknowledged on Wednesday that he never thought this season would be so difficult .",thought,never,so,difficult,"indeed , Mike Shanahan acknowledged on Wednesday that he never thought this season would be so difficult .",nyt_eng_20101229_0131_32,The Giants have had their moments -- including coach Tom Coughlin screaming at his young punter after the last-second loss to the Eagles two weeks ago -- but nothing like this .,"Indeed , Mike Shanahan acknowledged on Wednesday that he never thought this season would be so difficult .","indeed , Mike Shanahan acknowledged on Wednesday that he never thought this season would be so difficult .","indeed , Mike Shanahan acknowledge on Wednesday that he never think this season would be so difficult .","On Monday , he likened it to a soap opera .",thought,never,so,difficult,10,9,15,16,"{'lemma': 'think', 'ix': 10, 'xpos': 'VBD', 'deprel': 'ccomp', 'head': 'acknowledge'}","{'lemma': 'difficult', 'ix': 16, 'xpos': 'JJ', 'deprel': 'ccomp', 'head': 'think'}",ccomp,"{'lemma': 'think', 'ix': 10, 'xpos': 'VBD', 'deprel': 'ccomp', 'head': 'acknowledge'}","{'lemma': 'never', 'ix': 9, 'xpos': 'RB', 'deprel': 'neg', 'head': 'think'}",neg,"{'lemma': 'difficult', 'ix': 16, 'xpos': 'JJ', 'deprel': 'ccomp', 'head': 'think'}","{'lemma': 'so', 'ix': 15, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'difficult'}",advmod,nyt_eng_201012,9-15-16,so_difficult,NegRaise
nyt_eng_20101229_0120_30:7-9-10,much_different,"To most , the newer package does n't look much different .",look,n't,much,different,"to most , the newer package does n't look much different .",nyt_eng_20101229_0120_30,"But as before , expectations are muted .","To most , the newer package does n't look much different .","to most , the newer package does n't look much different .","to most , the newer package does not look much different .","It has seven flagship initiatives based around a  -LBQ-  digital agenda ,  -RDQ-  innovation and resource efficiency .",look,n't,much,different,8,7,9,10,"{'lemma': 'look', 'ix': 8, 'xpos': 'VB', 'deprel': 'root', 'head': '.'}","{'lemma': 'different', 'ix': 10, 'xpos': 'JJ', 'deprel': 'acomp', 'head': 'look'}",acomp,"{'lemma': 'look', 'ix': 8, 'xpos': 'VB', 'deprel': 'root', 'head': '.'}","{'lemma': 'not', 'ix': 7, 'xpos': 'RB', 'deprel': 'neg', 'head': 'look'}",neg,"{'lemma': 'different', 'ix': 10, 'xpos': 'JJ', 'deprel': 'acomp', 'head': 'look'}","{'lemma': 'much', 'ix': 9, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'different'}",advmod,nyt_eng_201012,7-9-10,much_different,NegRaise
nyt_eng_20101229_0040_92:12-14-15,so_good,"-LBQ-  But when I got home , I said , that does n't look so good ,  -RDQ-  she recalled .",look,n't,so,good,"`` But when I got home , I said , that does n't look so good , '' she recalled .",nyt_eng_20101229_0040_92,Kaplan managed to stop the bleeding with a Band-Aid .,"-LBQ-  But when I got home , I said , that does n't look so good ,  -RDQ-  she recalled .","`` But when I got home , I said , that does n't look so good , '' she recalled .","`` but when I get home , I say , that does not look so good , '' she recall .","A plastic surgeon agreed , and closed the cut with 10 stitches .",look,n't,so,good,13,12,14,15,"{'lemma': 'look', 'ix': 13, 'xpos': 'VB', 'deprel': 'ccomp', 'head': 'recall'}","{'lemma': 'good', 'ix': 15, 'xpos': 'JJ', 'deprel': 'acomp', 'head': 'look'}",acomp,"{'lemma': 'look', 'ix': 13, 'xpos': 'VB', 'deprel': 'ccomp', 'head': 'recall'}","{'lemma': 'not', 'ix': 12, 'xpos': 'RB', 'deprel': 'neg', 'head': 'look'}",neg,"{'lemma': 'good', 'ix': 15, 'xpos': 'JJ', 'deprel': 'acomp', 'head': 'look'}","{'lemma': 'so', 'ix': 14, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'good'}",advmod,nyt_eng_201012,12-14-15,so_good,NegRaise
nyt_eng_20101228_0015_28:2-7-8,very_successful,I do n't think I 've been very successful in those efforts .,think,n't,very,successful,i do n't think I 've been very successful in those efforts .,nyt_eng_20101228_0015_28,"I try to help kids focus on their behavior and accomplishments , and appreciate that great things have been done by people who do n't always fit the cultural norms of attractiveness .",I do n't think I 've been very successful in those efforts .,i do n't think I 've been very successful in those efforts .,I do not think I 've be very successful in those effort .,4 .,think,n't,very,successful,3,2,7,8,"{'lemma': 'think', 'ix': 3, 'xpos': 'VB', 'deprel': 'root', 'head': '.'}","{'lemma': 'successful', 'ix': 8, 'xpos': 'JJ', 'deprel': 'ccomp', 'head': 'think'}",ccomp,"{'lemma': 'think', 'ix': 3, 'xpos': 'VB', 'deprel': 'root', 'head': '.'}","{'lemma': 'not', 'ix': 2, 'xpos': 'RB', 'deprel': 'neg', 'head': 'think'}",neg,"{'lemma': 'successful', 'ix': 8, 'xpos': 'JJ', 'deprel': 'ccomp', 'head': 'think'}","{'lemma': 'very', 'ix': 7, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'successful'}",advmod,nyt_eng_201012,2-7-8,very_successful,NegRaise
nyt_eng_20101227_0012_47:1-13-14,most_significant,It never imagined two teams battling to get to .500 would be the most significant .,imagined,never,most,significant,.,nyt_eng_20101227_0012_47,The NFL engineered the schedule this season to make the final week all division games .,It never imagined two teams battling to get to .500 would be the most significant .,it never imagined two teams battling to get to .500 would be the most significant .,it never imagine two team battle to get to .500 would be the most significant .,,imagined,never,most,significant,2,1,13,14,"{'lemma': 'imagine', 'ix': 2, 'xpos': 'VBD', 'deprel': 'root', 'head': '.'}","{'lemma': 'significant', 'ix': 14, 'xpos': 'JJ', 'deprel': 'ccomp', 'head': 'imagine'}",ccomp,"{'lemma': 'imagine', 'ix': 2, 'xpos': 'VBD', 'deprel': 'root', 'head': '.'}","{'lemma': 'never', 'ix': 1, 'xpos': 'RB', 'deprel': 'neg', 'head': 'imagine'}",neg,"{'lemma': 'significant', 'ix': 14, 'xpos': 'JJ', 'deprel': 'ccomp', 'head': 'imagine'}","{'lemma': 'most', 'ix': 13, 'xpos': 'RBS', 'deprel': 'advmod', 'head': 'significant'}",advmod,nyt_eng_201012,1-13-14,most_significant,NegRaise
