hit_id,bigram_lower,adj_form_lower,all_forms_lower,adv_form_lower,text_window,token_str
pcc_eng_07_009.8824_x0144024_58:7-8,any_smarter,smarter,(+)_any_smarter,any,how will this make the world any smarter ?,How will this make the world any smarter ?
pcc_eng_29_096.4782_x1542511_17:4-5,any_smarter,smarter,(+)_any_smarter,any,if she was any smarter or have anything else to do,"If she was any smarter or have anything else to do , she 'd probably say no ... but she says yes , and we set sail ."
pcc_eng_16_099.2954_x1591129_37:11-12,any_smarter,smarter,(+)_any_smarter,any,more restaurant review app make your smartphone any smarter ?,How can one more restaurant review app make your smartphone any smarter ?
pcc_eng_11_010.8316_x0159095_29:17-18,any_smarter,smarter,(+)_any_smarter,any,will come out of all these events any smarter ?,The question I keep asking myself is will Malawians will come out of all these events any smarter ?
pcc_eng_20_095.6409_x1528941_21:6-7,any_smarter,smarter,(+)_any_smarter,any,can your current smartphone be any smarter ?,Can your current smartphone be any smarter ?
pcc_eng_21_023.7623_x0367724_22:4-5,any_smarter,smarter,(+)_any_smarter,any,and am i any smarter than i was yesterday ?,And am I any smarter than I was yesterday ?
pcc_eng_11_073.7029_x1176766_169:7-8,any_smarter,smarter,(+)_any_smarter,any,why would anyone think we are any smarter now than we were then ?,Why would anyone think we are any smarter now than we were then ?
pcc_eng_09_055.9921_x0889665_1:22-23,any_smarter,smarter,(+)_any_smarter,any,all the pieces together to make them any smarter than a precocious 10 - year-old,"Smart TVs - or , rather , their makers - have yet to put all the pieces together to make them any smarter than a precocious 10 - year-old ."
pcc_eng_04_080.0616_x1277222_35:5-6,any_smarter,smarter,(+)_any_smarter,any,""" statistics cannot be any smarter than the people who use them",""" Statistics cannot be any smarter than the people who use them ."
pcc_eng_14_080.7932_x1290157_5:09-10,any_smarter,smarter,(+)_any_smarter,any,wonder if eating his brain made them any smarter ?,I wonder if eating his brain made them any smarter ?
pcc_eng_13_108.06089_x1739823_03:1-2,any_smarter,smarter,(+)_any_smarter,any,any smarter than george w. bush ?,Any smarter than George W. Bush ?
