hit_id,status,colloc,adv,adj,sent_text,sent_id,adv_index
nyt_eng_19940828_0144_50:8,discard,absolutely_certain,absolutely,certain,"And three , you can never be absolutely certain that you 're right .",nyt_eng_19940828_0144_50,8
nyt_eng_19940828_0144_50:8,keep,absolutely_certain,absolutely,certain,"And three , you can never be absolutely certain that you 're right .",nyt_eng_19940828_0144_50,8
nyt_eng_19941012_0007_23:10,discard,as_strong,as,strong,"Historically , the hockey players union has never been as strong as baseball 's players association and for years it was run by a man with close ties to the owners .",nyt_eng_19941012_0007_23,10
nyt_eng_19941012_0007_23:10,keep,as_strong,as,strong,"Historically , the hockey players union has never been as strong as baseball 's players association and for years it was run by a man with close ties to the owners .",nyt_eng_19941012_0007_23,10
nyt_eng_19950301_0123_18:17,discard,as_good,as,good,"Duchamp taught his friend how to play chess , and though Man Ray could never be as good and never cared sufficiently about winning anyway , the friendship , which began with a game of tennis , progressed across a chessboard .",nyt_eng_19950301_0123_18,17
nyt_eng_19950301_0123_18:17,keep,as_good,as,good,"Duchamp taught his friend how to play chess , and though Man Ray could never be as good and never cared sufficiently about winning anyway , the friendship , which began with a game of tennis , progressed across a chessboard .",nyt_eng_19950301_0123_18,17
nyt_eng_19950321_0056_11:30,discard,particularly_forthcoming,particularly,forthcoming,"Did she purposely hold out the good stuff for a subsequent volume at a future date ? On the occasions that I have interviewed Comden , she was never particularly forthcoming with an analysis of her creative process or with gossipy memories of the towering talents with whom she toiled .",nyt_eng_19950321_0056_11,30
nyt_eng_19950321_0056_11:30,keep,particularly_forthcoming,particularly,forthcoming,"Did she purposely hold out the good stuff for a subsequent volume at a future date ? On the occasions that I have interviewed Comden , she was never particularly forthcoming with an analysis of her creative process or with gossipy memories of the towering talents with whom she toiled .",nyt_eng_19950321_0056_11,30
nyt_eng_19950515_0273_21:9,discard,that_close,that,close,"My father and me , we were never that close , you know .",nyt_eng_19950515_0273_21,9
nyt_eng_19950515_0273_21:9,keep,that_close,that,close,"My father and me , we were never that close , you know .",nyt_eng_19950515_0273_21,9
nyt_eng_19950603_0128_2:19,discard,much_interested,much,interested,"Never one to ignore the wild side , even at the age of 61 , Unser is n't much interested in paddling a canoe , or raising the sail on a dinghy .",nyt_eng_19950603_0128_2,19
nyt_eng_19950603_0128_2:19,keep,much_interested,much,interested,"Never one to ignore the wild side , even at the age of 61 , Unser is n't much interested in paddling a canoe , or raising the sail on a dinghy .",nyt_eng_19950603_0128_2,19
nyt_eng_19950906_0292_23:20,discard,relatively_quiet,relatively,quiet,"Never one to shy away from the spotlight when putting together a new advertising campaign , Nike has been relatively quiet about its plans involving Ripken , one of the company 's many endorsers .",nyt_eng_19950906_0292_23,20
nyt_eng_19950906_0292_23:20,keep,relatively_quiet,relatively,quiet,"Never one to shy away from the spotlight when putting together a new advertising campaign , Nike has been relatively quiet about its plans involving Ripken , one of the company 's many endorsers .",nyt_eng_19950906_0292_23,20
nyt_eng_19960409_0677_7:8,discard,as_strong,as,strong,"-LBQ-  The growth last year was never as strong as we thought because of the massive inventory buildups ,  -RDQ-  he said .",nyt_eng_19960409_0677_7,8
nyt_eng_19960409_0677_7:8,keep,as_strong,as,strong,"-LBQ-  The growth last year was never as strong as we thought because of the massive inventory buildups ,  -RDQ-  he said .",nyt_eng_19960409_0677_7,8
nyt_eng_19960412_0619_2:8,discard,quite_right,quite,right,"The first time , it was never quite right after he won not only a gold medal at the 1976 Olympics but the Val Barker Award as the outstanding boxer in the world 's greatest amateur tournament , one that included Sugar Ray Leonard , Leo Randolph and the Spinks brothers , Michael and Leon .",nyt_eng_19960412_0619_2,8
nyt_eng_19960412_0619_2:8,keep,quite_right,quite,right,"The first time , it was never quite right after he won not only a gold medal at the 1976 Olympics but the Val Barker Award as the outstanding boxer in the world 's greatest amateur tournament , one that included Sugar Ray Leonard , Leo Randolph and the Spinks brothers , Michael and Leon .",nyt_eng_19960412_0619_2,8
nyt_eng_19960819_0572_6:8,discard,too_rich,too,rich,"And dahling , you can never be too rich or too thin .  -RDQ-",nyt_eng_19960819_0572_6,8
nyt_eng_19960819_0572_6:8,keep,too_rich,too,rich,"And dahling , you can never be too rich or too thin .  -RDQ-",nyt_eng_19960819_0572_6,8
nyt_eng_19970916_0813_28:13,discard,as_charismatic,as,charismatic,"-LBQ-  I told him , ` Steve , I 'll never be as charismatic as you are and you 'll never be as good of an operating manager as I am ,  -RDQ-  ' Amelio told a high-tech Internet radio talk show this past Saturday .",nyt_eng_19970916_0813_28,13
nyt_eng_19970916_0813_28:13,keep,as_charismatic,as,charismatic,"-LBQ-  I told him , ` Steve , I 'll never be as charismatic as you are and you 'll never be as good of an operating manager as I am ,  -RDQ-  ' Amelio told a high-tech Internet radio talk show this past Saturday .",nyt_eng_19970916_0813_28,13
nyt_eng_19971015_0648_10:11,discard,only_unhappy,only,unhappy,"Never one to overlook the small things , Starck was only unhappy that the soaps in the bathrooms were too generic-looking .",nyt_eng_19971015_0648_10,11
nyt_eng_19971015_0648_10:11,keep,only_unhappy,only,unhappy,"Never one to overlook the small things , Starck was only unhappy that the soaps in the bathrooms were too generic-looking .",nyt_eng_19971015_0648_10,11
nyt_eng_19971028_0377_1:4,discard,completely_quiet,completely,quiet,"It 's never completely quiet , never completely dark in the prison infirmary .",nyt_eng_19971028_0377_1,4
nyt_eng_19971028_0377_1:4,keep,completely_quiet,completely,quiet,"It 's never completely quiet , never completely dark in the prison infirmary .",nyt_eng_19971028_0377_1,4
nyt_eng_19971220_0233_36:27,discard,really_sick,really,sick,"There still is no firm decision on who will go on the injured list to replace Dee Brown , who is fine -LRB- he never was really sick -RRB- and able to be activated tonight .",nyt_eng_19971220_0233_36,27
nyt_eng_19971220_0233_36:27,keep,really_sick,really,sick,"There still is no firm decision on who will go on the injured list to replace Dee Brown , who is fine -LRB- he never was really sick -RRB- and able to be activated tonight .",nyt_eng_19971220_0233_36,27
nyt_eng_19980212_0250_34:23,discard,as_busy,as,busy,"The winner of an Oscar for her role in the 1977 film  -LBQ-  Julia ,  -RDQ-  she said she has never been as busy , including appearing in the action film  -LBQ-  Mission Impossible  -RDQ-  and the upcoming sci-fi thriller  -LBQ-  Deep Impact ,  -RDQ-  as well as the recent television mini-series  -LBQ-  Bella Maria .  -RDQ-",nyt_eng_19980212_0250_34,23
nyt_eng_19980212_0250_34:23,keep,as_busy,as,busy,"The winner of an Oscar for her role in the 1977 film  -LBQ-  Julia ,  -RDQ-  she said she has never been as busy , including appearing in the action film  -LBQ-  Mission Impossible  -RDQ-  and the upcoming sci-fi thriller  -LBQ-  Deep Impact ,  -RDQ-  as well as the recent television mini-series  -LBQ-  Bella Maria .  -RDQ-",nyt_eng_19980212_0250_34,23
