hit_id,category,colloc,adv,adj,sent_text,sent_id,adv_index,json_source,prev_sent,next_sent
nyt_eng_19960906_0572_3:11,neg-ext-subj,as_dilapidated,as,dilapidated,"And not one of the three Americans in 1992 was as dilapidated as top-seeded Pete Sampras , destined for a final-round clash with Andre Agassi , is this year .",nyt_eng_19960906_0572_3,11,nyt_eng_199609,"The bad news is that the last time the host country sent three of its own to the final four , the solitary foreigner , Stefan Edberg , won the 1992 title .","While Agassi and Brad Gilbert , his coach with the copycat goatee , drew a crowd on the practice courts here Friday , Sampras was in seclusion recharging his batteries in his Long Island hotel suite ."
nyt_eng_19971226_0232_12:23,neg-ext-subj,as_funny,as,funny,The film has more pratfalls than a Saturday morning 's worth of  -LBQ-  Road Runner  -RDQ-  cartoons _ and not one is as funny .,nyt_eng_19971226_0232_12,23,nyt_eng_199712,If there are any possibilities _ such as Waldo 's installation of a magnifying windshield for Magoo 's car _ they dry up pretty quickly .,"Since a film like  -LBQ-  Mr. Magoo  -RDQ-  relies _ literally and figuratively _ on sight gags , they ought to be hilarious and razor-sharp ."
nyt_eng_19941024_0384_27:9,neg-ext-subj,entirely_new,entirely,new,"Not one of the trends now visible is entirely new , but all are reaching levels that make them harder to ignore .",nyt_eng_19941024_0384_27,9,nyt_eng_199410,"But Summers , Lindsey and other senior officials made clear that they were expressing views based on economic theory , and they did not try to make any specific interest rate forecasts .","According to the International Monetary Fund , for instance , companies and individuals in industrial countries have reduced their savings over the last five years , to 19.4 percent of economic output from 21.4 percent ."
nyt_eng_19970617_0819_5:15,neg-ext-subj,even_close,even,close,"All three have some strengths , but not one of the supporting players is even close to being as valuable and as versatile as the switch-hitting Williams .",nyt_eng_19970617_0819_5,15,nyt_eng_199706,"Manager Joe Torre will juggle Chad Curtis , Mark Whiten and Scott Pose in center field .","-LBQ-  I do n't want to take any chances ,  -RDQ-  General Manager Bob Watson said ."
nyt_eng_19970809_0157_7:35,neg-ext-subj,pleasingly_impetuous,pleasingly,impetuous,"The grilse I took had seized a Blue Charm , which was tied sparsely in low-water style , on my second cast a half-hour before , but not one of its brethren was so pleasingly impetuous .",nyt_eng_19970809_0157_7,35,nyt_eng_199708,I had already caught and kept a 4-pound grilse _ a young salmon that returns to its natal stream to spawn after only one year at sea _ and was entitled to one more .,"Time and again , Gerry said , one of them would show some signs of interest when my fly swept past , rising a bit from the bottom or following the fly for a short distance , but would decline the gambit at the last instant ."
nyt_eng_19990228_0170_33:4,neg-ext-subj,as_creative,as,creative,"Not one is as creative as Cassell as a playmaker , which results in the need for a more disciplined halfcourt attack .",nyt_eng_19990228_0170_33,4,nyt_eng_199902,"That is not the case with Cassell 's backup , Eric Murdock , or for Kittles and Kendall Gill , who have also played point guard this year .",But Calipari has refused to adjust .
nyt_eng_19950512_0459_17:6,neg-ext-subj,completely_ready,completely,ready,Not one of them is completely ready for the NBA .,nyt_eng_19950512_0459_17,6,nyt_eng_199505,"_ Speaking of young punks , the NBA has a boatload of them headed its way in the upcoming draft .",I 'm talking about the 13 college underclassmen who have declared themselves eligible for the NBA draft .
nyt_eng_19950512_0282_11:18,neg-ext-subj,as_interesting,as,interesting,"Our heroes are refugees from every air - plane-in-peril drama ever made , and not one is as interesting as , say , Glo - ria Swanson or Helen Reddy -LRB- who played a singing nun -RRB- in  -LBQ-  Airport 1975 .  -RDQ-",nyt_eng_19950512_0282_11,18,nyt_eng_199505,"On a crowded red-eye flight from -------------------- LA to Boston , 10 passengers sud - denly awake to find themselves L alone , with bridgework and Jackie Collins paperbacks the only rem - nants of their fellow passengers .",Patricia Wettig -LRB- Nancy from L  -LBQ-  thirtysomething  -RDQ-  -RRB- is a pert school-H teacher whose hair could use a body perm .
nyt_eng_19981218_0317_9:22,neg-ext-subj,entirely_satisfactory,entirely,satisfactory,"To this day , 243 years after Samuel Johnson brought out the first popularly successful English-language dictionary , not one is entirely satisfactory .",nyt_eng_19981218_0317_9,22,nyt_eng_199812,For no single dictionary is sufficient .,The best is the Oxford English Dictionary _ a huge multivolume tome _ but it has two strikes against it .
nyt_eng_19981209_0001_31:18,neg-ext-subj,as_treacherous,as,treacherous,"From there , Taylor 's options get riskier -LRB- not one of them , however , is as treacherous as doing nothing -RRB- .",nyt_eng_19981209_0001_31,18,nyt_eng_199812,"A relatively youthful 30 , Fleury figures to have plenty of mileage left in those tree-trunk legs of his .","If it 's an exciting scorer with a lot of baggage that he wants , he can buzz Vancouver and battle it out with the New York Rangers for the services of Pavel Bure ."
nyt_eng_19981207_0473_31:4,neg-ext-subj,remotely_true,remotely,true,Not one is remotely true .,nyt_eng_19981207_0473_31,4,nyt_eng_199812,"Fascinating details , except for one thing .",Do n't misunderstand .
nyt_eng_19971126_0558_5:36,neg-ext-subj,as_effective,as,effective,"To save the evergreens , we have tried every low-tech repellent in the book , including human hair , soap , hot pepper and garlic , but not one of these household items has been as effective as a spray-on product called Chew-Not , which is sold at most garden supply stores .",nyt_eng_19971126_0558_5,36,nyt_eng_199711,"A. Deer are a constant threat to my family 's garden too , even though we always have roast venison at Thanksgiving .","It is easy to use and lasts all winter , but has one major disadvantage _ it dries as a whitish film ."
nyt_eng_19980305_0131_25:37,neg-ext-subj,entirely_accurate,entirely,accurate,"As Loftus writes in her book ,  -LBQ-  The Myth of Repressed Memory  -RDQ-   -COL-   -LBQ-  While most students described their 2 1\/2 - year-old memories as ` vivid , ' not one of the memories was entirely accurate and over a third were , in Neisser 's words , ` wildly inaccurate .  -RDQ-  '",nyt_eng_19980305_0131_25,37,nyt_eng_199803,"One version was written right after the disaster , another more than two years later .","Yet , when confronted with their original versions , the students were  -LBQ-  astonished  -RDQ-  and  -LBQ-  could not believe that their revised memories were mistaken .  -RDQ-"
nyt_eng_19950121_0060_36:24,neg-ext-subj,as_consistent,as,consistent,"The Big Three of Glenn Robinson , Grant Hill and Jason Kidd have all had their moments , but not one has been as consistent as Sacramento rookie Brian Grant , the best-value pick -LRB- at No. 8 -RRB- of the draft .",nyt_eng_19950121_0060_36,24,nyt_eng_199501,"In fact , Willis currently ranks 75th among power forwards and centers in the league in rejections .","-LBQ-  I keep hearing how ` Glenn Robinson 's not doing this , and Hill 's not doing that ,  -RDQ-  ' said Kings coach Garry St. Jean ."
nyt_eng_19941128_0301_36:8,neg-ext-subj,exactly_steady,exactly,steady,"But not one of those teams is exactly steady , and anything can happen .",nyt_eng_19941128_0301_36,8,nyt_eng_199411,Right now there are so many playoff scenarios and possibilities just in that bunch it makes the head spin .,"Then there is the other batch of teams that is falling apart , teams such as Minnesota and Philadelphia that are moving backward instead of forward ."
nyt_eng_19961010_0637_12:13,neg-ext-subj,as_simple,as,simple,Not one of the outfits he sent down the runway Thursday was as simple as he would have it sound .,nyt_eng_19961010_0637_12,13,nyt_eng_199610,But Lacroix understated the case .,"Touches of the 1980s are returning in Paris ; for Lacroix , the decade never left ."
nyt_eng_19950302_0040_48:7,neg-ext-subj,around_long,around,long,Not one of those pieces was around long enough to be hung on our walls .,nyt_eng_19950302_0040_48,7,nyt_eng_199503,"We gulped , but we ordered 24 of them anyway , 8 or 9 percent of the run .","Now they 're selling for $ 6,000 to $ 7,000 .  -RDQ-"
