hit_id,context_group,colloc,adv,adj,sent_text,sent_id,adv_index,json_source,prev_sent,next_sent,corpus_segment,corpus,date,polarity,context,context_word,context_type,in_basic,line_in_source,year,context_overlap
nyt_eng_19961030_0264_19:7,outdated_input_file,so_seamless,so,seamless,The man and the message are so seamless that Millner 's hopes depend on changing the public 's view of Cleland from hero to hack .,nyt_eng_19961030_0264_19,7,,,,nyt_eng_19961030,Nyt1,1996-10-30,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,251490,1996,False
nyt_eng_19961023_0660_4:7,neg-ext-nonsubj,so_sensitive,so,sensitive,"-LBQ-  He may not be quite so sensitive to the pressure that paying monthly bills puts on people ,  -RDQ-  said Weld .",nyt_eng_19961023_0660_4,7,nyt_eng_199610,"Weld repeatedly sought to tie Kerry 's unusual housing arrangements to his support for some tax increases and , to Weld 's mind , insensitivity to daily financial pressures that middle-class families face .","-LBQ-  This is a man who has free housing , free cars , free utilities , and he voted to raises the tax on working people .  -RDQ-",nyt_eng_19961023,Nyt1,1996-10-23,negative,not_VP-adv,not,VP-adv,True,35666,1996,False
nyt_eng_20050826_0199_8:11,neg-ext-nonsubj,so_serious,so,serious,"-LBQ-  It would have been funny if it were n't so serious ,  -RDQ-  Mundy said Friday of the commission 's rushed handling of the controversial proposed sale of land to John Poindexter , a wealthy rancher and businessman from Houston .",nyt_eng_20050826_0199_8,11,nyt_eng_200508,"The commission said it had considered the sale to raise money so it could buy pockets of private land within the park 's borders , giving Texans better access to the southern regions of the park .","-LBQ-  If they had voted to do it , it would have raised questions .",nyt_eng_20050826,Nyt2,2005-08-26,negative,not_VP-adv,not,VP-adv,False,86547,2005,False
apw_eng_20040501_0010_5:6,neg-ext-nonsubj,so_serious,so,serious,-LBQ-  His injury was n't so serious .,apw_eng_20040501_0010_5,6,apw_eng_200405,"-LBQ-  One grenade missed and landed on the ground , but the second one landed in an American 's vehicle and injured one of the soldiers ,  -RDQ-  Baz said .","Just his hand was hurt ,  -RDQ-  Baz said .",apw_eng_20040501,Apw,2004-05-01,negative,not_VP-adv,not,VP-adv,False,35160,2004,False
nyt_eng_20010410_0126_13:21,neg-ext-nonsubj,so_severe,so,severe,"They are , however , still working on prototypes for powering buses , where size and weight limitations are not so severe and where fueling depots solve the infrastructure issue .",nyt_eng_20010410_0126_13,21,nyt_eng_200104,"But developing fuel cells with enough power and low enough weight to power ordinary passenger cars proved too daunting , as did the lack of a refueling infrastructure for the new vehicles , so the company switched to the smaller units for portable electronics .","-LBQ-  People have been saying fuel cells will be available in 10 years ,  -RDQ-  Wurtman said , and for many applications ,  -LBQ-  that statement will be true for another 10 years .  -RDQ-",nyt_eng_20010410,Nyt2,2001-04-10,negative,not_VP-adv,not,VP-adv,False,85535,2001,False
nyt_eng_19971117_0805_33:17,neg-ext-nonsubj,so_severe,so,severe,"The Senate carried over Hormel 's nomination automatically _ a sign that his problems are not so severe as those of Lee , the civil rights nominee .",nyt_eng_19971117_0805_33,17,nyt_eng_199711,"When the Senate declines to act on a nomination at the end of a session , it has the option to carry it over into the next session for automatic consideration or else to require the president to renominate the candidate formally .",,nyt_eng_19971117,Nyt1,1997-11-17,negative,not_VP-adv,not,VP-adv,True,23909,1997,False
nyt_eng_20060207_0008_28:12,neg-ext-nonsubj,so_sharp,so,sharp,"If the cut of jackets in blown-up houndstooth had not been so sharp , if tartan pencil skirts had been less flattering , all that pattern would have suggested an anxiety attack .",nyt_eng_20060207_0008_28,12,nyt_eng_200602,"Yet on Sunday in the tents at Bryant Park the idea provided von Furstenberg with her most believable theme in years , as she and her chief assistant , Nathan Jenden , who will present his own show this week , tucked into the elements of a modern wardrobe .","von Furstenberg made black watch plaid -- out of fashion except among Connecticut Yankees -- seem whimsical , and more natural to an American designer than in seasons when she reduced the world 's supply of sequins .",nyt_eng_20060207,Nyt2,2006-02-07,negative,not_VP-adv,not,VP-adv,False,10465,2006,False
nyt_eng_19941224_0076_3:5,outdated_input_file,so_silent,so,silent,"-LBQ-  His points are so silent , but so effective ,  -RDQ-  New Jersey Nets coach Butch Beard said .",nyt_eng_19941224_0076_3,5,,,,nyt_eng_19941224,Nyt1,1994-12-24,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,38453,1994,False
nyt_eng_19970904_0941_35:5,neg-ext-subj,so_simple,so,simple,But nothing is ever so simple in Russia these days .,nyt_eng_19970904_0941_35,5,nyt_eng_199709,"president last year , it looked as if Russia was finally about to roll out the red carpet for Western oil companies .","Instead of moving smartly ahead , several major new oil projects have been put on hold .",nyt_eng_19970904,Nyt1,1997-09-04,negative,nothing_subj-NP,nothing,subj-NP,False,339,1997,False
apw_eng_20070629_0550_8:4,neg-ext-nonsubj,so_simple,so,simple,What is n't so simple is overcoming tobacco industry untruths about smoke-free policies .  -RDQ-,apw_eng_20070629_0550_8,4,apw_eng_200706,One hundred percent smoke-free environments .,The developing world is now the tobacco industry 's main marketing target .,apw_eng_20070629,Apw,2007-06-29,negative,not_VP-adv,not,VP-adv,False,25862,2007,False
