hit_id,bigram_lower,adj_form_lower,all_forms_lower,adv_form_lower,text_window,token_str
pcc_eng_05_046.4634_x0735883_11:4-5-6,immediately_reachable,reachable,n't_immediately_reachable,immediately,Mr. Cherney was n't immediately reachable for comment .,Mr. Cherney was n't immediately reachable for comment .
pcc_eng_27_032.8962_x0515012_12:6-7-8,immediately_reachable,reachable,not_immediately_reachable,immediately,china's ministry of health was not immediately reachable for comment after the xinhua report,China's Ministry of Health was not immediately reachable for comment after the Xinhua report .
pcc_eng_05_083.3476_x1332698_5:4-5-6,immediately_reachable,reachable,not_immediately_reachable,immediately,The company was not immediately reachable for comment .,The company was not immediately reachable for comment .
pcc_eng_20_037.8346_x0595457_13:08-09-10,immediately_reachable,reachable,not_immediately_reachable,immediately,"it became clear that baghdad was not immediately reachable , the overall commander , general","After it became clear that Baghdad was not immediately reachable , the overall commander , General Nixon , ordered Major-General Townshend , Commanding the 6th Indian Division , to hold out at Kut ."
pcc_eng_23_088.3073_x1410953_5:4-5-6,immediately_reachable,reachable,not_immediately_reachable,immediately,Diageo officials were not immediately reachable .,Diageo officials were not immediately reachable .
pcc_eng_11_083.1162_x1329074_10:17-18-19,immediately_reachable,reachable,not_immediately_reachable,immediately,"its other lead investor , was not immediately reachable for comment .","Soft Bank also declined to comment , while Tiger , its other lead investor , was not immediately reachable for comment ."
pcc_eng_26_040.5565_x0639587_11:12-13-14,immediately_reachable,reachable,not_immediately_reachable,immediately,"by frank palazzolo , who was not immediately reachable for comment .","Semper Fi Management is headed by Frank Palazzolo , who was not immediately reachable for comment ."
pcc_eng_27_028.7447_x0448039_14:5-6-7,immediately_reachable,reachable,not_immediately_reachable,immediately,Brown administration officials were not immediately reachable for comment .,Brown administration officials were not immediately reachable for comment .
pcc_eng_12_066.5758_x1059785_16:4-5-6,immediately_reachable,reachable,not_immediately_reachable,immediately,"blizzard entertainment was not immediately reachable for comment , though its customer","Blizzard Entertainment was not immediately reachable for comment , though its customer support Twitter account said the company 's servers were stabilizing ."
pcc_eng_11_013.5269_x0202455_11:6-7-8,immediately_reachable,reachable,not_immediately_reachable,immediately,the taliban 's spokesman was not immediately reachable to comment on the latest attack,The Taliban 's spokesman was not immediately reachable to comment on the latest attack .
pcc_eng_02_004.3801_x0054547_4:5-6-7,immediately_reachable,reachable,not_immediately_reachable,immediately,A Fairfax spokesman was not immediately reachable for a comment .,A Fairfax spokesman was not immediately reachable for a comment .
pcc_eng_07_017.6275_x0269016_24:5-6-7,immediately_reachable,reachable,not_immediately_reachable,immediately,a snapdeal spokeswoman was not immediately reachable for comment on the founders ',A Snapdeal spokeswoman was not immediately reachable for comment on the founders ' plans .
pcc_eng_16_056.5559_x0899171_14:3-4-5,immediately_reachable,reachable,not_immediately_reachable,immediately,Huawei was not immediately reachable for further comment .,Huawei was not immediately reachable for further comment .
pcc_eng_19_072.1259_x1148812_07:4-5-6,immediately_reachable,reachable,not_immediately_reachable,immediately,Algerian officials were not immediately reachable for comment .,Algerian officials were not immediately reachable for comment .
pcc_eng_24_035.0110_x0550090_11:3-4-5,immediately_reachable,reachable,not_immediately_reachable,immediately,Apple was not immediately reachable for comment .,Apple was not immediately reachable for comment .
pcc_eng_27_064.5853_x1027896_12:3-4-5,immediately_reachable,reachable,not_immediately_reachable,immediately,lugovoy was not immediately reachable for comment as his mobile phone,Lugovoy was not immediately reachable for comment as his mobile phone was switched off .
pcc_eng_11_012.1120_x0179638_09:4-5-6,immediately_reachable,reachable,not_immediately_reachable,immediately,The club was not immediately reachable for comment .,The club was not immediately reachable for comment .
pcc_eng_00_010.8203_x0158433_24:3-4-5,immediately_reachable,reachable,not_immediately_reachable,immediately,He was not immediately reachable for comment .,He was not immediately reachable for comment .
pcc_eng_28_013.3710_x0200419_5:09-10-11,immediately_reachable,reachable,not_immediately_reachable,immediately,attorney 's office in manhattan was not immediately reachable for comment .,The U.S. Attorney 's Office in Manhattan was not immediately reachable for comment .
pcc_eng_22_059.9128_x0952367_17:4-5-6,immediately_reachable,reachable,not_immediately_reachable,immediately,"mr. roberts was not immediately reachable for comment , though he posted","Mr. Roberts was not immediately reachable for comment , though he posted to Twitter : "" Yes , I 'll be leaving@Reuters , though not right away ."
