key,f,dP1,LRC,P1,G2,l1,l2,f1,f2,N,exp_f,unexp_f,unexp_r,odds_r_disc,t,MI,dP2,P2,deltaP_max,deltaP_mean,dataset
[_direct_] inherently~evil,392,0.12232432,6.2625914,0.12362031,2829.189635,inherently,evil,8614,3171,6347362,4.3033616,387.6966384,0.989022,2.0366821,19.581636,1.9594783,0.045068897,0.04550731,0.12232432,0.08369661,direct
[_direct_] inherently~wrong,1678,0.077564746,5.772353,0.078661166,10797.340958,inherently,wrong,8614,21332,6347362,28.9496405,1649.0503595,0.98274755,1.8909738,40.25668,1.7631488,0.19169855,0.19479917,0.19169855,0.13463165,direct
[_mirror_] inherently~wrong,1571,0.18161297,5.0873513,0.18469316,9012.223895,inherently,wrong,3342,8506,583470,48.72067642211914,1522.279296875,0.96898746,1.8651967,38.406635,1.5084629,0.45812353,0.47007778,0.45812353,0.31986827,mirror
[_direct_] inherently~racist,67,0.040293887,3.9121826,0.04164077,332.287204,inherently,racist,8614,1609,6347362,2.1835726,64.8164274,0.9674094,1.5111374,7.9185867,1.4869071,0.00753477,0.007778036,0.040293887,0.023914328,direct
[_direct_] inherently~flawed,61,0.03725977,3.7406487,0.038607594,293.383482,inherently,flawed,8614,1580,6347362,2.1442168,58.8557832,0.9648489,1.47693,7.535711,1.4540612,0.006841858,0.007081495,0.03725977,0.022050815,direct
[_mirror_] inherently~evil,64,0.12798896,3.6434462,0.1336117,290.014113,inherently,evil,3342,479,583470,2.7436165809631348,61.25638198852539,0.95713097,1.4385269,7.6570477,1.3678565,0.01843485,0.019150209,0.12798896,0.07321191,mirror
[_direct_] inherently~problematic,72,0.026647478,3.3673906,0.02799378,301.207147,inherently,problematic,8614,2572,6347362,3.4904592,68.5095408,0.9515214,1.3325584,8.073927,1.3144499,0.007964087,0.008358486,0.026647478,0.017305782,direct
[_direct_] inherently~negative,87,0.019174578,3.0150082,0.020518867,312.430668,inherently,negative,8614,4240,6347362,5.7541007,81.2458993,0.9338609,1.194491,8.710475,1.1795418,0.0094446605,0.010099838,0.019174578,0.014309619,direct
[_direct_] inherently~dangerous,277,0.013696262,2.9912283,0.01501355,838.609588,inherently,dangerous,8614,18450,6347362,25.0384806,251.9615194,0.90960836,1.0635452,15.138901,1.0438718,0.029289983,0.032156955,0.029289983,0.021493124,direct
[_direct_] inherently~illegal,60,0.0154113695,2.5027921,0.016759777,192.56201,inherently,illegal,8614,3580,6347362,4.8584152,55.141584800000004,0.91902643,1.1047187,7.118748,1.0916566,0.0064100903,0.0069654053,0.0154113695,0.01091073,direct
