hit_id,adv_form_lower,adj_form_lower,bigram_lower,neg_form_lower,all_forms_lower,text_window,token_str
pcc_eng_10_024.0921_x0373015_095:12-13-14,necessarily,representative,necessarily_representative,n't,n't_necessarily_representative,", that the sample data were n't necessarily representative of all college students .","He says , for instance , that the sample data were n't necessarily representative of all college students ."
pcc_eng_26_004.5340_x0056996_064:25-26-27,necessarily,representative,necessarily_representative,n't,n't_necessarily_representative,"is low enough that this is n't necessarily representative of his skill set , and","His effectiveness as a shooter off the dribble was n't quite as good , but the sample size is low enough that this is n't necessarily representative of his skill set , and he could see big improvement going forward as he gets more opportunity , as the form is there ."
pcc_eng_22_086.2539_x1378067_29:6-7-8,necessarily,representative,necessarily_representative,n't,n't_necessarily_representative,because a ) pictures are n't necessarily representative of how a girl looks in,Because A ) pictures are n't necessarily representative of how a girl looks in person and B ) there 's a chemistry element that you ca n't quantify beforehand .
pcc_eng_18_091.1747_x1460279_08:10-11-12,necessarily,representative,necessarily_representative,n't,n't_necessarily_representative,page are stock photos and are n't necessarily representative of the final products .,Illustrations on this page are stock photos and are n't necessarily representative of the final products .
pcc_eng_19_016.5679_x0251117_10:33-34-35,necessarily,representative,necessarily_representative,n't,n't_necessarily_representative,"to world war i , is n't necessarily representative of the album as a whole","Although the album 's first single "" This Ain't A Scene , It 's An Arms Race , "" with its militant musical underpinnings and references to World War I , is n't necessarily representative of the album as a whole , it does illustrate a band finally content to be who they are -themselves ."
pcc_eng_26_035.2182_x0553102_19:39-40-41,necessarily,representative,necessarily_representative,n't,n't_necessarily_representative,note that the cpac crowd is n't necessarily representative of the party as a whole,"MAHTESIAN : Well , provided some useful insight into Senator Paul 's popularity and also into the direction of the party in going forward , but I think it 's important to note that the CPAC crowd is n't necessarily representative of the party as a whole ."
pcc_eng_val_1.6651_x10787_07:09-10-11,necessarily,representative,necessarily_representative,n't,n't_necessarily_representative,disclaim that these success stories are n't necessarily representative of the environment awaiting heavily indebted,They also disclaim that these success stories are n't necessarily representative of the environment awaiting heavily indebted and poorly trained law school graduates .
pcc_eng_18_085.3677_x1366028_165:25-26-27,necessarily,representative,necessarily_representative,n't,n't_necessarily_representative,accelerando tales that stross maintains is n't necessarily representative of the larger body of his,"I came at Stross initially on Michael Swanwick 's recommendation , like so many of us with the Accelerando tales that Stross maintains is n't necessarily representative of the larger body of his work ."
pcc_eng_23_037.2876_x0586298_66:16-17-18,necessarily,representative,necessarily_representative,n't,n't_necessarily_representative,couple of thousand people who are n't necessarily representative of wider trends .,These usually focus on a batch containing just a couple of thousand people who are n't necessarily representative of wider trends .
pcc_eng_22_087.6802_x1401198_22:6-7-8,necessarily,representative,necessarily_representative,n't,n't_necessarily_representative,the crowd at coachella is n't necessarily representative of the greater united states .,The crowd at Coachella is n't necessarily representative of the greater United States .
pcc_eng_07_059.7392_x0949465_10:14-15-16,necessarily,representative,necessarily_representative,n't,n't_necessarily_representative,""" of tv and film is n't necessarily representative of the true 1980s .","Of course , the "" ' 80s "" of TV and film is n't necessarily representative of the true 1980s ."
pcc_eng_00_036.5375_x0574066_03:7-8-9,necessarily,representative,necessarily_representative,n't,n't_necessarily_representative,"the data , though , is n't necessarily representative of just eugene , and that","The data , though , is n't necessarily representative of just Eugene , and that , according to our local air agency , skews things a little ."
pcc_eng_00_008.6342_x0123248_079:30-31-32,necessarily,representative,necessarily_representative,n't,n't_necessarily_representative,"footage over and over that is n't necessarily representative of what really happened . ""","And I 'm looking forward to sitting on the porch . "" ) , his wife ( "" a lot of the same footage over and over that is n't necessarily representative of what really happened . "" ) , his mother ( "" these people were underprivileged anyway , so this is working out well for them . "" - chuckling slightly ) , his FEMA chief ( "" I am going to fix a stiff martini and think about that . "" ) , his cabinet and the whole machinery , built precisely to take care of American citizens in the wake of any disaster of this proportion - all will go into the annals of American politics and humanity as some of the most disgraceful moments ever ."
pcc_eng_19_076.6830_x1222654_19:17-18-19,necessarily,representative,necessarily_representative,n't,n't_necessarily_representative,involvement in the diy scene is n't necessarily representative of others .,"He also stresses that his experience , interest , and involvement in the DIY scene is n't necessarily representative of others ."
pcc_eng_07_053.5131_x0848795_147:23-24-25,necessarily,representative,necessarily_representative,n't,n't_necessarily_representative,"75,000 -- but that money was n't necessarily representative of a large audience .","At this point , Hargis ' Christian Crusade had grown to a monthly budget of $ 75,000 -- but that money was n't necessarily representative of a large audience ."
pcc_eng_18_006.8789_x0095227_027:64-65-66,necessarily,representative,necessarily_representative,not,not_necessarily_representative,particularly as the tsr population is not necessarily representative .,"All of which is another way of saying - you can get an overall sense of your chances of success from the statistics Cambridge publishes , but once we get down to fee status , college , or subject ( or any combination of these ! ) it is truly impossible to give you any idea - particularly as the TSR population is not necessarily representative ."
pcc_eng_03_009.9521_x0144759_35:09-10-11,necessarily,representative,necessarily_representative,not,not_necessarily_representative,apparent reaction at that meeting was not necessarily representative of any sort of consensus among,So the apparent reaction at that meeting was not necessarily representative of any sort of consensus among Wilkinsburg residents .
pcc_eng_07_103.6375_x1659024_75:16-17-18,necessarily,representative,necessarily_representative,not,not_necessarily_representative,"element of the war , though not necessarily representative of popular opinion .","Hochschild 's book on dissent shows an often overlooked element of the war , though not necessarily representative of popular opinion ."
pcc_eng_07_102.4034_x1639014_044:21-22-23,necessarily,representative,necessarily_representative,not,not_necessarily_representative,opinions rendered are my own and not necessarily representative of their position .,"I post with the full knowledge and support of my employer , though the opinions rendered are my own and not necessarily representative of their position ."
pcc_eng_04_104.5515_x1672801_17:19-20-21,necessarily,representative,necessarily_representative,not,not_necessarily_representative,species and notice how these are not necessarily representative of reality but were learned behaviors,Look at all the beliefs we amass that divide us as a species and notice how these are not necessarily representative of reality but were learned behaviors that further perpetuated the destructive cycles in human behavior that we see today .
pcc_eng_29_085.9236_x1371750_35:35-36-37,necessarily,representative,necessarily_representative,not,not_necessarily_representative,", and thus the average is not necessarily representative of all potential test-takers fromthat language","In such a case , one should not include very small groups in such a comparison , since the individual test-taker has a disproportionate influence on the average , and thus the average is not necessarily representative of all potential test-takers fromthat language ."
pcc_eng_25_036.4166_x0573338_24:15-16-17,necessarily,representative,necessarily_representative,not,not_necessarily_representative,contain clouds for effect but are not necessarily representative of the weather usually found here,I think pictures taken of the area usually contain clouds for effect but are not necessarily representative of the weather usually found here .
pcc_eng_03_081.9575_x1311026_65:24-25-26,necessarily,representative,necessarily_representative,not,not_necessarily_representative,experiences of this one family are not necessarily representative of the planting endeavours of 17th,"While Amussen is to be praised for her insightful analysis of the Helyar papers , the particular experiences of this one family are not necessarily representative of the planting endeavours of 17th - century English settlers in Jamaica and Barbados - she might have examined the published papers of the Blakes , Irish Catholic planters in Barbados , or those of the Lascelles , whose archive has been so successfully mined by Simon Smith and James Walvin ."
pcc_eng_04_049.4853_x0783531_092:18-19-20,necessarily,representative,necessarily_representative,not,not_necessarily_representative,"were limited , very expensive and not necessarily representative of the end performance ( due","Just 5 years ago , my options for prototyping a concept were limited , very expensive and not necessarily representative of the end performance ( due to lack of material choices or properties inherent to the prototyping process ) ."
pcc_eng_10_029.0441_x0453305_007:55-56-57,necessarily,representative,necessarily_representative,not,not_necessarily_representative,the individuals featured in them were not necessarily representative of the wider clerical milieu .,"They often failed to take due account of the fact that the court records they used -- whether from the papal curia , diocesan curiae or secular courts -- by their very nature were focused on the delinquent or criminal ( or allegedly so ) , and that the individuals featured in them were not necessarily representative of the wider clerical milieu ."
pcc_eng_13_004.1910_x0051457_12:10-11-12,necessarily,representative,necessarily_representative,not,not_necessarily_representative,by one of our volunteers is not necessarily representative of the policies or practices of,Any opinion expressed by one of our volunteers is not necessarily representative of the policies or practices of the society as a whole .
pcc_eng_06_021.4885_x0331464_86:22-23-24,necessarily,representative,necessarily_representative,not,not_necessarily_representative,that of the author and is not necessarily representative of any association or organization with,"Although I should n't have to say it , any opinion expressed herein is solely that of the author and is not necessarily representative of any association or organization with which I may be affiliated or involved ."
