,category,colloc,adv,adj,sent_text,sent_id,adv_index,json_source,hit_id
nyt_eng_19940715_0252_24:9,unknown-polarity,so_busy,so,busy,"""The theory is that everybody in America is so busy watching television that they do n't have time to read , so the only way to let them know you 've got something more for them not to read is to go on the tube .""",nyt_eng_19940715_0252_24,9,nyt_eng_199407,nyt_eng_19940715_0252_24:9
nyt_eng_19940712_0299_8:12,unknown-polarity,acutely_aware,acutely,aware,"'Venus Williams is , as everybody in the tennis business is acutely aware , the most famous black tennis prodigy never to play an actual match .'",nyt_eng_19940712_0299_8,12,nyt_eng_199407,nyt_eng_19940712_0299_8:12
nyt_eng_19940709_0150_15:4,unknown-polarity,very_happy,very,happy,"""-LBQ-  Everybody 's very happy about the resolution of the controversies that plagued this family for some years ,  -RDQ-  Emery said .""",nyt_eng_19940709_0150_15,4,nyt_eng_199407,nyt_eng_19940709_0150_15:4
nyt_eng_19940702_0006_13:3,unknown-polarity,very_concerned,very,concerned,"'Everybody is very concerned about Gus at the zoo , which , by the way , is officially not a zoo anymore but the Central Park Wildlife Center .'",nyt_eng_19940702_0006_13,3,nyt_eng_199407,nyt_eng_19940702_0006_13:3
nyt_eng_19980520_0426_15:5,unknown-polarity,real_nice,real,nice,"""-LBQ-  Everybody 's been real nice ,  -RDQ-  Mrs. Patton said .""",nyt_eng_19980520_0426_15,5,nyt_eng_199805,nyt_eng_19980520_0426_15:5
nyt_eng_19980520_0007_35:4,unknown-polarity,real_excited,real,excited,"""-LBQ-  Everybody 's real excited , and I 'll try to keep them excited ,  -RDQ-  Saberhagen said .""",nyt_eng_19980520_0007_35,4,nyt_eng_199805,nyt_eng_19980520_0007_35:4
nyt_eng_19980515_0020_12:6,unknown-polarity,just_stunned,just,stunned,'-LBQ-  I think everybody was just stunned .',nyt_eng_19980515_0020_12,6,nyt_eng_199805,nyt_eng_19980515_0020_12:6
nyt_eng_19980513_0360_7:7,unknown-polarity,very_concerned,very,concerned,'-LBQ-  Everybody in the building is very concerned .  -RDQ-',nyt_eng_19980513_0360_7,7,nyt_eng_199805,nyt_eng_19980513_0360_7:7
nyt_eng_19980507_0403_7:26,unknown-polarity,highly_motivated,highly,motivated,"""-LBQ-  There was a lot of conflict in the team because everybody thinks they know the best way to build a car and everybody was highly motivated ,  -RDQ-  said Emmett Meyer , a New Orleans native who is the plant 's vice president of human resources .""",nyt_eng_19980507_0403_7,26,nyt_eng_199805,nyt_eng_19980507_0403_7:26
nyt_eng_19980505_0292_21:22,unknown-polarity,pretty_calm,pretty,calm,"'As rescuers arrived to help the injured and others , Waldrop said ,  -LBQ-  for the most part , everybody was pretty calm .  -RDQ-'",nyt_eng_19980505_0292_21,22,nyt_eng_199805,nyt_eng_19980505_0292_21:22
nyt_eng_19980503_0159_12:4,unknown-polarity,really_upset,really,upset,"""-LBQ-  Everybody 's really upset ,  -RDQ-  said Karl Eichelberger , a third-year law student and a leader for gay men and lesbians at Notre Dame and its sister institution , St. Mary 's College .""",nyt_eng_19980503_0159_12,4,nyt_eng_199805,nyt_eng_19980503_0159_12:4
nyt_eng_19980501_0083_27:4,unknown-polarity,very_upset,very,upset,"""-LBQ-  Everybody 's very upset .  -RDQ-""",nyt_eng_19980501_0083_27,4,nyt_eng_199805,nyt_eng_19980501_0083_27:4
