hit_id,colloc,sent_text,neg_form,adv_form,adj_form,text_window,sent_id,prev_sent,token_str,lemma_str,next_sent,neg_lemma,adv_lemma,adj_lemma,neg_index,adv_index,adj_index,dep_neg_source,dep_neg_target,dep_neg_relation,dep_mod_source,dep_mod_target,dep_mod_relation,json_source,match_ix,category
nyt_eng_19980524_0066_10:10-11-12,yet_clear,Part of the reason for caution is that it is not yet clear whether or what the government will win and how long it will take .,not,yet,clear,it is not yet clear whether or,nyt_eng_19980524_0066_10,Netscape shares fell 68.75 cents on the day the suits were filed .,part of the reason for caution is that it is not yet clear whether or what the government will win and how long it will take .,part of the reason for caution be that it be not yet clear whether or what the government will win and how long it will take .,"-LBQ-  The suit could take months , if not longer ,  -RDQ-  said Michael Parekh , an analyst at Goldman , Sachs .",not,yet,clear,10,11,12,"{'lemma': 'clear', 'ix': 12, 'xpos': 'JJ', 'deprel': 'ccomp', 'head': 'be'}","{'lemma': 'not', 'ix': 10, 'xpos': 'RB', 'deprel': 'neg', 'head': 'clear'}",neg,"{'lemma': 'clear', 'ix': 12, 'xpos': 'JJ', 'deprel': 'ccomp', 'head': 'be'}","{'lemma': 'yet', 'ix': 11, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'clear'}",advmod,nyt_eng_199805,10-11-12,immediateNeg
nyt_eng_19980524_0052_4:6-8-9,as_copious,"And while Slate 's coverage has not been as copious as MSNBC 's , it brings the same wry tone to its critiques of its parent company as it does to its coverage of the Clinton administration in general and the Justice Department in particular .",not,as,copious,coverage has not been as copious as MSNBC,nyt_eng_19980524_0052_4,"MSNBC devoted several segments to the case on Monday and Tuesday ; its Web site featured the antitrust issue as its lead report on Monday , though by Tuesday afternoon it had dropped deeper inside the Web site , leading the business page and not being featured on the home page .","and while Slate 's coverage has not been as copious as MSNBC 's , it brings the same wry tone to its critiques of its parent company as it does to its coverage of the Clinton administration in general and the Justice Department in particular .","and while Slate 's coverage has not be as copious as MSNBC 's , it bring the same wry tone to its critique of its parent company as it do to its coverage of the Clinton administration in general and the Justice Department in particular .","-LBQ-  In crafting its suit against Microsoft , the Justice Department made two smart public relations decisions and one serious blunder ,  -RDQ-  wrote William Saletan , a Microsoft contributor , in a piece posted Tuesday of last week , the day after the long-discussed and debated antitrust suit was filed .",not,as,copious,6,8,9,"{'lemma': 'copious', 'ix': 9, 'xpos': 'JJ', 'deprel': 'advcl', 'head': 'bring'}","{'lemma': 'not', 'ix': 6, 'xpos': 'RB', 'deprel': 'neg', 'head': 'copious'}",neg,"{'lemma': 'copious', 'ix': 9, 'xpos': 'JJ', 'deprel': 'advcl', 'head': 'bring'}","{'lemma': 'as', 'ix': 8, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'copious'}",advmod,nyt_eng_199805,6-8-9,immediateNeg
nyt_eng_19980524_0047_22:17-18-19,less_emotional,"A few nights later , at the Copacabana , something else entirely happened , and it was no less emotional .",no,less,emotional,it was no less emotional .,nyt_eng_19980524_0047_22,"When the singer realized who the man was , he jumped offstage and embraced him , kissing the top of his head with the sort of emotion associated with the reuniting of long-lost family members .","a few nights later , at the Copacabana , something else entirely happened , and it was no less emotional .","a few night later , at the Copacabana , something else entirely happen , and it be no less emotional .","By then , the band members had found acquaintances and family members whom they had n't seen in several decades , and they were ready to play some music .",no,less,emotional,17,18,19,"{'lemma': 'emotional', 'ix': 19, 'xpos': 'JJ', 'deprel': 'conj', 'head': 'happen'}","{'lemma': 'no', 'ix': 17, 'xpos': 'DT', 'deprel': 'dep', 'head': 'emotional'}",dep,"{'lemma': 'emotional', 'ix': 19, 'xpos': 'JJ', 'deprel': 'conj', 'head': 'happen'}","{'lemma': 'less', 'ix': 18, 'xpos': 'RBR', 'deprel': 'advmod', 'head': 'emotional'}",advmod,nyt_eng_199805,17-18-19,immediateNeg
nyt_eng_19980524_0043_10:3-4-5,uniformly_successful,The approach is not uniformly successful  -COL-  Some of the actors are more adept than others at this brand of energetic caricature .,not,uniformly,successful,approach is not uniformly successful : Some,nyt_eng_19980524_0043_10,"There is a piquant immediacy , a poignant freshness , in the actors ' portrayals that suits Brecht 's see-through characters .",the approach is not uniformly successful : Some of the actors are more adept than others at this brand of energetic caricature .,the approach be not uniformly successful : some of the actor be more adept than other at this brand of energetic caricature .,"But in a play that continually asks what is real and what is fake , there is also a genuine sense of ensemble .",not,uniformly,successful,3,4,5,"{'lemma': 'successful', 'ix': 5, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'not', 'ix': 3, 'xpos': 'RB', 'deprel': 'neg', 'head': 'successful'}",neg,"{'lemma': 'successful', 'ix': 5, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'uniformly', 'ix': 4, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'successful'}",advmod,nyt_eng_199805,3-4-5,immediateNeg
nyt_eng_19980524_0042_39:4-5-6,as_lucky,"-LBQ-  If you 're not as lucky or talented as they are , you 're going to have to spend money to advertise and publicize your product .",not,as,lucky,you 're not as lucky or talented,nyt_eng_19980524_0042_39,"-LBQ-  They came up with good ideas like the Virtual Pet Cemetery that people could connect with emotionally before anyone else and got a lot of traffic on word of mouth alone ,  -RDQ-  Ms. Joseph said .","`` If you 're not as lucky or talented as they are , you 're going to have to spend money to advertise and publicize your product .","`` if you be not as lucky or talented as they be , you 're go to have to spend money to advertise and publicize you product .",That can get very expensive .  -RDQ-,not,as,lucky,4,5,6,"{'lemma': 'lucky', 'ix': 6, 'xpos': 'JJ', 'deprel': 'advcl', 'head': 'go'}","{'lemma': 'not', 'ix': 4, 'xpos': 'RB', 'deprel': 'neg', 'head': 'lucky'}",neg,"{'lemma': 'lucky', 'ix': 6, 'xpos': 'JJ', 'deprel': 'advcl', 'head': 'go'}","{'lemma': 'as', 'ix': 5, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'lucky'}",advmod,nyt_eng_199805,4-5-6,immediateNeg
nyt_eng_19980524_0006_17:15-16-17,easily_visible,Some drivers have said the lights may have to undergo some modification because they 're not easily visible .,not,easily,visible,they 're not easily visible .,nyt_eng_19980524_0006_17,"-LBQ-  The lights flash like a railroad crossing signal ,  -RDQ-  said Glen Gray , head of the Delphi Delco Electronics Systems engineering team that developed the system .",some drivers have said the lights may have to undergo some modification because they 're not easily visible .,some driver have say the light may have to undergo some modification because they be not easily visible .,"-LBQ-  I like it ,  -RDQ-  pole-sitter Billy Boat said .",not,easily,visible,15,16,17,"{'lemma': 'visible', 'ix': 17, 'xpos': 'JJ', 'deprel': 'advcl', 'head': 'undergo'}","{'lemma': 'not', 'ix': 15, 'xpos': 'RB', 'deprel': 'neg', 'head': 'visible'}",neg,"{'lemma': 'visible', 'ix': 17, 'xpos': 'JJ', 'deprel': 'advcl', 'head': 'undergo'}","{'lemma': 'easily', 'ix': 16, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'visible'}",advmod,nyt_eng_199805,15-16-17,immediateNeg
nyt_eng_19980524_0003_8:8-9-10,that_worried,When you 're batting eighth the pitchers are n't that worried about what you do .,n't,that,worried,pitchers are n't that worried about what,nyt_eng_19980524_0003_8,-LBQ-  You see more fastballs and you get better pitches to hit .,when you 're batting eighth the pitchers are n't that worried about what you do .,when you be batting eighth the pitcher be not that worried about what you do .,"When Gary Sheffield is coming up next , they definitely do n't want you on base .  -RDQ-",n't,that,worried,8,9,10,"{'lemma': 'worried', 'ix': 10, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'not', 'ix': 8, 'xpos': 'RB', 'deprel': 'neg', 'head': 'worried'}",neg,"{'lemma': 'worried', 'ix': 10, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'that', 'ix': 9, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'worried'}",advmod,nyt_eng_199805,8-9-10,immediateNeg
nyt_eng_19980523_0289_16:9-12-13,too_frustrated,"I get a little frustrated , but I try not to get too frustrated because I know that will hurt you even more .  -RDQ-",not,too,frustrated,I try not to get too frustrated because I,nyt_eng_19980523_0289_16,"-LBQ-  I 've been getting pretty decent shots ,  -RDQ-  Van Exel said ,  -LBQ-  and shots have just been going in and out ...","i get a little frustrated , but I try not to get too frustrated because I know that will hurt you even more . ''","I get a little frustrated , but I try not to get too frustrated because I know that will hurt you even more . ''","History says the Lakers can not come back from the 0-3 deficit to win this best-of-seven series , and the downtrodden Lakers are n't even bothering to make wild proclamations about defying history .",not,too,frustrated,9,12,13,"{'lemma': 'frustrated', 'ix': 13, 'xpos': 'JJ', 'deprel': 'xcomp', 'head': 'try'}","{'lemma': 'not', 'ix': 9, 'xpos': 'RB', 'deprel': 'neg', 'head': 'frustrated'}",neg,"{'lemma': 'frustrated', 'ix': 13, 'xpos': 'JJ', 'deprel': 'xcomp', 'head': 'try'}","{'lemma': 'too', 'ix': 12, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'frustrated'}",advmod,nyt_eng_199805,9-12-13,immediateNeg
nyt_eng_19980523_0281_30:3-4-5,very_attentive,And we were n't very attentive -LRB- on defense -RRB- and left him open .  -RDQ-,n't,very,attentive,we were n't very attentive -LRB- on,nyt_eng_19980523_0281_30,"And a number of them were sequentially in the -LRB- fourth -RRB- period , when they were running some good offensive sets .",and we were n't very attentive -LRB- on defense -RRB- and left him open . '',and we be not very attentive -lrb- on defense -rrb- and leave he open . '',"Chicago had its chances , but missed foul shots _ six in the fourth quarter alone _ and poor defense doomed the Bulls .",n't,very,attentive,3,4,5,"{'lemma': 'attentive', 'ix': 5, 'xpos': 'JJ', 'deprel': 'root', 'head': ""''""}","{'lemma': 'not', 'ix': 3, 'xpos': 'RB', 'deprel': 'neg', 'head': 'attentive'}",neg,"{'lemma': 'attentive', 'ix': 5, 'xpos': 'JJ', 'deprel': 'root', 'head': ""''""}","{'lemma': 'very', 'ix': 4, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'attentive'}",advmod,nyt_eng_199805,3-4-5,immediateNeg
nyt_eng_19980523_0278_26:13-15-16,that_hard,But the notion of Watson cultivating a temporary distaste for the game is not all that hard to fathom .,not,that,hard,game is not all that hard to fathom,nyt_eng_19980523_0278_26,"He did n't name years , or tournaments , or weekends when he could n't hit a three-foot putt .",but the notion of Watson cultivating a temporary distaste for the game is not all that hard to fathom .,but the notion of Watson cultivate a temporary distaste for the game be not all that hard to fathom .,"Admittedly , we folks in the media did n't help .",not,that,hard,13,15,16,"{'lemma': 'hard', 'ix': 16, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'not', 'ix': 13, 'xpos': 'RB', 'deprel': 'neg', 'head': 'hard'}",neg,"{'lemma': 'hard', 'ix': 16, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'that', 'ix': 15, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'hard'}",advmod,nyt_eng_199805,13-15-16,immediateNeg
