hit_id,adv_form_lower,adj_form_lower,bigram_lower,neg_form_lower,all_forms_lower,text_window,token_str
pcc_eng_11_089.5964_x1434140_0859:29-30-31,any,easier,any_easier,ain't,ain't_any_easier,"truthfully , "" doc , it ain't any easier when you 're old . ""","With a small shake of his head , Aleksei patted the doctor 's shoulder and with a self- deprecating smile , stated truthfully , "" Doc , it ain't any easier when you 're old . """
pcc_eng_11_002.6197_x0026319_1545:17-18-19,any,easier,any_easier,n't,n't_any_easier,"goggles , and her age was n't any easier to figure out .","I could n't pinpoint her ethnicity with the mask and goggles , and her age was n't any easier to figure out ."
pcc_eng_03_093.5398_x1498394_17:4-6-7,any,easier,any_easier,n't,n't_any_easier,It just could n't be any easier .,It just could n't be any easier .
pcc_eng_08_059.1334_x0941393_5:6-8-9,any,easier,any_easier,n't,n't_any_easier,making money trading forex could n't be any easier or more convenient than this !,Making money trading Forex could n't be any easier or more convenient than this !
pcc_eng_00_010.0453_x0145977_126:3-6-7,any,easier,any_easier,n't,n't_any_easier,It could n't have been any easier or faster .,It could n't have been any easier or faster .
apw_eng_20080711_0023_65:3-4-5,any,easier,any_easier,n't,n't_any_easier,it was n't any easier for woods when he finished two,"it was n't any easier for Woods when he finished two shots behind Ben Curtis in 2003 , or in 1998 when he could n't catch his 41-year-old neighbor the last time the British Open was at Royal Birkdale ."
pcc_eng_12_017.6389_x0269242_35:4-6-7,any,easier,any_easier,n't,n't_any_easier,it really could n't be any easier to make money day trading .,It really could n't be any easier to make money day trading .
pcc_eng_24_101.0029_x1617928_38:4-6-7,any,easier,any_easier,n't,n't_any_easier,and it wo n't be any easier - or different - down the,And it wo n't be any easier - or different - down the stretch of what should be an intriguing second half of the conference race .
nyt_eng_19990203_0002_21:11-12-13,any,easier,any_easier,n't,n't_any_easier,past the western conference finals is n't any easier just because the chicago bulls are,"of course , getting past the Western Conference finals is n't any easier just because the Chicago Bulls are no longer contenders in the East ."
pcc_eng_21_075.9120_x1210615_16:5-6-7,any,easier,any_easier,n't,n't_any_easier,One thing that is n't any easier ?,One thing that is n't any easier ?
pcc_eng_02_038.2555_x0602810_03:10-12-13,any,easier,any_easier,n't,n't_any_easier,your cinema 4d models could n't be any easier than with maxon 's own body,Preparing bitmap textures for your Cinema 4D models could n't be any easier than with Maxon 's own Body Paint 3D .
pcc_eng_02_098.1375_x1570466_34:3-5-6,any,easier,any_easier,n't,n't_any_easier,It could n't be any easier .,It could n't be any easier .
pcc_eng_21_027.2887_x0424976_11:4-6-7,any,easier,any_easier,n't,n't_any_easier,"your decision could n't be any easier , make the choice .","Your decision could n't be any easier , make the choice ."
pcc_eng_01_108.09611_x1745741_34:5-7-8,any,easier,any_easier,n't,n't_any_easier,"So , why is n't it any easier ?","So , why is n't it any easier ?"
pcc_eng_13_001.9368_x0015046_4:07-09-10,any,easier,any_easier,n't,n't_any_easier,their second time around wo n't be any easier as we 've got an exclusive,"But their second time around wo n't be any easier as we 've got an exclusive sneak peek from Sunday 's premiere , which features Brendon experiencing the previously mentioned wedgie !"
pcc_eng_05_038.8089_x0612001_05:27-29-30,any,easier,any_easier,n't,n't_any_easier,21st ... it really could n't be any easier .,"Tweeting the message is simple and once sent , your Slotocash account will be credited with the free cash on November 21st ... it really could n't be any easier ."
pcc_eng_06_029.2768_x0457526_16:3-5-6,any,easier,any_easier,n't,n't_any_easier,It could n't be any easier to get involved .,It could n't be any easier to get involved .
pcc_eng_28_013.2885_x0199092_6:34-36-37,any,easier,any_easier,n't,n't_any_easier,entire season and things wo n't be any easier .,"Bell is the Steelers best offensive weapon , but without him and with the lost weeks with Roethlisbereger , the Steelers are going to be battling uphill this entire season and things wo n't be any easier ."
