hit_id,adv_form_lower,adj_form_lower,bigram_lower,neg_form_lower,all_forms_lower,text_window,token_str
pcc_eng_13_096.1210_x1537278_1:4-5-6,yet,available,yet_available,n't,n't_yet_available,"the plug-in is n't yet available for download , but the download","The plug-in is n't yet available for download , but the download page claims it will be soon ."
pcc_eng_05_002.9293_x0031394_30:4-5-6,yet,available,yet_available,n't,n't_yet_available,"this feature is n't yet available on android , but we 're","This feature is n't yet available on Android , but we 're told that it will be one of the main new features they 're looking to bring in future upgrades ."
pcc_eng_28_014.6253_x0220596_8:3-4-5,yet,available,yet_available,n't,n't_yet_available,numbers are n't yet available for fiscal year 2011 or fiscal,"Numbers are n't yet available for fiscal year 2011 or fiscal year 2012 , but the department had 13,867 kilograms of marijuana in evidence at the end of September and disposed of 4,614 kilograms of the substance over the course of the year ."
pcc_eng_04_108.07132_x1740795_38:31-32-33,yet,available,yet_available,n't,n't_yet_available,to even smaller sizes but are n't yet available .,"Important tools like EUV ( extreme ultraviolet ) lithography , which transfers circuit patterns onto substrates , would make it possible to shrink chips to even smaller sizes but are n't yet available ."
pcc_eng_08_045.4932_x0720101_41:22-23-24,yet,available,yet_available,n't,n't_yet_available,"of the final fcc item are n't yet available , "" aaron said .",""" We ca n't judge what we have yet to see , since the details of the final FCC item are n't yet available , "" Aaron said ."
pcc_eng_02_043.3864_x0685843_21:09-10-11,yet,available,yet_available,n't,n't_yet_available,"needed the pills , they were n't yet available at flea markets .","When Dasquez needed the pills , they were n't yet available at flea markets ."
pcc_eng_06_077.9347_x1244095_18:11-12-13,yet,available,yet_available,n't,n't_yet_available,"donations more recent than 2014 are n't yet available , that claim is difficult to","And because records of donations more recent than 2014 are n't yet available , that claim is difficult to fact check ."
pcc_eng_08_107.5363_x1724999_17:15-16-17,yet,available,yet_available,n't,n't_yet_available,fried whole fish for two was n't yet available and here 's hoping that it,The menu is still coming together -- the fried whole fish for two was n't yet available and here 's hoping that it never does materialize : do n't enable a couple who goes to a fried chicken spot and orders the fish .
pcc_eng_08_108.8564_x1745084_16:19-20-21,yet,available,yet_available,n't,n't_yet_available,previous disasters -- the statistics are n't yet available .,"Despite all the preparations for Hurricane Harvey , damage has far exceeded previous disasters -- the statistics are n't yet available ."
pcc_eng_23_047.8678_x0757269_47:4-5-6,yet,available,yet_available,n't,n't_yet_available,Those just were n't yet available in 99 .,Those just were n't yet available in 99 .
pcc_eng_17_050.5820_x0800945_12:4-5-6,yet,available,yet_available,n't,n't_yet_available,"the clothes are n't yet available to buy , but the team","The clothes are n't yet available to buy , but the team has placed their work online so that Russian supporters can make their own DIY supporters ' strips ."
pcc_eng_12_004.7190_x0059893_35:7-8-9,yet,available,yet_available,n't,n't_yet_available,"of course , the browser is n't yet available to consumers , so there 's","Of course , the browser is n't yet available to consumers , so there 's no third - party data to substantiate Mozilla 's claims ."
pcc_eng_15_044.4686_x0702802_6:30-31-32,yet,available,yet_available,not,not_yet_available,the version with no pockets is not yet available in long sleeve or red ),The BOSS Rugby comes with the option of plain sleeves or two envelope pockets on the sleeves that accept hook backed patches ( the version with no pockets is not yet available in long sleeve or red ) .
pcc_eng_29_031.4354_x0491187_058:15-16-17,yet,available,yet_available,not,not_yet_available,"africa ; although final figures are not yet available , 2004 gdp at market prices","ECONOMYMauritius has one of the strongest economies in Africa ; although final figures are not yet available , 2004 GDP at market prices is estimated at $ 6 billion and per capita income at $ 4,900 ."
pcc_eng_19_018.4500_x0281574_13:17-18-19,yet,available,yet_available,not,not_yet_available,"spatial planning ( cmsp ) is not yet available , we provide here useful resources","Although a fully developed framework for U.S. coastal and marine spatial planning ( CMSP ) is not yet available , we provide here useful resources including guidance for multi-objective planning and a storyboard that illustrates scenario planning and tradeoffs across objectives ."
pcc_eng_28_062.7846_x0999696_20:20-21-22,yet,available,yet_available,not,not_yet_available,upgrade details of that launch are not yet available .,"We can confirm that the Motorola XPRT will see a Gingerbread , however upgrade details of that launch are not yet available ."
pcc_eng_03_095.5451_x1530736_036:5-6-7,yet,available,yet_available,not,not_yet_available,figures for 2001 are not yet available and will be published in mid-march,Figures for 2001 are not yet available and will be published in mid-March .
pcc_eng_09_004.0128_x0048993_3:18-19-20,yet,available,yet_available,not,not_yet_available,russia killed by the nazis are not yet available as families are still scattered .,He stated that exact statistics on the numbers of Jews in Russia killed by the Nazis are not yet available as families are still scattered .
pcc_eng_22_080.9876_x1292774_11:24-25-26,yet,available,yet_available,not,not_yet_available,pre-release or pre-production devices that are not yet available to the public .,"In some cases we may not strictly adhere to this policy , such as when dealing with pre-release or pre-production devices that are not yet available to the public ."
pcc_eng_27_026.5739_x0413252_3:4-5-6,yet,available,yet_available,not,not_yet_available,Some items are not yet available as full-text .,Some items are not yet available as full-text .
pcc_eng_03_008.5977_x0122843_132:5-6-7,yet,available,yet_available,not,not_yet_available,"the full results are not yet available , but the top two candidates","The full results are not yet available , but the top two candidates who will compete at the second round on 20 December do seem to have emerged ."
nyt_eng_19960404_0323_11:08-09-10,yet,available,yet_available,not,not_yet_available,"the cost of the trip is not yet available , trips of this size and","although the cost of the trip is not yet available , trips of this size and scope generally cost tens to hundreds of thousands of dollars ."
pcc_eng_18_088.2642_x1413175_12:4-5-6,yet,available,yet_available,not,not_yet_available,new phone number not yet available ; the old number has been,New phone number not yet available ; the old number has been reassigned to a non-orchid person named Christina Camp - please do not bother her .
pcc_eng_10_026.5934_x0413590_22:14-15-16,yet,available,yet_available,not,not_yet_available,"co-authored by lionel duroy , is not yet available in english .","That 's the Way It Was , co-authored by Lionel Duroy , is not yet available in English ."
pcc_eng_24_082.5416_x1318884_41:4-5-6,yet,available,yet_available,not,not_yet_available,but they are not yet available because most car makers started too,But they are not yet available because most car makers started too late to develop them .
pcc_eng_26_082.0077_x1309701_13:18-19-20,yet,available,yet_available,not,not_yet_available,blocking and you tube red are not yet available on this platform .,Note that logged in You Tube Kids features such as content blocking and You Tube Red are not yet available on this platform .
pcc_eng_12_006.1474_x0082936_5:4-5-6,yet,available,yet_available,not,not_yet_available,these paintings are not yet available on my etsy site but feel,These paintings are not yet available on my Etsy site but feel free to check out all of my other work plus a huge selection of affordable mini paintings .
