hit_id,adv_form_lower,adj_form_lower,bigram_lower,neg_form_lower,all_forms_lower,text_window,token_str
pcc_eng_09_039.2067_x0618359_26:15-16-17,ever,simple,ever_simple,hardly,hardly_ever_simple,into a brand- new area is hardly ever simple .,Moving out of a house as well as into a brand- new area is hardly ever simple .
pcc_eng_14_008.7477_x0124999_73:09-10-11,ever,simple,ever_simple,hardly,hardly_ever_simple,"other hand , the derby is hardly ever simple , and if the favorite is","On the other hand , the Derby is hardly ever simple , and if the favorite is n't clearly superior and if he gets lured into a lively pace , the late runners could fill the board , with Intense Holiday and Danza , who have both shined this week , most prominent ."
pcc_eng_05_012.4146_x0185066_04:3-4-5,ever,simple,ever_simple,n't,n't_ever_simple,it is n't ever simple to outright find a soul mate,It is n't ever simple to outright find a soul mate since most individuals are already aware .
pcc_eng_19_018.4605_x0281750_03:5-6-7,ever,simple,ever_simple,never,never_ever_simple,"experiencing family strife is never ever simple , yet a skilled family members","Experiencing family strife is never ever simple , yet a skilled family members law lawyer can assist you make essential choices as well as locate a new begin ."
pcc_eng_17_075.9427_x1211212_02:21-22-23,ever,simple,ever_simple,never,never_ever_simple,"get into , the option is never ever simple .","And , when face to face with a hundred or so workout programs to get into , the option is never ever simple ."
pcc_eng_11_095.9156_x1536508_18:09-10-11,ever,simple,ever_simple,never,never_ever_simple,", she shows us , is never ever simple .","The line , she shows us , is never ever simple ."
pcc_eng_25_010.4071_x0152265_064:5-6-7,ever,simple,ever_simple,never,never_ever_simple,Bonsai vegetable care is never ever simple .,Bonsai vegetable care is never ever simple .
pcc_eng_05_037.3897_x0589279_02:7-8-9,ever,simple,ever_simple,never,never_ever_simple,stay at house mother anxiety is never ever simple !,Stay at house mother anxiety is never ever simple !
pcc_eng_28_047.2422_x0748245_071:5-6-7,ever,simple,ever_simple,never,never_ever_simple,with ms things are never ever simple - if this virus was involved,With MS things are never ever simple - if this virus was involved it may be activated by another virus such as EBV etc .
pcc_eng_18_033.0402_x0518649_2:27-32-33,ever,simple,ever_simple,none,none_ever_simple,with though none of these interactions are ever simple .,"At the population level , humans tend to influence the distribution , demography , immunology and even behaviour of the macaque species they interact with though none of these interactions are ever simple ."
pcc_eng_06_023.5938_x0365727_09:4-5-6,ever,simple,ever_simple,not,not_ever_simple,"and it 's not ever simple , especially if you 're still","And it 's not ever simple , especially if you 're still feeling hot emotions over the termination or struggling with diminished "" I 'm the loser who got canned "" self-esteem ."
pcc_eng_17_084.5413_x1350094_29:4-5-6,ever,simple,ever_simple,not,not_ever_simple,But it is not ever simple .,But it is not ever simple .
pcc_eng_06_100.1203_x1603307_17:22-24-25,ever,simple,ever_simple,nothing,nothing_ever_simple,", charmes - chambertin ... nothing is ever simple in burgundy - and writing about","Terroir Insight : Domaine Georges-Roumier , Charmes - Chambertin "" Aux Mazoyeres "" Domaine Georges Roumier , Charmes - Chambertin ... nothing is ever simple in Burgundy - and writing about this wine does involve a bit of good Bourgundian name complexity ."
