hit_id,bigram_lower,adj_form_lower,all_forms_lower,adv_form_lower,text_window,token_str
pcc_eng_14_023.6337_x0365627_10:24-25,longer_lasting,lasting,(+)_longer_lasting,longer,"skin , resulting in more natural and longer lasting improvements .","And second , it does this through support of the underlying tissues rather than just the skin , resulting in more natural and longer lasting improvements ."
pcc_eng_00_065.8521_x1048353_3:6-7,longer_lasting,lasting,(+)_longer_lasting,longer,"the edge often has a longer lasting , single sided chisel - grind","The edge often has a longer lasting , single sided chisel - grind ."
pcc_eng_11_077.3267_x1235610_11:27-28,longer_lasting,lasting,(+)_longer_lasting,longer,"heat would have been less intense but longer lasting , enough to enable live plant","However the effects of the impact would have been felt as far away as New Zealand , where the heat would have been less intense but longer lasting , enough to enable live plant matter to ignite ."
apw_eng_19980403_0987_7:2-3,longer_lasting,lasting,(+)_longer_lasting,longer,"for longer lasting effects , new straits times-management times","for longer lasting effects , NEW STRAITS TIMES-MANAGEMENT TIMES"
pcc_eng_05_047.1106_x0746392_54:11-12,longer_lasting,lasting,(+)_longer_lasting,longer,be printed or laser engraved for a longer lasting customization that will last ages and,Pint Glasses can be printed or laser engraved for a longer lasting customization that will last ages and often remind recipients of their triumphs .
pcc_eng_16_001.5492_x0008928_43:46-47,longer_lasting,lasting,(+)_longer_lasting,longer,owned by kenyan citizens promises to provide longer lasting benefits .,"While the most obvious benefits to the State will be through the free carry provisions and enhanced royalties , the requirement to give preference to local products and services , the employment of Kenyan citizens and to businesses owned by Kenyan citizens promises to provide longer lasting benefits ."
pcc_eng_29_085.8118_x1369962_13:28-29,longer_lasting,lasting,(+)_longer_lasting,longer,"make a house more functional , and longer lasting .","This gave us a different insight into the construction industry and a passion to take care of the details that make a house more functional , and longer lasting ."
pcc_eng_06_040.8571_x0644513_57:17-18,longer_lasting,lasting,(+)_longer_lasting,longer,in 1971 - but its influence was longer lasting .,It was short lived too - the imprint folded in 1971 - but its influence was longer lasting .
pcc_eng_02_018.7483_x0287273_21:28-29,longer_lasting,lasting,(+)_longer_lasting,longer,your day -- but it will be longer lasting and easier to maintain weight loss,It will be slower weight loss if you decide to incorporate more vegetables into your diet and more activity into your day -- but it will be longer lasting and easier to maintain weight loss .
pcc_eng_07_075.9716_x1211602_5:20-21,longer_lasting,lasting,(+)_longer_lasting,longer,"benefits , that of ensuring a much longer lasting system and a significant reduction of","All of the above points bring to the final and most important benefits , that of ensuring a much longer lasting system and a significant reduction of maintenance calls ."
