hit_id,bigram_lower,adv_form_lower,adj_form_lower,all_forms_lower,text_window,token_str
pcc_eng_test_2.05409_x24786_01:11-12-13,necessarily_cause,necessarily,cause,n't_necessarily_cause,and anthrax in the air are n't necessarily cause for alarm .,The likes of botulism and anthrax in the air are n't necessarily cause for alarm .
pcc_eng_00_067.7784_x1079285_18:17-18-19,necessarily_cause,necessarily,cause,n't_necessarily_cause,say a negative savings rate is n't necessarily cause for concern .,"While it appears problematic , economists with the federal government say a negative savings rate is n't necessarily cause for concern ."
pcc_eng_05_089.5717_x1432874_45:11-12-13,necessarily_cause,necessarily,cause,not_necessarily_cause,amphetamine concentrations in your body is not necessarily cause for alarm .,A test showing small amphetamine concentrations in your body is not necessarily cause for alarm .
pcc_eng_11_068.0100_x1084620_43:3-4-5,necessarily_cause,necessarily,cause,not_necessarily_cause,This is not necessarily cause for concern .,This is not necessarily cause for concern .
pcc_eng_09_080.7578_x1290219_66:19-20-21,necessarily_cause,necessarily,cause,not_necessarily_cause,"in an older greyhound , is not necessarily cause for concern , particularly if the","So , a mild and gradual loss of weight and body mass in an older greyhound , is not necessarily cause for concern , particularly if the dog is vetted routinely , and there are no symptoms of distress or dysfunction ."
pcc_eng_08_103.7341_x1663397_40:10-11-12,necessarily_cause,necessarily,cause,not_necessarily_cause,"color , smell or taste are not necessarily cause for alarm , adds dr. goldstone","Small changes in color , smell or taste are not necessarily cause for alarm , adds Dr. Goldstone ."
pcc_eng_02_098.4559_x1575696_01:4-5-6,necessarily_cause,necessarily,cause,not_necessarily_cause,this change is not necessarily cause for a meltdown : wait and,This change is not necessarily cause for a meltdown : Wait and taste the 42 % before you freak out .
pcc_eng_14_009.3541_x0134841_12:4-5-6,necessarily_cause,necessarily,cause,not_necessarily_cause,But this is not necessarily cause for despair .,But this is not necessarily cause for despair .
pcc_eng_21_013.1878_x0196808_03:17-18-19,necessarily_cause,necessarily,cause,not_necessarily_cause,"island county , their presence is not necessarily cause for public concern .","Although there are be 95 convicted sex offenders living in Island County , their presence is not necessarily cause for public concern ."
pcc_eng_15_012.6241_x0187604_4:3-4-5,necessarily_cause,necessarily,cause,not_necessarily_cause,This is not necessarily cause for alarm .,This is not necessarily cause for alarm .
