hit_id,bigram_lower,adj_form_lower,all_forms_lower,adv_form_lower,text_window,token_str
pcc_eng_20_038.5714_x0607192_15:24-25-26,terribly_surprising,surprising,n't_terribly_surprising,terribly,"take care of , it was n't terribly surprising that he chose to sit out","Since it was already established that Hawkeye has a wife ( Linda Cardellini ) and kids to take care of , it was n't terribly surprising that he chose to sit out Avengers : Infinity War and protect them ."
pcc_eng_27_065.4065_x1041146_37:5-6-7,terribly_surprising,surprising,n't_terribly_surprising,terribly,So her results were n't terribly surprising to me .,So her results were n't terribly surprising to me .
pcc_eng_03_091.3291_x1462629_17:5-6-7,terribly_surprising,surprising,n't_terribly_surprising,terribly,"Well , this was n't terribly surprising , was it ?","Well , this was n't terribly surprising , was it ?"
pcc_eng_11_010.0300_x0146162_02:4-5-6,terribly_surprising,surprising,n't_terribly_surprising,terribly,the move is n't terribly surprising in light of the fact that,The move is n't terribly surprising in light of the fact that Disney Infinity has been the most profitable game Disney Interactive has released in a good long while .
pcc_eng_00_033.8422_x0530741_09:3-5-6,terribly_surprising,surprising,n't_terribly_surprising,terribly,This ca n't be terribly surprising .,This ca n't be terribly surprising .
pcc_eng_11_015.1638_x0229152_10:3-5-6,terribly_surprising,surprising,n't_terribly_surprising,terribly,Which should n't be terribly surprising .,Which should n't be terribly surprising .
pcc_eng_19_042.5567_x0670889_034:19-21-22,terribly_surprising,surprising,n't_terribly_surprising,terribly,agree with -- this should n't be terribly surprising to you .,The current government has done an awful lot of things I do n't agree with -- this should n't be terribly surprising to you .
pcc_eng_14_007.0367_x0097599_30:4-5-6,terribly_surprising,surprising,n't_terribly_surprising,terribly,That imbalance is n't terribly surprising .,That imbalance is n't terribly surprising .
pcc_eng_24_072.9885_x1164398_09:7-8-9,terribly_surprising,surprising,n't_terribly_surprising,terribly,"the relative lack of attention is n't terribly surprising , given that only hillary clinton","The relative lack of attention is n't terribly surprising , given that only Hillary Clinton , John Edwards , and Dennis Kucinich ( all Democrats ) showed up , despite the fact that all the candidates from both major parties were invited ."
pcc_eng_14_002.2566_x0020442_06:7-8-9,terribly_surprising,surprising,n't_terribly_surprising,terribly,nonetheless a little odd weather was n't terribly surprising and the colonists made a days,Nonetheless a little odd weather was n't terribly surprising and the colonists made a days travel to the east from the Planar Link and began the process of setting up camp .
pcc_eng_01_035.5431_x0557990_05:17-18-19,terribly_surprising,surprising,n't_terribly_surprising,terribly,"( pullrequest ) , which is n't terribly surprising for our user base but is",""" You see everything from code review as a service ( Pullrequest ) , which is n't terribly surprising for our user base but is a really cool use case , to SAAS spend management ( Zylo ) to edtech ( Learnmetrics ) , even real estate property management ( Aptly ) -- so a really wide range of use cases showing the breadth of the platform and what the capabilities are and the breadth of different types of work we can bring value to , "" Slack VP Brad Armstrong said in a briefing with journalists ."
pcc_eng_27_057.7239_x0916890_13:7-8-9,terribly_surprising,surprising,n't_terribly_surprising,terribly,"in one sense , it was n't terribly surprising for a historian to recommend to","In one sense , it was n't terribly surprising for a historian to recommend to another historian to ditch the article format for the more comfortable confines of a book ."
