hit_id|colloc|sent_text|neg_form|adv_form|adj_form|hit_text|text_window|sent_id|prev_id|prev_sent|next_id|next_sent|token_str|lemma_str|neg_lemma|adv_lemma|adj_lemma|neg_index|adv_index|adj_index|dep_neg_source|dep_neg_target|dep_neg_relation|dep_mod_source|dep_mod_target|dep_mod_relation|json_source|match_ix|utt_len|colloc_id|category
pcc_eng_29_109.6814_x1751213_31:3-4-5|too_tough|Now that wasn't too tough was it?|n't|too|tough|n't too tough|Now that was n't too tough was it ?|pcc_eng_29_109.6814_x1751213_31|pcc_eng_29_109.6814_x1751213_30|It's as easy as pulling them out of the box and placing them in your vehicle.|pcc_eng_29_109.6814_x1751213_32|Also note|Now that was n't too tough was it ?|now that be not too tough be it ?|n't|too|tough|3|4|5|{'lemma': 'tough', 'ix': 5, 'xpos': 'JJ', 'deprel': 'root', 'head': '?'}|{'lemma': 'not', 'ix': 3, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'tough'}|advmod|{'lemma': 'tough', 'ix': 5, 'xpos': 'JJ', 'deprel': 'root', 'head': '?'}|{'lemma': 'too', 'ix': 4, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'tough'}|advmod|pcc_eng_29-109|3-4-5|9|pcc_eng_29_109.6814_x1751213_31-5-6|contig
pcc_eng_29_109.6813_x1751212_05:2-3-4|entirely_sure|I'm not entirely sure how the watchable but unremarkable WRONG TURN has managed to spawn four sequels but then again it's small fry compared to the prolific FRIDAY THE 13TH and HALLOWEEN franchises.|not|entirely|sure|not entirely sure|I 'm not entirely sure how the watchable but|pcc_eng_29_109.6813_x1751212_05|pcc_eng_29_109.6813_x1751212_04|REVIEW:|pcc_eng_29_109.6813_x1751212_06|Like those series, and A NIGHTMARE ON ELM STREET, the set up can be summarised as 'youngsters terrorised by unstoppable killer' and it's a depressing thought that such a brief sentence can describe almost 30 ostensibly different films.|I 'm not entirely sure how the watchable but unremarkable WRONG TURN has managed to spawn four sequels but then again it 's small fry compared to the prolific FRIDAY THE 13TH and HALLOWEEN franchises .|I be not entirely sure how the watchable but unremarkable wrong turn have manage to spawn four sequel but then again it be small fry compare to the prolific FRIDAY the 13TH and HALLOWEEN franchise .|not|entirely|sure|2|3|4|{'lemma': 'sure', 'ix': 4, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}|{'lemma': 'not', 'ix': 2, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'sure'}|advmod|{'lemma': 'sure', 'ix': 4, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}|{'lemma': 'entirely', 'ix': 3, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'sure'}|advmod|pcc_eng_29-109|2-3-4|36|pcc_eng_29_109.6813_x1751212_05-4-5|contig
pcc_eng_29_109.6768_x1751139_33:7-8-9|so_nice|How to feel good when people are not so nice to you|not|so|nice|not so nice|when people are not so nice to you|pcc_eng_29_109.6768_x1751139_33|pcc_eng_29_109.6768_x1751139_32|.|pcc_eng_29_109.6768_x1751139_34|.|How to feel good when people are not so nice to you|how to feel good when people be not so nice to you|not|so|nice|7|8|9|{'lemma': 'nice', 'ix': 9, 'xpos': 'JJ', 'deprel': 'advcl', 'head': 'feel'}|{'lemma': 'not', 'ix': 7, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'nice'}|advmod|{'lemma': 'nice', 'ix': 9, 'xpos': 'JJ', 'deprel': 'advcl', 'head': 'feel'}|{'lemma': 'so', 'ix': 8, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'nice'}|advmod|pcc_eng_29-109|7-8-9|12|pcc_eng_29_109.6768_x1751139_33-9-10|contig
pcc_eng_29_109.6719_x1751067_31:2-4-5|more_apparent|This has never been more apparent than in the last several years for Waters.|never|more|apparent|never been more apparent|This has never been more apparent than in the last|pcc_eng_29_109.6719_x1751067_31|pcc_eng_29_109.6719_x1751067_30|In a recent post on the winery, I noted that making single vineyard Syrah puts one at the mercy of the whims of each vintage.|pcc_eng_29_109.6719_x1751067_32|Frost significantly affected Forgotten Hills Vineyard in 2008, 2009, and 2011 - not allowing winemaker Jamie Brown to make vineyard-designated wines (the juice was instead moved into the Wines of Substance Syrah).|This has never been more apparent than in the last several years for Waters .|this have never be more apparent than in the last several year for Waters .|never|more|apparent|2|4|5|{'lemma': 'apparent', 'ix': 5, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}|{'lemma': 'never', 'ix': 2, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'apparent'}|advmod|{'lemma': 'apparent', 'ix': 5, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}|{'lemma': 'more', 'ix': 4, 'xpos': 'RBR', 'deprel': 'advmod', 'head': 'apparent'}|advmod|pcc_eng_29-109|2-4-5|15|pcc_eng_29_109.6719_x1751067_31-5-6|contig
pcc_eng_29_109.6706_x1751046_047:8-10-11|all_clear|It is a journey in which we are not at all clear where we are going.|not|all|clear|not at all clear|which we are not at all clear where we are going|pcc_eng_29_109.6706_x1751046_047|pcc_eng_29_109.6706_x1751046_046|For some two million years humankind has been engaged in a cultural journey, and still is.|pcc_eng_29_109.6706_x1751046_048|"We are like Abraham, of whom the New Testament said ""he went out, not knowing where he was to go""."|It is a journey in which we are not at all clear where we are going .|it be a journey in which we be not at all clear where we be go .|not|all|clear|8|10|11|{'lemma': 'clear', 'ix': 11, 'xpos': 'JJ', 'deprel': 'acl:relcl', 'head': 'journey'}|{'lemma': 'not', 'ix': 8, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'clear'}|advmod|{'lemma': 'clear', 'ix': 11, 'xpos': 'JJ', 'deprel': 'acl:relcl', 'head': 'journey'}|{'lemma': 'all', 'ix': 10, 'xpos': 'DT', 'deprel': 'advmod', 'head': 'clear'}|advmod|pcc_eng_29-109|8-10-11|17|pcc_eng_29_109.6706_x1751046_047-11-12|contig
pcc_eng_29_109.6649_x1750951_72:2-3-4|only_dangerous|This is not only dangerous, but highly addictive.|not|only|dangerous|not only dangerous|This is not only dangerous , but highly addictive|pcc_eng_29_109.6649_x1750951_72|pcc_eng_29_109.6649_x1750951_71|Amphetamines are anti-anxiety drugs and antidepressants.|pcc_eng_29_109.6649_x1750951_73|What is the best 'magic pill' now?|This is not only dangerous , but highly addictive .|this be not only dangerous , but highly addictive .|not|only|dangerous|2|3|4|{'lemma': 'dangerous', 'ix': 4, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}|{'lemma': 'not', 'ix': 2, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'dangerous'}|advmod|{'lemma': 'dangerous', 'ix': 4, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}|{'lemma': 'only', 'ix': 3, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'dangerous'}|advmod|pcc_eng_29-109|2-3-4|10|pcc_eng_29_109.6649_x1750951_72-4-5|contig
pcc_eng_29_109.6615_x1750905_38:8-9-10|noticeably_different|The nicotine levels in the e-cigarette smokers were not noticeably different than those who smoked fake cigarettes.|not|noticeably|different|not noticeably different|e-cigarette smokers were not noticeably different than those who smoked|pcc_eng_29_109.6615_x1750905_38|pcc_eng_29_109.6615_x1750905_37|The results were striking.|pcc_eng_29_109.6615_x1750905_39|The mean nicotine level of e-cigarettes smokers was 3.5 ng/ml, while the mean nicotine level of tobacco smokers was 20 ng/ml.|The nicotine levels in the e-cigarette smokers were not noticeably different than those who smoked fake cigarettes .|the nicotine level in the e-cigarette smoker be not noticeably different than that who smoke fake cigarette .|not|noticeably|different|8|9|10|{'lemma': 'different', 'ix': 10, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}|{'lemma': 'not', 'ix': 8, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'different'}|advmod|{'lemma': 'different', 'ix': 10, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}|{'lemma': 'noticeably', 'ix': 9, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'different'}|advmod|pcc_eng_29-109|8-9-10|18|pcc_eng_29_109.6615_x1750905_38-10-11|contig
pcc_eng_29_109.6602_x1750882_16:53-54-55|much_better|If you can find a field of anything else though there is much color to paint, but because we grow so much of this shit for ethanol and our cheap diabetes inducing food supply, it is hard to find much of anything else around here, except soybeans, which isn't much better.|n't|much|better|n't much better|, which is n't much better .|pcc_eng_29_109.6602_x1750882_16|pcc_eng_29_109.6602_x1750882_15|It feels so wrong, and since so much of what I do is based off of feeling I kinda hate this time of year.|pcc_eng_29_109.6602_x1750882_17|I painted this barn whose owner is a 76 year old bachelor farmer named Merwin.|If you can find a field of anything else though there is much color to paint , but because we grow so much of this shit for ethanol and our cheap diabetes inducing food supply , it is hard to find much of anything else around here , except soybeans , which is n't much better .|if you can find a field of anything else though there be much color to paint , but because we grow so much of this shit for ethanol and we cheap diabete induce food supply , it be hard to find much of anything else around here , except soybean , which be not much good .|n't|much|better|53|54|55|{'lemma': 'good', 'ix': 55, 'xpos': 'JJR', 'deprel': 'acl:relcl', 'head': 'soybean'}|{'lemma': 'not', 'ix': 53, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'good'}|advmod|{'lemma': 'good', 'ix': 55, 'xpos': 'JJR', 'deprel': 'acl:relcl', 'head': 'soybean'}|{'lemma': 'much', 'ix': 54, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'good'}|advmod|pcc_eng_29-109|53-54-55|57|pcc_eng_29_109.6602_x1750882_16-55-56|contig
pcc_eng_29_109.6597_x1750875_21:43-44-45|too_distant|As these question go to the crucial issue of how broad the patent monopoly should be it is unlikely that we have heard the last of it, and we can expect these arguments to be raised before the higher courts in the not too distant future.|not|too|distant|not too distant|courts in the not too distant future .|pcc_eng_29_109.6597_x1750875_21|pcc_eng_29_109.6597_x1750875_20|It should be noted, however, that equivalents may be taken into account in relation to obviousness, so that the patent could fail at the obviousness hurdle.|pcc_eng_29_109.6597_x1750875_22|The first case, Generics v Yeda (26 October 2017), related to a patent for a dosage regime for the blockbuster drug Copaxone, a treatment for multiple sclerosis marketed by Teva under licence from Yeda.|As these question go to the crucial issue of how broad the patent monopoly should be it is unlikely that we have heard the last of it , and we can expect these arguments to be raised before the higher courts in the not too distant future .|as this question go to the crucial issue of how broad the patent monopoly should be it be unlikely that we have hear the last of it , and we can expect this argument to be raise before the high court in the not too distant future .|not|too|distant|43|44|45|{'lemma': 'distant', 'ix': 45, 'xpos': 'JJ', 'deprel': 'amod', 'head': 'future'}|{'lemma': 'not', 'ix': 43, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'distant'}|advmod|{'lemma': 'distant', 'ix': 45, 'xpos': 'JJ', 'deprel': 'amod', 'head': 'future'}|{'lemma': 'too', 'ix': 44, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'distant'}|advmod|pcc_eng_29-109|43-44-45|48|pcc_eng_29_109.6597_x1750875_21-45-46|contig
pcc_eng_29_109.6593_x1750867_119:18-19-20|too_distant|With the clock ticking, Israel may have to take a crucial decision regarding Iran and in the not too distant future.|not|too|distant|not too distant|and in the not too distant future .|pcc_eng_29_109.6593_x1750867_119|pcc_eng_29_109.6593_x1750867_118|Overt and covert activities could be initiated by the US that would weaken Iran's self-confidence and boost the motivation of its internal opposition.|pcc_eng_29_109.6593_x1750867_120|The choice confronting our leadership is between relying on American-led action, which has not yet materialized, or going it alone and dealing militarily with the Iranian nuclear buildup.|With the clock ticking , Israel may have to take a crucial decision regarding Iran and in the not too distant future .|with the clock ticking , Israel may have to take a crucial decision regard Iran and in the not too distant future .|not|too|distant|18|19|20|{'lemma': 'distant', 'ix': 20, 'xpos': 'JJ', 'deprel': 'amod', 'head': 'future'}|{'lemma': 'not', 'ix': 18, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'distant'}|advmod|{'lemma': 'distant', 'ix': 20, 'xpos': 'JJ', 'deprel': 'amod', 'head': 'future'}|{'lemma': 'too', 'ix': 19, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'distant'}|advmod|pcc_eng_29-109|18-19-20|23|pcc_eng_29_109.6593_x1750867_119-20-21|contig
