hit_id,bigram_lower,adj_form_lower,all_forms_lower,adv_form_lower,text_window,token_str
pcc_eng_19_017.7226_x0269794_16:23-24,that_great,great,(+)_that_great,that,ill aplodige now my eye site isnt that great so i may mispeel a word,"Need 24000 more signatures to get a form lettr response from the WH , ( Ill aplodige now my eye site isnt that great so I may mispeel a word or four ."
pcc_eng_24_060.0409_x0955143_37:8-9,that_great,great,(+)_that_great,that,the whole atmosphere around the carousel is that great .,The whole atmosphere around the carousel is that great .
nyt_eng_20001009_0283_41:6-7,that_great,great,(+)_that_great,that,but is it really all that great ? find out here courtesy of,but is it really all that great ? Find out here courtesy of the Center for Science in the Public Interest .
pcc_eng_18_085.0026_x1360164_38:5-6,that_great,great,(+)_that_great,that,"the sport is really that great , despite all the self-inflicted pain","The sport is really that great , despite all the self-inflicted pain of the last two decades , starting with a lockout in 1994 , right after the New York Rangers had won the Stanley Cup and hockey was finally catching on in the United States ."
pcc_eng_18_007.2908_x0101778_75:10-11-12,that_great,great,ain't_that_great,that,track record for long term forecasts ain't that great .,But then their track record for long term forecasts ain't that great .
pcc_eng_07_005.3109_x0069662_02:5-6-7,that_great,great,n't_that_great,that,"the story line was n't that great , but it was n't un-watch","The story line was n't that great , but it was n't un-watch - able ."
nyt_eng_19970425_0754_24:18-19-20,that_great,great,n't_that_great,that,the grades listed on it were n't that great .,he said he would `` quickly burn '' the transcript because the grades listed on it were n't that great .
pcc_eng_07_104.5464_x1673836_04:30-33-34,that_great,great,n't_that_great,that,"but our stay was n't really all that great , and i will detail that","I chose to book our room at the Marriott Manhattan Beach since it was an extended stay property and I am a member with them but our stay was n't really all that great , and I will detail that in a later post ."
pcc_eng_13_007.3708_x0102740_102:3-4-5,that_great,great,n't_that_great,that,it was n't that great of a ride but it was,It was n't that great of a ride but it was something different from the everyday coaster .
pcc_eng_27_023.0285_x0356162_05:24-25-26,that_great,great,n't_that_great,that,that congress 's diversity stats are n't that great either .,"Recently , a report ( PDF ) by the Congressional Hispanic Staffers Association ( CHSA ) found that Congress 's diversity stats are n't that great either ."
nyt_eng_19990608_0014_25:09-11-12,that_great,great,n't_that_great,that,"out where i lived were n't all that great , '' she said .","`` The schools out where I lived were n't all that great , '' she said ."
pcc_eng_06_076.3434_x1218609_61:38-39-40,that_great,great,n't_that_great,that,inside or under of wrecks is n't that great but this gives an idea -,"Schools of fish hang out under the wreck and while fun to try to shoot , I have to conclude that a single strobe ( in my hands ) and the inside or under of wrecks is n't that great but this gives an idea -"
pcc_eng_13_080.9379_x1292117_10:27-29-30,that_great,great,n't_that_great,that,", but it just was n't all that great .","It 's not that I did n't enjoy it , and it could be largely dependent on the spots we visited , but it just was n't all that great ."
pcc_eng_27_007.5808_x0105888_046:4-5-6,that_great,great,n't_that_great,that,His positioning is n't that great either .,His positioning is n't that great either .
pcc_eng_20_038.4435_x0605182_18:4-6-7,that_great,great,n't_that_great,that,high school has n't been that great for him in the past three,"High school has n't been that great for him in the past three years , considering his mysterious past , but now , things have taken an sudden turn ."
pcc_eng_09_031.5026_x0493783_43:5-6-7,that_great,great,n't_that_great,that,My energy really is n't that great overall though .,My energy really is n't that great overall though .
pcc_eng_20_031.4983_x0493140_061:31-33-34,that_great,great,n't_that_great,that,"because ... well that would n't be that great of a story , now would","He really does have EVERY opportunity in the world to kill these kids just as easily as he kills Georgie , but never takes it because ... well that would n't be that great of a story , now would it ?"
pcc_eng_test_1.1197_x01944_10:18-19-20,that_great,great,n't_that_great,that,at the mom pictures still is n't that great ... and essentially ... the oil,I think the other thing to watch is of the wind at the mom pictures still is n't that great ... and essentially ... the oil market is relying on China at the moment as it has some for the past five years China 's accounted for about two -thirds ... of incremental upload them on ... and the fact is is that although we had pretty decent ... oil import figures for July ... um most of the oil over last fall that was that she could be destined for storage ... and the import picture in China is n't actually that great in Chinese imports of oil actually peaked last year ... when all really seeing the growth so we we pulled up a chart of oil prices are up around a hundred tendon the ... benchmark of UTI who are yet to me ... one oh nine ninety I just ... how much further can I go ... well ... that that the of the hard questions like I will not ... depends on a couple things look if you get out in the stressful most ... blokes ... but you 're putting a seal does n't seem on denominated in dollars with the ceiling as ...
pcc_eng_00_012.9809_x0193534_23:14-16-17,that_great,great,n't_that_great,that,"yep , this feature is n't all that great .","And part of that is developers acknowledging that yep , this feature is n't all that great ."
pcc_eng_20_034.0860_x0534953_17:38-39-40,that_great,great,n't_that_great,that,rain stopped thinking that sneek was n't that great .,"... a drunk Dutch couple from a balcony across the road , the chavy man had his top off and was wearing a baseball cap , I set off before the rain stopped thinking that Sneek was n't that great ."
pcc_eng_00_034.1777_x0536070_16:28-29-30,that_great,great,n't_that_great,that,", even when overall visibility was n't that great .","I used the Peak 2 Peak for the very first time earlier this week , and the view was absolutely gorgeous , even when overall visibility was n't that great ."
pcc_eng_04_075.3379_x1200674_03:19-20-21,that_great,great,n't_that_great,that,your sense of decision making is n't that great .,"At that time your head is all over the place , and your sense of decision making is n't that great ."
pcc_eng_21_096.7868_x1547662_026:08-09-10,that_great,great,n't_that_great,that,problem is that it just is n't that great of a bourbon .,The problem is that it just is n't that great of a bourbon .
pcc_eng_23_009.6326_x0139328_08:16-18-19,that_great,great,n't_that_great,that,decent number of which are n't all that great for us in the first place,"Frequently , they are tied to our habits , a decent number of which are n't all that great for us in the first place ."
pcc_eng_02_041.0608_x0648160_23:4-5-6,that_great,great,n't_that_great,that,"this special is n't that great , which makes her slightly over-cost","This special is n't that great , which makes her slightly over-cost ."
pcc_eng_09_009.5078_x0137912_283:23-24-25,that_great,great,n't_that_great,that,"part that others may say is n't that great , it could be worth a","Everyone is different , however , so if you really like the look of a custom part that others may say is n't that great , it could be worth a shot ."
pcc_eng_09_007.8954_x0111744_20:29-30-31,that_great,great,n't_that_great,that,- 21 - year- olds are n't that great at defense ) and had more,"It 's quite possible that Quenneville put up the numbers that he did because he was skating against weaker competition ( 16 - 21 - year- olds are n't that great at defense ) and had more time and space to make plays and take shots , and he may be incapable of making the transition to NHL - level hockey ."
pcc_eng_15_015.1548_x0228498_03:15-16-17,that_great,great,n't_that_great,that,"tattoos ... well , they are n't that great .","You also know that a lot of the tattoos ... well , they are n't that great ."
pcc_eng_09_034.4300_x0541280_4:08-09-10,that_great,great,n't_that_great,that,his comeback race at kempton was n't that great but he schooled fantastically last week,""" His comeback race at Kempton was n't that great but he schooled fantastically last week - he seems in great nick ."
pcc_eng_14_080.5433_x1286205_10:4-6-7,that_great,great,n't_that_great,that,saunders numbers have n't been that great this season ( 2- 2 -,"Saunders numbers have n't been that great this season ( 2- 2 - 0 , 3.60 GAA and a .900 save percentage ) , but he 's not a bad goaltender either ."
pcc_eng_13_095.6570_x1529838_059:14-15-16,that_great,great,n't_that_great,that,"20 years , the returns were n't that great .","Well , even after owning those for 20 years , the returns were n't that great ."
pcc_eng_22_073.2947_x1168463_12:08-09-10,that_great,great,n't_that_great,that,"quality of life in bucharest is n't that great , and the demographics show that","The quality of life in Bucharest is n't that great , and the demographics show that it has about 2 million people ."
pcc_eng_17_041.3291_x0651495_06:19-21-22,that_great,great,n't_that_great,that,password but the connection was n't always that great .,Had to give our devices to the attendant for him to enter the password but the connection was n't always that great .
pcc_eng_02_007.1038_x0098579_23:14-16-17,that_great,great,n't_that_great,that,"between billing and provisioning had n't been that great , so that issue had to","On ringing billing , I discover the communication between billing and provisioning had n't been that great , so that issue had to be resolved ."
pcc_eng_03_037.9601_x0598568_16:5-6-7,that_great,great,n't_that_great,that,some poems just are n't that great ; some speak to a purpose,Some poems just are n't that great ; some speak to a purpose that no one but the author could hope to ferret out .
pcc_eng_25_039.6370_x0625404_11:13-14-15,that_great,great,n't_that_great,that,"these pictures , my composition was n't that great .","You can see on both of these pictures , my composition was n't that great ."
pcc_eng_15_097.2964_x1556407_16:23-24-25,that_great,great,n't_that_great,that,"with you , this one is n't that great "" .","Gadget Gabe reviews the Shadozer in Fleeing the Complex saying : "" I 'ma be honest with you , this one is n't that great "" ."
pcc_eng_11_013.0813_x0195279_749:2-3-4,that_great,great,n't_that_great,that,Ai n't that great .,Ai n't that great .
pcc_eng_14_084.5682_x1350768_093:31-32-33,that_great,great,n't_that_great,that,"controlling demons , and he was n't that great at using offensive magic spells .","He can use Space Magic , he is very proficient in summoning magic , he can grant others magical energy , he excels in controlling demons , and he was n't that great at using offensive magic spells ."
pcc_eng_02_013.3291_x0199327_275:13-14-15,that_great,great,n't_that_great,that,that great and the distances are n't that great .,Some of the movement is n't that great and the distances are n't that great .
pcc_eng_01_030.7732_x0481218_04:6-7-8,that_great,great,n't_that_great,that,( well the picture is n't that great .. but you can kind of,( well the picture is n't THAT great .. but you can kind of see the spotting I 'm talking about around his gills ! )
pcc_eng_28_028.5911_x0445794_08:5-6-7,that_great,great,n't_that_great,that,"although the view was n't that great , at least out this window","Although the view was n't that great , at least out this window ."
apw_eng_20030202_0289_15:4-5-6,that_great,great,n't_that_great,that,my skiing was n't that great . '',my skiing was n't that great . ''
pcc_eng_18_034.9824_x0550077_12:16-17-18,that_great,great,n't_that_great,that,but amy and fallon clearly are n't that great as they both had to use,"The listener then had to guess the song , but Amy and Fallon clearly are n't that great as they both had to use EXTRA clues to get the answers !"
pcc_eng_03_030.2447_x0473472_40:23-24-25,that_great,great,n't_that_great,that,would appear that the difference is n't that great .,"However , if you consider that a mediated experience happens simultaneously as real experience , it would appear that the difference is n't that great ."
pcc_eng_12_019.1358_x0293381_05:6-7-8,that_great,great,n't_that_great,that,"who fans , it was n't that great .","Who fans , it was n't that great ."
pcc_eng_27_029.0299_x0452545_08:3-5-6,that_great,great,n't_that_great,that,"it has n't been that great the last two years . ""","It has n't been that great the last two years . """
pcc_eng_19_026.6028_x0413324_20:11-13-14,that_great,great,n't_that_great,that,loss of journalism that was n't all that great in the first place .,Let 's not bemoan the loss of journalism that was n't all that great in the first place .
pcc_eng_25_041.3766_x0653508_32:4-7-8,that_great,great,n't_that_great,that,"my life has n't always been that great , because i have wanted some","My life has n't always been that great , because I have wanted some really stupid things !"
pcc_eng_01_060.7400_x0966170_12:08-10-11,that_great,great,not_that_great,that,reid the eagles have typically not been that great in preseason going 12 - 21,Under Andy Reid the Eagles have typically not been that great in preseason going 12 - 21 with their best effort in 2001 going 2 - 1 .
