hit_id,bigram_lower,adv_form_lower,adj_form_lower,all_forms_lower,text_window,token_str
pcc_eng_08_056.2486_x0894579_48:5-6,particularly_noteworthy,particularly,noteworthy,(+)_particularly_noteworthy,he thinks it 's particularly noteworthy that she was allowed to write,He thinks it 's particularly noteworthy that she was allowed to write her own screenplay .
pcc_eng_24_100.9007_x1616255_065:7-8,particularly_noteworthy,particularly,noteworthy,(+)_particularly_noteworthy,"the ypg - us partnership is particularly noteworthy , given that the ypg is","The YPG - US partnership is particularly noteworthy , given that the YPG is neither more nor less than the Syrian representative of the PKK ."
pcc_eng_09_099.0229_x1586130_05:4-5,particularly_noteworthy,particularly,noteworthy,(+)_particularly_noteworthy,"the results are particularly noteworthy , since gbcas can be especially","The results are particularly noteworthy , since GBCAs can be especially harmful for patients with insufficient renal function ( Radiology , December 2019 , Vol. 293:3 , pp. 554-564 ) ."
pcc_eng_14_047.9978_x0759260_16:34-35,particularly_noteworthy,particularly,noteworthy,(+)_particularly_noteworthy,""" contributions to the conversation they find particularly noteworthy .","And they can "" pin "" comments to the top of a video 's comment section to direct attention to special announcements , and "" heart "" contributions to the conversation they find particularly noteworthy ."
pcc_eng_04_087.4791_x1397185_02:13-14,particularly_noteworthy,particularly,noteworthy,(+)_particularly_noteworthy,the internal conflict of an individual is particularly noteworthy because the author attempts to reveal,"In such a context , the internal conflict of an individual is particularly noteworthy because the author attempts to reveal the good nature of the man through the resolution of the internal conflict ."
pcc_eng_29_058.6428_x0931329_11:10-11,particularly_noteworthy,particularly,noteworthy,(+)_particularly_noteworthy,'s decision in tuesday 's case is particularly noteworthy because this is the first time,The jury 's decision in Tuesday 's case is particularly noteworthy because this is the first time that the New York state law prohibiting the promotion of prostitution was used to successfully convict a sex tour operator .
pcc_eng_14_067.4352_x1074008_37:18-19,particularly_noteworthy,particularly,noteworthy,(+)_particularly_noteworthy,", the insane clown posse made a particularly noteworthy attempt ) .","Scientists have yet to completely explain this phenomenon ( however , the Insane Clown Posse made a particularly noteworthy attempt ) ."
pcc_eng_06_097.7013_x1564174_31:1-2,particularly_noteworthy,particularly,noteworthy,(+)_particularly_noteworthy,particularly noteworthy about the sapelo shell ring complex,Particularly noteworthy about the Sapelo Shell Ring complex is the fact that some of the oldest pottery in North America was found here .
pcc_eng_19_028.0140_x0436104_58:17-18,particularly_noteworthy,particularly,noteworthy,(+)_particularly_noteworthy,"the "" big three "" newscasts is particularly noteworthy because of their age profile .","That just 30 % of Staunch Conservatives regularly watch the "" big three "" newscasts is particularly noteworthy because of their age profile ."
pcc_eng_00_085.1380_x1360331_110:7-8,particularly_noteworthy,particularly,noteworthy,(+)_particularly_noteworthy,his absence from the latter is particularly noteworthy given that mets clubhouse employee kirk,His absence from the latter is particularly noteworthy given that Mets clubhouse employee Kirk Radomski was at the epicenter of the report 's allegations .
pcc_eng_26_086.1730_x1377259_18:8-9,particularly_noteworthy,particularly,noteworthy,(+)_particularly_noteworthy,""" the strength of the results were particularly noteworthy given that the experiment was conducted",""" The strength of the results were particularly noteworthy given that the experiment was conducted in Ohio during the 2004 election , when there were unprecedented efforts to mobilize voter turnout in a crucial swing state , "" she said ."
pcc_eng_18_004.6149_x0058585_23:11-12,particularly_noteworthy,particularly,noteworthy,(+)_particularly_noteworthy,would so chastise colorado 's authorities is particularly noteworthy in light of recent incidents where,That seven justices would so chastise Colorado 's authorities is particularly noteworthy in light of recent incidents where high profile leaders in the U.S. Senate have attacked Trump administration nominees based on their religious beliefs .
pcc_eng_23_107.8672_x1727742_22:1-2,particularly_noteworthy,particularly,noteworthy,(+)_particularly_noteworthy,particularly noteworthy is the aptly named artist point,Particularly noteworthy is the aptly named Artist Point and the surrounding area .
nyt_eng_19970123_0446_16:17-18,particularly_noteworthy,particularly,noteworthy,(+)_particularly_noteworthy,and an end to partisan differences is particularly noteworthy .,"the President 's emphasis on consensus , reconciliation , and an end to partisan differences is particularly noteworthy ."
pcc_eng_28_048.1103_x0762222_14:3-4,particularly_noteworthy,particularly,noteworthy,(+)_particularly_noteworthy,"in a particularly noteworthy remark , nazarbayev put the newfound","In a particularly noteworthy remark , Nazarbayev put the newfound self -confidence within the region in words : "" We all have two big partners - Russia and China ."
