hit_id,bigram_lower,adj_form_lower,all_forms_lower,adv_form_lower,text_window,token_str
pcc_eng_02_035.0487_x0551119_18:25-26,any_weirder,weirder,(+)_any_weirder,any,difficult to think of another that 's any weirder than this .,"Over the years I 've catalogued Santo films both good and bad , but it 's very difficult to think of another that 's any weirder than this ."
pcc_eng_29_002.2045_x0019325_12:4-5,any_weirder,weirder,(+)_any_weirder,any,would this be any weirder ?,Would this be any weirder ?
pcc_eng_16_037.2817_x0587137_029:10-11,any_weirder,weirder,(+)_any_weirder,any,"hard to imagine how platypuses could get any weirder , what with their egg-laying ,","It 's hard to imagine how platypuses could get any weirder , what with their egg-laying , beaver tails , and poisonous feet ."
pcc_eng_24_055.0134_x0873445_2:09-10,any_weirder,weirder,(+)_any_weirder,any,think an overdubbed beatles tune could be any weirder than a new beatles song with,You think an overdubbed Beatles tune could be any weirder than a new Beatles song with John Lennon ?
pcc_eng_21_077.0362_x1228730_30:09-10,any_weirder,weirder,(+)_any_weirder,any,"why is eating a pig 's leg any weirder than a bug ? "" she",""" Why is eating a pig 's leg any weirder than a bug ? "" she says ."
pcc_eng_13_004.4352_x0055378_17:21-22,any_weirder,weirder,(+)_any_weirder,any,"a lot of "" can it get any weirder than this ? "" moments ,","It has certainly been the case that this entire political season has provoked a lot of "" can it get any weirder than this ? "" moments , followed by even stranger and sillier developments ."
pcc_eng_12_103.8700_x1662552_34:12-13,any_weirder,weirder,(+)_any_weirder,any,", whether the melanesian model is actually any weirder than the vast , civilized ,","One wonders , though , whether the Melanesian model is actually any weirder than the vast , civilized , imaginary construct that modern humanity flutters inside , like a bird imprisoned in an invisible cage ."
pcc_eng_29_105.2992_x1685405_12:6-7,any_weirder,weirder,(+)_any_weirder,any,how can this situation get any weirder ?,How can this situation get any weirder ?
pcc_eng_06_039.5003_x0622661_03:6-7,any_weirder,weirder,(+)_any_weirder,any,"if matthew mc conaughey gets any weirder , he could run the lakers","If Matthew Mc Conaughey gets any weirder , he could run the Lakers ."
pcc_eng_21_058.4210_x0928215_037:7-8,any_weirder,weirder,(+)_any_weirder,any,"and again , why is it any weirder from putting on face paint at","And again , why is it any weirder from putting on face paint at a football game while wearing a player 's jersey ?"
pcc_eng_02_075.5755_x1205834_013:5-6,any_weirder,weirder,(+)_any_weirder,any,"before things can get any weirder , one of the movers interrupts","Before things can get any weirder , one of the movers interrupts ."
pcc_eng_26_006.5011_x0088677_16:09-10,any_weirder,weirder,(+)_any_weirder,any,", i 'll stop before this gets any weirder .","Alright , I 'll stop before this gets any weirder ."
pcc_eng_10_081.7415_x1304775_089:2-4-5,any_weirder,weirder,n't_any_weirder,any,ca n't be any weirder than these channeling classes .,Ca n't be any weirder than these channeling classes .
pcc_eng_22_080.5288_x1285445_01:35-37-38,any_weirder,weirder,n't_any_weirder,any,"bavasi , those stories would n't be any weirder than this .","If the San Diego Chargers came to terms with Ryan Leaf 's nephew , or the Seattle Mariners gave a shot to a relative of former general manager Bill Bavasi , those stories would n't be any weirder than this ."
pcc_eng_00_015.8536_x0239707_01:07-10-11,any_weirder,weirder,n't_any_weirder,any,"think this day could n't possibly be any weirder , here comes a nintendo lifeexclusive","When you think this day could n't possibly be any weirder , here comes a Nintendo Lifeexclusive bombshell ."
pcc_eng_27_027.8797_x0434203_23:15-18-19,any_weirder,weirder,n't_any_weirder,any,", but it ca n't possibly be any weirder than governments like the united states","Declaring a river a person may seem bizarre to some , but it ca n't possibly be any weirder than governments like the United States that have awarded personhood to corporations ."
pcc_eng_01_032.0824_x0502356_29:09-11-12,any_weirder,weirder,n't_any_weirder,any,"honest , this case could n't be any weirder if a stork had dropped him",""" To be honest , this case could n't be any weirder if a stork had dropped him out of the sky . """
pcc_eng_00_069.0973_x1100572_40:09-13-14,any_weirder,weirder,n't_any_weirder,any,"because this game could n't possibly have been any weirder , why not have","And hell , just because this game could n't possibly have been any weirder , why not have the official clock get stuck for a good 45 seconds so no one in the rink or watching on TV knows what kind of time is left on the clock ?"
pcc_eng_25_080.8260_x1292213_51:19-20-21,any_weirder,weirder,not_any_weirder,any,accidentally ! ) and she 's not any weirder than she was at that time,I hit my sister in the head with a golf club ( accidentally ! ) and she 's not any weirder than she was at that time .
pcc_eng_06_029.3488_x0458671_59:3-4-5,any_weirder,weirder,not_any_weirder,any,We are not any weirder than you .,We are not any weirder than you .
pcc_eng_13_083.7711_x1338124_21:12-16-17,any_weirder,weirder,not_any_weirder,any,"know , it 's not that I 'm any weirder than the rest of","And I felt like , ' You know , it 's not that I 'm any weirder than the rest of you , ' so I wanted to do a profile on ordinary New Zealanders , while at the same time making a comedy show ."
pcc_eng_19_019.2095_x0293719_039:08-09-10,any_weirder,weirder,not_any_weirder,any,"for the horses , it 's not any weirder than moving forward in response to","But for the horses , it 's not any weirder than moving forward in response to bilateral leg pressure ."
