hit_id,adv_form_lower,adj_form_lower,bigram_lower,neg_form_lower,all_forms_lower,text_window,token_str
pcc_eng_01_041.7478_x0658628_59:4-5-6,that,sweet,that_sweet,n't,n't_that_sweet,"Aw , ai n't that sweet .","Aw , ai n't that sweet ."
pcc_eng_08_050.2895_x0797862_13:3-4-5,that,sweet,that_sweet,n't,n't_that_sweet,Now is n't that sweet ?,Now is n't that sweet ?
pcc_eng_07_106.0288_x1697593_16:4-6-7,that,sweet,that_sweet,n't,n't_that_sweet,"And this is n't even that sweet , really .","And this is n't even that sweet , really ."
pcc_eng_15_018.4309_x0281392_22:2-3-4,that,sweet,that_sweet,n't,n't_that_sweet,Is n't that sweet !,Is n't that sweet !
pcc_eng_01_102.2883_x1637014_03:3-4-5,that,sweet,that_sweet,n't,n't_that_sweet,Now ai n't that sweet ?,Now ai n't that sweet ?
pcc_eng_03_002.4190_x0022969_20:2-3-4,that,sweet,that_sweet,n't,n't_that_sweet,Is n't that sweet .,Is n't that sweet .
pcc_eng_08_101.7709_x1631715_05:38-39-40,that,sweet,that_sweet,n't,n't_that_sweet,""" post for you , ai n't that sweet ? ;)","I know this is a really late post for my baby sister but since I have no gift for you , I realize I 'll just post an "" Allison Graduation "" post for you , ai n't that sweet ? ;)"
pcc_eng_01_068.2317_x1087488_024:30-32-33,that,sweet,that_sweet,n't,n't_that_sweet,would we realize she was n't really that sweet .,"We are really good friends and would even get home and say stuff like "" that girl was so sweet "" and only afterwards would we realize she was n't really that sweet ."
pcc_eng_17_054.9222_x0871196_142:3-4-5,that,sweet,that_sweet,n't,n't_that_sweet,It was n't that sweet .,It was n't that sweet .
pcc_eng_15_014.1299_x0211712_17:6-7-8,that,sweet,that_sweet,n't,n't_that_sweet,the desserts from luxbite were n't that sweet !,The desserts from Luxbite were n't that sweet !
pcc_eng_03_090.8626_x1455152_185:2-3-4,that,sweet,that_sweet,n't,n't_that_sweet,Is n't that sweet ?!,Is n't that sweet ?!
pcc_eng_22_052.4042_x0830468_06:10-11-12,that,sweet,that_sweet,n't,n't_that_sweet,""" celebrating childhood "" , is n't that sweet ?","Their motto is "" celebrating childhood "" , is n't that sweet ?"
pcc_eng_28_016.3540_x0248403_154:5-6-7,that,sweet,that_sweet,n't,n't_that_sweet,""" Aw , is n't that sweet !",""" Aw , is n't that sweet !"
pcc_eng_05_032.0542_x0503098_47:2-3-4,that,sweet,that_sweet,n't,n't_that_sweet,is n't that sweet that a leader we should be,Is n't that sweet that a leader we should be so lucky to have has such kindness in his heart for such a cuddly little killer ?
pcc_eng_25_038.1659_x0601591_31:12-14-15,that,sweet,that_sweet,n't,n't_that_sweet,pleasant surprise because it was n't all that sweet and it tasted like soothing strawberry,"However , Horny Strawberry was a pleasant surprise because it was n't all that sweet and it tasted like soothing strawberry yoghurt ."
pcc_eng_28_028.6087_x0446072_33:2-3-4,that,sweet,that_sweet,n't,n't_that_sweet,Is n't that sweet ??,Is n't that sweet ??
pcc_eng_19_047.2113_x0745870_099:4-5-6,that,sweet,that_sweet,n't,n't_that_sweet,Surprisingly it was n't that sweet .,Surprisingly it was n't that sweet .
pcc_eng_17_006.7366_x0092804_27:6-7-8,that,sweet,that_sweet,n't,n't_that_sweet,mother at table : is n't that sweet ?,MOTHER AT TABLE : Is n't that sweet ?
pcc_eng_05_008.0979_x0115192_138:3-4-5,that,sweet,that_sweet,n't,n't_that_sweet,""" Ai n't that sweet . """,""" Ai n't that sweet . """
pcc_eng_03_087.1036_x1394310_12:6-7-8,that,sweet,that_sweet,n't,n't_that_sweet,the bread dough itself was n't that sweet and a lot of the sweetness,The bread dough itself was n't that sweet and a lot of the sweetness was coming from the curry itself .
pcc_eng_29_087.3681_x1395061_135:08-10-11,that,sweet,that_sweet,n't,n't_that_sweet,", drawing two sarkhans is n't actually that sweet , so maybe there 's some","That said , drawing two Sarkhans is n't actually that sweet , so maybe there 's some mixing to be done ."
pcc_eng_11_098.5077_x1578421_152:2-3-4,that,sweet,that_sweet,n't,n't_that_sweet,Was n't that sweet of her ?,Was n't that sweet of her ?
pcc_eng_00_067.7628_x1079035_14:2-3-4,that,sweet,that_sweet,n't,n't_that_sweet,Is n't that sweet ?,Is n't that sweet ?
pcc_eng_06_074.5949_x1190423_09:3-4-5,that,sweet,that_sweet,n't,n't_that_sweet,Now is n't that sweet !,Now is n't that sweet !
pcc_eng_05_003.1262_x0034569_002:2-3-4,that,sweet,that_sweet,n't,n't_that_sweet,Is n't that sweet of her ?,Is n't that sweet of her ?
pcc_eng_16_024.5812_x0381640_28:2-3-4,that,sweet,that_sweet,n't,n't_that_sweet,is n't that sweet ?,is n't that sweet ?
pcc_eng_12_062.2076_x0989812_16:2-3-4,that,sweet,that_sweet,n't,n't_that_sweet,Is n't that sweet and utterly romantic ?,Is n't that sweet and utterly romantic ?
pcc_eng_test_3.05313_x42961_15:21-22-23,that,sweet,that_sweet,n't,n't_that_sweet,half white sugar because these were n't that sweet and had a little too much,"For example , I would increase the sugar and do half brown sugar and half white sugar because these were n't that sweet and had a little too much brown sugar for my liking ."
pcc_eng_14_037.2512_x0585683_06:4-5-6,that,sweet,that_sweet,n't,n't_that_sweet,"Ah , is n't that sweet ?","Ah , is n't that sweet ?"
pcc_eng_07_059.2221_x0941049_048:4-5-6,that,sweet,that_sweet,n't,n't_that_sweet,"Awww , is n't that sweet ?","Awww , is n't that sweet ?"
