line_in_source,hit_id,colloc,adv,adj,sent_text,sent_id,adv_index,corpus_segment,date,year,context,context_word,context_type,in_basic,polarity,context_overlap
23670,nyt_eng_19941016_0011_53:6,1-4-1_overall,1-4-1,overall,"Stanford , then , is 1-4-1 overall and winless in three conference games .",nyt_eng_19941016_0011_53,6,nyt_eng_19941016,1994-10-16,1994,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
425514,nyt_eng_19980328_0187_55:12,about_halfway,about,halfway,And the best place to be on the start-finish line is about halfway up .,nyt_eng_19980328_0187_55,12,nyt_eng_19980328,1998-03-28,1998,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
89042,nyt_eng_19950624_0219_1:5,about_halfway,about,halfway,"Doug Supernaw was just about halfway through a golf scholarship at the University of St. Thomas in the Virgin Islands when , one evening , he missed an important team meeting .",nyt_eng_19950624_0219_1,5,nyt_eng_19950624,1995-06-24,1995,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
275679,nyt_eng_19970113_0530_15:13,about_normal,about,normal,Now La Nina has faded and the tropical Pacific 's temperature is about normal .,nyt_eng_19970113_0530_15,13,nyt_eng_19970113,1997-01-13,1997,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
374706,nyt_eng_19971027_0288_11:3,about_refreshment,about,refreshment,"Zima is about refreshment , the alcoholic alternative to a V-8 , a refreshing alternative to beer .  -RDQ-",nyt_eng_19971027_0288_11,3,nyt_eng_19971027,1997-10-27,1997,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
82294,nyt_eng_19950605_0508_14:8,absoluteley_untrue,absoluteley,untrue,"For example , she says it is absoluteley untrue that a nude model _ and not she _ stood in a studio-built shower for seven days while Hitchcock painstakingly pieced together what would become one of the scariest moments in film history .",nyt_eng_19950605_0508_14,8,nyt_eng_19950605,1995-06-05,1995,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
157922,nyt_eng_19960121_0181_7:29,absolutely_consistent,absolutely,consistent,"Ms. Makovich , in an interview , confirmed that she had made the statement , which was reported by Bloomberg Business News , and said it was  -LBQ-  absolutely consistent with everything we have said all along .  -RDQ-",nyt_eng_19960121_0181_7,29,nyt_eng_19960121,1996-01-21,1996,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
245805,nyt_eng_19961014_0144_10:9,absolutely_covered,absolutely,covered,"Within five more minutes , the puppies were absolutely covered in poop .",nyt_eng_19961014_0144_10,9,nyt_eng_19961014,1996-10-14,1996,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
100537,nyt_eng_19950730_0214_42:6,absolutely_cutthroat,absolutely,cutthroat,"-LBQ-  The politics here are absolutely cutthroat ,  -RDQ-  said Shirley Saunders , a former board member who was once accused by political opponents of using two parking spaces but paying for one .",nyt_eng_19950730_0214_42,6,nyt_eng_19950730,1995-07-30,1995,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
145331,nyt_eng_19951212_0841_10:4,absolutely_delighted,absolutely,delighted,-LBQ-  We are absolutely delighted that it 's back here .  -RDQ-,nyt_eng_19951212_0841_10,4,nyt_eng_19951212,1995-12-12,1995,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
239378,nyt_eng_19960926_0330_22:4,absolutely_delighted,absolutely,delighted,"-LBQ-  We were absolutely delighted ,  -RDQ-  he said .",nyt_eng_19960926_0330_22,4,nyt_eng_19960926,1996-09-26,1996,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
120425,nyt_eng_19950928_0697_22:6,absolutely_delighted,absolutely,delighted,Powell said he was  -LBQ-  absolutely delighted  -RDQ-  to have learned of Stanford 's appointment in Seattle and halted his appearance to make a public-service advertisement with a half-dozen Seattle schoolchildren for Stanford 's new reading campaign .,nyt_eng_19950928_0697_22,6,nyt_eng_19950928,1995-09-28,1995,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
238398,nyt_eng_19960923_0569_19:9,absolutely_delighted,absolutely,delighted,Major issued a statement saying he was  -LBQ-  absolutely delighted by the success of the security authorities in foiling the IRA 's latest plans to attack the people of this country as they go about their daily lives .  -RDQ-,nyt_eng_19960923_0569_19,9,nyt_eng_19960923,1996-09-23,1996,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
56056,nyt_eng_19950307_0366_9:20,absolutely_devastating,absolutely,devastating,"In his closing argument on Monday , Keker told the jurors that  -LBQ-  the consequences for Patrick ... are absolutely devastating if he is convicted  -RDQ-  because he could have gone to prison for 10 years to life .",nyt_eng_19950307_0366_9,20,nyt_eng_19950307,1995-03-07,1995,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
388420,nyt_eng_19971203_0699_18:10,absolutely_devastating,absolutely,devastating,"-LBQ-  You ca n't do it without it being absolutely devastating to the public health ,  -RDQ-  she said .",nyt_eng_19971203_0699_18,10,nyt_eng_19971203,1997-12-03,1997,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
153672,nyt_eng_19960109_0090_3:4,absolutely_essential,absolutely,essential,"-LBQ-  It 's absolutely essential for London 's standing as a financial center that an order-driven system be in place ,  -RDQ-  said James Murray , a spokesman for Deutsche Morgan Grenfell , which supports the concept .",nyt_eng_19960109_0090_3,4,nyt_eng_19960109,1996-01-09,1996,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
416957,nyt_eng_19980228_0208_20:5,absolutely_fabulous,absolutely,fabulous,"-LBQ-  Bennett Davison was absolutely fabulous on the defensive end of the floor ,  -RDQ-  Olson said .",nyt_eng_19980228_0208_20,5,nyt_eng_19980228,1998-02-28,1998,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
436860,nyt_eng_19980508_0446_22:23,absolutely_false,absolutely,false,A lawyer representing Citron left a telephone message requesting that publication be delayed and saying that the allegations against Datek  -LBQ-  are absolutely false .  -RDQ-,nyt_eng_19980508_0446_22,23,nyt_eng_19980508,1998-05-08,1998,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
30424,nyt_eng_19941115_0265_12:30,absolutely_fantastic,absolutely,fantastic,"Even on those examples where the details are , if you like , careless looking , the basics of outline , arching , wood thickness and tonal results are absolutely fantastic .  -RDQ-",nyt_eng_19941115_0265_12,30,nyt_eng_19941115,1994-11-15,1994,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
13044,nyt_eng_19951016_0569_46:5,absolutely_foolproof,absolutely,foolproof,This system is not absolutely foolproof ; there can be no 100 percent guarantee that breakout will not occur .,nyt_eng_19951016_0569_46,5,nyt_eng_19951016,1995-10-16,1995,not_VP-adv,not,VP-adv,True,negative,False
350396,nyt_eng_19970820_0028_76:35,absolutely_free,absolutely,free,"Wherever he 's headed , let 's hope there is privacy in a distant room , that a simple toaster makes him happy , that the birds are singing , and that he is absolutely free .",nyt_eng_19970820_0028_76,35,nyt_eng_19970820,1997-08-20,1997,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
108566,nyt_eng_19950823_0328_6:31,absolutely_frenetic,absolutely,frenetic,"-LBQ-  We do n't see any signficant downturn happening in the business at this moment in time -- certainly our markets are softer than they were , but they were absolutely frenetic .",nyt_eng_19950823_0328_6,31,nyt_eng_19950823,1995-08-23,1995,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
143795,nyt_eng_19951208_0066_30:26,absolutely_friendly,absolutely,friendly,"Asked if he thought Mingly was poised to make a full takeover bid for the company , Reaney said  -LBQ-  I believe their intentions are absolutely friendly .  -RDQ-",nyt_eng_19951208_0066_30,26,nyt_eng_19951208,1995-12-08,1995,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
416572,nyt_eng_19980227_0184_34:26,absolutely_horrifying,absolutely,horrifying,"For Trisha Yearwood and other Rimes rivals , on the other hand , the realization that Rimes will become a more formidable competitor must be absolutely horrifying .",nyt_eng_19980227_0184_34,26,nyt_eng_19980227,1998-02-27,1998,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
403597,nyt_eng_19980117_0023_78:27,absolutely_identical,absolutely,identical,He said it mattered little whether he worked directly for the tribes or for the gambling partnership be cause their interests in the case were  -LBQ-  absolutely identical .  -RDQ-,nyt_eng_19980117_0023_78,27,nyt_eng_19980117,1998-01-17,1998,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
180147,nyt_eng_19960323_0009_11:4,absolutely_incredible,absolutely,incredible,"-LBQ-  It 's absolutely incredible , to say the least .  -RDQ-",nyt_eng_19960323_0009_11,4,nyt_eng_19960323,1996-03-23,1996,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
156362,nyt_eng_19960116_0743_15:7,absolutely_instrumental,absolutely,instrumental,"-LBQ-  The University of Texas was absolutely instrumental and on the front line ,  -RDQ-  Todd said .",nyt_eng_19960116_0743_15,7,nyt_eng_19960116,1996-01-16,1996,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
127070,nyt_eng_19951019_0600_13:12,absolutely_lovely,absolutely,lovely,"-LBQ-  For a country starved for international participation , it 's absolutely lovely ,  -RDQ-  said Lt. Ricco Scheepers , an Air Force liaison officer .",nyt_eng_19951019_0600_13,12,nyt_eng_19951019,1995-10-19,1995,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
10962,nyt_eng_19940819_0279_4:3,absolutely_mind-boggling,absolutely,mind-boggling,"It 's absolutely mind-boggling to me that anyone would willingly put themselves through such a miserable experience as last weekend 's three-day ordeal in Saugerties , N.Y.",nyt_eng_19940819_0279_4,3,nyt_eng_19940819,1994-08-19,1994,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
364722,nyt_eng_19970929_0540_8:18,absolutely_necessary,absolutely,necessary,"No one spoke , and no one got up from his or her desk unless it was absolutely necessary .",nyt_eng_19970929_0540_8,18,nyt_eng_19970929,1997-09-29,1997,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
