hit_id,bigram_lower,adv_form_lower,adj_form_lower,all_forms_lower,text_window,token_str
pcc_eng_07_001.1137_x0001804_063:26-27,exactly_ideal,exactly,ideal,(+)_exactly_ideal,the system you end up with is exactly ideal for you and for your trading,"So , it helps a lot that you will get these expectations as your guide in ensuring that the system you end up with is exactly ideal for you and for your trading goals ."
pcc_eng_16_051.0267_x0809794_18:20-21-22,exactly_ideal,exactly,ideal,n't_exactly_ideal,the choice of burger bar is n't exactly ideal .,"It 's an office lunch , and attendance is strongly suggested ... but the choice of burger bar is n't exactly ideal ."
nyt_eng_20060205_0091_33:6-7-8,exactly_ideal,exactly,ideal,n't_exactly_ideal,but all this balminess is n't exactly ideal for running .,but all this balminess is n't exactly ideal for running .
pcc_eng_23_004.9383_x0063490_11:29-30-31,exactly_ideal,exactly,ideal,n't_exactly_ideal,memory as bad as mine is n't exactly ideal .,"It seemed to abandon tutorials for tooltips -- compared to the first game , at least -- which for someone with a memory as bad as mine is n't exactly ideal ."
pcc_eng_09_080.0434_x1278671_11:21-22-23,exactly_ideal,exactly,ideal,n't_exactly_ideal,"'s most expensive cities , is n't exactly ideal .","Raising kids on working -class salaries here in Seattle , one of the world 's most expensive cities , is n't exactly ideal ."
pcc_eng_25_030.8403_x0482833_21:33-34-35,exactly_ideal,exactly,ideal,n't_exactly_ideal,out of a hotel ) is n't exactly ideal .,"Addition by subtraction helps teams in nearly as many instances , and adapting to a new roster , coaching setup , and culture ( while living out of a hotel ) is n't exactly ideal ."
pcc_eng_04_070.3731_x1120457_02:24-25-26,exactly_ideal,exactly,ideal,n't_exactly_ideal,to control it - which was n't exactly ideal .,"Last year , I made a robot with a Raspberry Pi but I originally used my laptop to control it - which was n't exactly ideal ."
pcc_eng_13_006.2211_x0084220_07:24-25-26,exactly_ideal,exactly,ideal,n't_exactly_ideal,that playing the pies twice is n't exactly ideal ...,"As the for the Dees and Tiges , the Pies have their measure , and I suspect that playing the pies twice is n't exactly ideal ..."
pcc_eng_18_001.0031_x0000044_086:20-21-22,exactly_ideal,exactly,ideal,n't_exactly_ideal,"my work day , which is n't exactly ideal or productive .","The Brain Harvest , trying to read it at the slow points in my work day , which is n't exactly ideal or productive ."
pcc_eng_03_033.5648_x0527465_21:22-23-24,exactly_ideal,exactly,ideal,n't_exactly_ideal,be aware that the lake is n't exactly ideal for sailboats .,"Sailors may be tempted by the lake 's pretty views and coves , but should be aware that the lake is n't exactly ideal for sailboats ."
pcc_eng_01_068.5759_x1093151_77:21-22-23,exactly_ideal,exactly,ideal,n't_exactly_ideal,"sandwich that is this year is n't exactly ideal , but i 'll tell you","Having this level of trauma in a television show ON TOP of the crap sandwich that is this year is n't exactly ideal , but I 'll tell you what ... sometimes crying or expressing a strong emotion over a work of fiction can be truly cathartic in helping us handle the tough emotions about "" real "" life ."
pcc_eng_07_052.2251_x0828100_24:11-12-13,exactly_ideal,exactly,ideal,n't_exactly_ideal,people tucked under your arm is n't exactly ideal ( though i 'd be lying,And having two mini people tucked under your arm is n't exactly ideal ( though I 'd be lying if I said the idea of being so cozy and cuddly with my kids had n't intrigued me ) .
pcc_eng_10_043.5034_x0687755_04:10-11-12,exactly_ideal,exactly,ideal,n't_exactly_ideal,"click character movement and combat is n't exactly ideal , the controls also suffer from","While point- and- click character movement and combat is n't exactly ideal , the controls also suffer from a lack of customization ."
pcc_eng_03_085.8306_x1373630_11:10-11-12,exactly_ideal,exactly,ideal,n't_exactly_ideal,"the other hand , they are n't exactly ideal for shading and colouring large areas","But , on the other hand , they are n't exactly ideal for shading and colouring large areas ( and this can be quite time - consuming ) - although this is only really a major issue if you plan to scan your art and adjust the brightness / constrast levels whilst editing it ."
pcc_eng_07_022.6266_x0349744_05:12-13-14,exactly_ideal,exactly,ideal,n't_exactly_ideal,"locking down a starting job were n't exactly ideal , jones is ready to take","So while the circumstances behind locking down a starting job were n't exactly ideal , Jones is ready to take full advantage of the opportunity ."
pcc_eng_18_086.2916_x1381162_004:09-10-11,exactly_ideal,exactly,ideal,n't_exactly_ideal,"second half of their season was n't exactly ideal , the giants did what they","While the second half of their season was n't exactly ideal , the Giants did what they do best and rallied when it mattered ."
