hit_id,bigram_lower,adj_form_lower,all_forms_lower,adv_form_lower,text_window,token_str
pcc_eng_28_057.9634_x0921698_02:12-13,any_cheaper,cheaper,(+)_any_cheaper,any,"up the new one , is it any cheaper online than at a local parts","Where should I pick up the new one , is it any cheaper online than at a local parts dealer ?"
nyt_eng_20000427_0288_2:5-6,any_cheaper,cheaper,(+)_any_cheaper,any,"if the movie looked any cheaper , you might think you were","if the movie looked any cheaper , you might think you were paying more to get into the theater than was spent on making the film ."
pcc_eng_14_054.4804_x0864394_27:16-17,any_cheaper,cheaper,(+)_any_cheaper,any,"the actual premiums of the plan are any cheaper than pre-obamacare , some people will","While it will be interesting to see if the actual premiums of the plan are any cheaper than pre-Obamacare , some people will get help paying their premiums by way of tax credits ( see here for tax credit eligibility ) ."
pcc_eng_28_073.9493_x1179915_31:4-5,any_cheaper,cheaper,(+)_any_cheaper,any,were the gardein any cheaper than what you 've seen elsewhere,Were the Gardein any cheaper than what you 've seen elsewhere ?
pcc_eng_18_079.9172_x1277908_086:5-6,any_cheaper,cheaper,(+)_any_cheaper,any,why would niedermayer be any cheaper than pronger was unless we somehow,Why would Niedermayer be any cheaper than Pronger was unless we somehow became the New Jersey Devils ?
apw_eng_19980518_1116_20:19-20,any_cheaper,cheaper,(+)_any_cheaper,any,"standards , but whether they will get any cheaper remains to be seen .","malaysian stocks , he said , are relatively cheap by any standards , but whether they will get any cheaper remains to be seen ."
nyt_eng_20020605_0039_21:4-5,any_cheaper,cheaper,(+)_any_cheaper,any,"`` is it any cheaper , '' asked one woman caller","`` Is it any cheaper , '' asked one woman caller to the ticket office , `` if we just come for the Southside Johnny concert and then go home ? ''"
pcc_eng_10_006.2303_x0084561_69:22-23,any_cheaper,cheaper,(+)_any_cheaper,any,to see if the same flights are any cheaper ( some airways assure to offer,"Armed with this information , you can head directly to the airline web site to see if the same flights are any cheaper ( some airways assure to offer the bottom possible fares on their very own websites ) ."
nyt_eng_20061113_0178_5:3-4,any_cheaper,cheaper,(+)_any_cheaper,any,is it any cheaper to make your own clothes ?,"is it any cheaper to make your own clothes ? Can the quality match mass-produced merchandise ? If not , why else would you spend $ 300 and as many hours making a sweater ?"
pcc_eng_10_078.5382_x1253224_09:5-6,any_cheaper,cheaper,(+)_any_cheaper,any,q : is it any cheaper ?,Q : Is it any cheaper ?
pcc_eng_07_103.9629_x1664281_085:6-7,any_cheaper,cheaper,(+)_any_cheaper,any,you cannot find a room any cheaper than this in copan .,You cannot find a room any cheaper than this in Copan .
pcc_eng_15_020.5412_x0315735_66:4-5,any_cheaper,cheaper,(+)_any_cheaper,any,it cannot get any cheaper than that .,It cannot get any cheaper than that .
pcc_eng_04_076.6308_x1221544_280:4-5,any_cheaper,cheaper,(+)_any_cheaper,any,"would it be any cheaper to call your mom , seven","Would it be any cheaper to call your mom , seven states away , than it is to text your friend sitting across the room ?"
pcc_eng_09_108.05297_x1742072_15:5-6,any_cheaper,cheaper,(+)_any_cheaper,any,why would it be any cheaper to lease it ?,Why would it be any cheaper to lease it ?
pcc_eng_23_083.6164_x1335102_17:11-12,any_cheaper,cheaper,(+)_any_cheaper,any,local housing market is unlikely to be any cheaper than it was last spring .,"So , your local housing market is unlikely to be any cheaper than it was last spring ."
pcc_eng_26_024.8301_x0385038_10:7-8,any_cheaper,cheaper,(+)_any_cheaper,any,you are unlikely to find it any cheaper soon and amazon has proven over,You are unlikely to find it any cheaper soon and Amazon has proven over the last year that they are going to keep pouring resources into the Echo .
pcc_eng_18_063.3901_x1010045_14:13-14,any_cheaper,cheaper,(+)_any_cheaper,any,push legislation that will make immigration benefits any cheaper .,So he 's unlikely to push legislation that will make immigration benefits any cheaper .
pcc_eng_00_105.7551_x1694331_073:8-9,any_cheaper,cheaper,(+)_any_cheaper,any,if this blu-ray release could have been any cheaper without the inclusion of the dvd,"If this Blu-ray release could have been any cheaper without the inclusion of the DVD , I would then have to beg studios to stop looking for ways to dump their back stock on us via newer products ."
pcc_eng_11_016.0647_x0243812_10:10-11,any_cheaper,cheaper,(+)_any_cheaper,any,far from certain that it will be any cheaper to use phones cross border in,"It is far from certain that it will be any cheaper to use phones cross border in 2017 . """
